Polish	Belarusian	probability
ˈɨ	ˈɨ	1.0
ˈɛ_w̃	ˈæ	1.0
ˈɔ_ʐ	ˈo_r	1.0
ˈɔ_ɡ	a_ɣ	1.0
ˈɔ_d	a_d	1.0
ˈi	ˈi	1.0
ˈa_r	ˈɵ_r	1.0
ˈa_#>	ˈa_#>	1.0
ʨ_#>	ʦʲ_#>	1.0
ʦ_ɛ	ʦ_a	1.0
ʦ	ʦ	1.0
ʥ	ʣʲ	1.0
ʑ	zʲ	1.0
ʐ_ˈɛ	r_a	1.0
ʐ	r	1.0
ʈ͡ʂ	ʧ	1.0
ɲ_#>	nʲ_#>	1.0
ɨ_#>	ɨ_#>	1.0
ɨ	ˈɨ	1.0
ɡ	ɣ	1.0
ɛ_ɲ	æ	1.0
ɛ_w̃_#>	ˈæ_#>	1.0
ɕ	sʲ	1.0
ɔ_#>	a_#>	1.0
w̃_z	z	1.0
w_ˈɔ	ɫ_a	1.0
w_#>	ɫ_#>	1.0
v_j	vʲ	1.0
v	v	1.0
t_#>	t_#>	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
p_#>	p_#>	1.0
n	n	1.0
m_j	mʲ	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ˈɛ	ʌ_ɫ_a	1.0
l_#>	lʲ_#>	1.0
l	lʲ	1.0
j_ˈa	ˈe	1.0
j	-	1.0
i_#>	i_#>	1.0
f_#>	w_#>	1.0
f	vʲ	1.0
b	b	1.0
a	ˈæ	1.0
<#_ˈɔ	<#_v_ˈo	1.0
<#_ʨ	<#_ʦʲ	1.0
<#_ʥ	<#_ʣʲ	1.0
<#_ʐ	<#_ʐ	1.0
<#_ʈ͡ʂ	<#_ʧ	1.0
<#_ɕ	<#_sʲ	1.0
<#_z	<#_z	1.0
<#_x	<#_x	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_lʲ	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
r	r	0.812
<#_ɡ	<#_ɣ	0.778
ˈu	ˈo	0.75
w	ɫ	0.75
a_#>	ˈa_#>	0.688
ˈɔ	ˈo	0.667
ʂ	ʂ	0.667
<#_m	<#_m	0.667
ɔ	a	0.6
k	k	0.6
<#_p	<#_p	0.556
ɲ	ˈæ	0.5
ɲ	nʲ	0.5
x	xʲ	0.5
x	x	0.5
k_#>	x_#>	0.5
k_#>	k_#>	0.5
<#_v	<#_vʲ	0.5
<#_v	<#_v	0.5
<#_j	<#_j	0.5
<#_j	<#	0.5
ˈa	ˈe	0.444
<#_p	<#_pʲ	0.444
ˈɛ	ˈe	0.44
d	d	0.429
ɔ	-	0.4
k	kʲ	0.4
ˈa	ˈa	0.333
ʂ	r	0.333
<#_m	<#_mʲ	0.333
a_#>	a_#>	0.312
ɛ	e	0.3
ɛ	a	0.3
d	ʣʲ	0.286
d	-	0.286
ˈu	a	0.25
ˈa	a	0.222
<#_ɡ	<#	0.222
ɛ	ˈo	0.2
ɛ	æ	0.2
r	a_r	0.188
ˈɔ	ˈu	0.167
ˈɔ	a	0.167
ˈɛ	æ	0.16
w	w	0.125
w	-	0.125
ˈɛ	ˈo	0.12
ˈɛ	-	0.12
ˈɛ	ˈɵ	0.08
ˈɛ	ˈɛ	0.08
