Swiss German	Swiss German	probability
ˈøː	ˈøː	1.0
ˈø	-	1.0
ˈæi̯_#>	ˈaɪ̯_n_#>	1.0
ˈæi̯	ˈaɪ̯	1.0
ˈuː	ˈaʊ̯	1.0
ˈuə̯	ˈuː	1.0
ˈo_n	ˈoː_n	1.0
ˈo	ˈɔ	1.0
ˈiː	ˈaɪ̯	1.0
ˈeː	ˈeː	1.0
ˈei̯	ˈaɪ̯	1.0
ˈe	ˈɛ	1.0
ˈau̯	ˈaʊ̯	1.0
ʦ	ʦ	1.0
ʒ̊	ʃ	1.0
ʋ	v	1.0
ʃː_#>	ʃ_#>	1.0
ɣ̊	kʰ	1.0
ɡ̊_#>	#>	1.0
ə_r	ɐ	1.0
æ	eː	1.0
z̥_#>	z̥_#>	1.0
z̥	z	1.0
w	l	1.0
v̥	f	1.0
tː_ə	t_n	1.0
tː_r	tʰ_ʁ	1.0
sː	s	1.0
r_tː	ɐ_t	1.0
r_n	ɐ_n	1.0
p͡f	p͡f	1.0
pː	-	1.0
n	n	1.0
m	m	1.0
l	l	1.0
j	j	1.0
h	h	1.0
fː_ə	f_n	1.0
fː	f	1.0
b̥_#>	b̥_#>	1.0
b̥	b	1.0
<#_ˈe	<#_ˈɛ	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_ʁ	1.0
#>	b_n_#>	1.0
ˈɒ	ˈa	0.871
ˈoː	ˈoː	0.846
kː	k	0.833
ˈɒː	ˈaː	0.812
ˈi	ˈɪ	0.8
tː	t	0.776
ʃː	s	0.75
ŋ	ŋ	0.75
ˈiə̯	ˈiː	0.667
ɡ̊	ɡ	0.667
ˈæ	ˈɛ	0.652
ˈu	ˈʊ	0.65
i	ɪ	0.625
ˈæː	ˈeː	0.6
ˈyə̯	ˈyː	0.6
d̥	d	0.6
r	ɐ	0.591
ə	n	0.509
ˈøi̯	ˈɔʏ̯	0.5
ˈøi̯	-	0.5
χː	ç	0.423
χː	x	0.423
r	ʁ	0.409
ˈæː	-	0.4
ˈyə̯	ˈuː	0.4
ˈy	ˈʏ	0.4
i	-	0.375
ˈiə̯	-	0.333
d̥	d̥	0.314
ˈyː	ˈɔʏ̯	0.312
ˈyː	ˈiː	0.312
ˈy	ˈɪ	0.3
ˈy	-	0.3
ˈyː	ˈyː	0.25
ʃː	ʃ	0.25
ŋ	n_d̥	0.25
ə	ə	0.246
tː	tʰ	0.224
ˈi	ˈiː	0.2
ˈɒː	ˈa	0.188
ɡ̊	ɡ̊	0.182
kː	-	0.167
χː	k	0.154
ˈoː	ˈaː	0.154
ɡ̊	ç	0.152
ˈu	ˈɔ	0.15
ə	ə_n	0.14
ˈæ	ˈeː	0.13
ˈæ	-	0.13
ˈɒ	ˈaː	0.129
ˈyː	-	0.125
ˈu	ˈʏ	0.1
ˈu	-	0.1
ə	-	0.088
ˈæ	ˈa	0.087
d̥	t	0.086
