Bulgarian	Bulgarian	probability
ˈ_ɫ	̂	1.0
ˈ_r	̂	1.0
ʧ	ʧ	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʃ_t	ʨ	1.0
ʃ	ʃ	1.0
ɫ_a	l_a	1.0
ɫ_#>	l_#>	1.0
ɡ̊	ɡ	1.0
ɡ	ɡ	1.0
ɛ_ˈ	e	1.0
ɛ_n	a_n	1.0
ɛ_#>	e_#>	1.0
ɔ	oː	1.0
ɐ_ɫ	a_o	1.0
ɐ_r	r̩_̂	1.0
ɐ_k	a_k	1.0
ɐ_#>	a_#>	1.0
z̥	-	1.0
z	z	1.0
x	x	1.0
v_ɐ	ʋ_a	1.0
tʲ	t	1.0
t_#>	t_#>	1.0
t	t	1.0
s	s	1.0
rʲ	-	1.0
r_#>	r_#>	1.0
pʲ	p	1.0
p	p	1.0
nʲ	n_j	1.0
m_#>	m_#>	1.0
m	m	1.0
lʲ	ʎ	1.0
k_#>	k_#>	1.0
j_ɐ	t_i	1.0
j	j	1.0
i_ˈ	i	1.0
f_#>	ʋ_#>	1.0
d̥_#>	d_#>	1.0
dʲ	d_j	1.0
d	d	1.0
b̥	b	1.0
bʲ	b	1.0
b	b	1.0
<#_ɛ	<#_j_e	1.0
<#_ɔ	<#_o	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
r	r	0.9
k	k	0.857
a_ˈ	a	0.857
ˈ	̂	0.813
ɫ	l	0.75
v	ʋ	0.75
u	uː	0.75
n	n	0.714
ˈ_#>	̂_#>	0.667
o	o	0.65
ɤ_ˈ	a_̂	0.6
vʲ	ʋ	0.6
i	i	0.6
ɔ_ˈ	o_̂	0.583
ɤ	uː	0.5
ɐ	a	0.429
l	̌_l	0.429
ɔ_ˈ	o	0.417
ɤ_ˈ	̂	0.4
vʲ	ʋ_j	0.4
i	iː	0.4
ɛ	e	0.39
ɛ	eː	0.366
o	o_̌	0.35
ˈ_#>	#>	0.333
a	a	0.333
l	ʎ	0.286
l	l	0.286
a	j_eː	0.259
a	aː	0.259
ɤ	u	0.25
u	u	0.25
ɐ	t_i	0.19
ˈ	̌	0.154
v	̌_ʋ	0.15
ɐ	aː	0.143
ɐ	-	0.143
n	̌_n	0.143
n	ɲ	0.143
a_ˈ	e	0.143
ɫ	o	0.125
ɫ	-	0.125
ɤ	r̩ː	0.125
ɤ	r̩	0.125
ɛ	a	0.122
v	u	0.1
r	-	0.1
ɐ	uː	0.095
k	̌_k	0.095
a	eː	0.074
a	e	0.074
ɛ	e_̌	0.073
