Nynorsk Norwegian	American English	probability
b	b	1.0
d	d	0.866
d	ð	0.091
e	-	0.798
e	i	0.053
e	ɪ	0.053
e	ə	0.053
e_ɾ	ɚ	1.0
f	f	1.0
h	h	1.0
j	-	0.765
j	ɡ	0.134
j	oʊ̯	0.091
k	k	0.698
k	-	0.159
k	ʧ	0.115
kʰ	kʰ	0.872
kʰ	-	0.11
kʰ_ʋ	w	1.0
l	l	0.607
l	ɫ	0.325
l	-	0.062
lː	ɫ	0.496
lː	ɫ_d	0.339
lː	ɚ	0.126
m	m	0.896
m	v	0.099
m_j	m	0.49
mː	m	0.49
n	n	0.85
n	-	0.107
nː	n	0.445
nː	n_d	0.298
nː	θ	0.142
nː	-	0.08
p	p	1.0
pʰ	pʰ	1.0
s	s	0.979
s_e	z	0.49
s_k	ʃ	1.0
sː	s	0.49
t	t	0.893
t	ɾ	0.104
t_ɑ	t	1.0
tʰ	tʰ	0.506
tʰ	θ	0.347
tʰ	d	0.088
v	w	0.24
ç	ʧ	0.37
ç	k	0.259
ç	t	0.146
ç	θ	0.102
çː	t	0.24
ŋ	n	0.323
ŋ	ŋ	0.158
ŋː	ŋ	1.0
ɑ	-	0.897
ɑ	i	0.06
ə	-	0.209
ə	ˈi	0.05
ɛ	ɚ	1.0
ɡ	-	0.597
ɡ	ɡ	0.304
ɡ	f	0.059
ɡ_l	ɫ	1.0
ɡː	ʤ	0.758
ɡː	ɡ	0.181
ɪ	ɪ	0.49
ɲ	ŋ	0.24
ɾ	ɹ	0.664
ɾ	ɚ	0.135
ɾ	ð_ɚ	0.093
ɾ	-	0.063
ɾ_e	ɚ	1.0
ɾ_ɑ	ɚ	0.49
ʃ	ʃ	0.393
ʃ	s	0.354
ʃ	m	0.203
ʉ	-	0.24
ʋ	w	0.515
ʋ	f	0.185
ʋ	v	0.155
ʋ	-	0.122
ʰkː	ŋ_k	0.922
ʰtː	t	1.0
ˈeː	ˈi	0.509
ˈeː	ˈɪ	0.143
ˈeː	ˈaɪ̯	0.095
ˈeː	ˈɛ	0.095
ˈeː	ˈeɪ̯	0.072
ˈeː	ˈæ	0.072
ˈiː	ˈaɪ̯	0.471
ˈiː	ˈɪ	0.272
ˈiː	ˈaɪ̯_d	0.069
ˈiː	ˈi	0.064
ˈiː	ˈɛ	0.052
ˈiː	ˈɔ	0.051
ˈoː	ˈi	0.362
ˈoː	ˈoʊ̯	0.163
ˈoː	ˈu	0.151
ˈoː	ˈɛ	0.132
ˈoː	ˈeɪ̯	0.071
ˈoː	j	0.062
ˈuː	ˈʌ	0.321
ˈuː	ˈu	0.286
ˈuː	ˈʊ	0.115
ˈuː	w	0.085
ˈuː	ˈɔ	0.085
ˈuː	ˈɝ	0.085
ˈyː	ˈaɪ̯	0.388
ˈyː	ˈi	0.357
ˈyː	ˈu	0.152
ˈyː	ˈɪ	0.077
ˈæ	ˈæ	0.49
ˈæɪ̯	ˈoʊ̯	0.625
ˈæɪ̯	ˈɑ	0.145
ˈæɪ̯	ˈʌ	0.145
ˈæɪ̯	ˈeɪ̯	0.071
ˈæʉ̯	ˈi	0.474
ˈæʉ̯	ˈɛ_d	0.306
ˈæʉ̯	ˈaɪ̯	0.116
ˈæːɪ̯	ˈoʊ̯	0.49
ˈøː	ˈi	0.537
ˈøː	ˈɛ	0.347
ˈøː	ˈoʊ̯	0.095
ˈœ	ˈɛ	0.323
ˈœ	ˈɪ	0.323
ˈœʏ̯	ˈi	1.0
ˈɑ	ˈɑ	0.31
ˈɑ	ˈæ	0.299
ˈɑ	ˈeɪ̯	0.14
ˈɑ	ˈɔ	0.101
ˈɑ	ˈoʊ̯	0.05
ˈɑː	ˈeɪ̯	0.437
ˈɑː	ˈæ	0.246
ˈɑː	ˈɛ	0.081
ˈɑː	ˈɑ	0.079
ˈɑː	ˈʌ	0.079
ˈɑː	ˈoʊ̯	0.06
ˈɔ	ˈʌ	0.287
ˈɔ	w	0.185
ˈɔ	ˈɔ	0.185
ˈɔ	ˈeɪ̯	0.122
ˈɔ	ˈɑ	0.093
ˈɔ	ˈaɪ̯	0.091
ˈɛ	ˈaɪ̯	0.285
ˈɛ	ˈɛ	0.269
ˈɛ	ˈeɪ̯	0.087
ˈɛ	ˈæ	0.087
ˈɛ	ˈɔ	0.087
ˈɛ	ˈɪ	0.087
ˈɛ	ˈɑ	0.07
ˈɛː	ˈɔ	0.66
ˈɛː	ˈɛ	0.158
ˈɪ	ˈɪ	0.671
ˈɪ	ˈaɪ̯	0.171
ˈɪ	ˈi	0.081
ˈɪ	ˈɛ	0.06
ˈʉ	ˈaʊ̯	0.233
ˈʉ	w_ˈʊ	0.203
ˈʉ	-	0.134
ˈʉ	ˈoʊ̯	0.134
ˈʉ	ˈʊ	0.134
ˈʉ	ˈɪ	0.094
ˈʉː	ˈaʊ̯	0.541
ˈʉː	ˈi	0.149
ˈʉː	ˈaɪ̯	0.118
ˈʉː	ˈɑ	0.098
ˈʉː	ˈɛ	0.058
ˈʊ	ˈɔ	0.226
ˈʊ	ˈaʊ̯	0.154
ˈʊ	j	0.145
ˈʊ	ˈæ	0.145
ˈʊ	ˈɪ	0.102
ˈʊ	ˈʌ	0.071
ˈʏ	ˈɪ	0.553
ˈʏ	ˈɛ	0.132
ˈʏ	w_ˈɪ	0.126
ˈʏ	ˈɑ	0.098
ˈʏ	ˈɝ	0.053
