East Low German	Northern Low Saxon	probability
ˈʏ_n	ˈʏ_n	1.0
ˈʏ	ˈʏ	1.0
ˈʊ_n	ˈʊ_n	1.0
ˈʊ	ˈʊ	1.0
ˈɪ_n	ˈɪ_n	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	ˈeː	1.0
ˈɔʏ̯	ˈɔʏ̯	1.0
ˈɒː	ˈoː	1.0
ˈœː	ˈøː	1.0
ˈœ	ˈœ	1.0
ˈyː	ˈyː	1.0
ˈuː_æ	ˈaʊ̯_ɐ	1.0
ˈuː_#>	ˈuː_#>	1.0
ˈuː	ˈuː	1.0
ˈoː	ˈoː	1.0
ˈiː_#>	ˈiː_#>	1.0
ˈaʊ̯_#>	ˈaʊ̯_#>	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈae̯_#>	ˈaɪ̯_#>	1.0
ˈa_l	ˈaː	1.0
ˈa	ˈa	1.0
ʃ_#>	ʃ_#>	1.0
ɾ_æ	d_ɐ	1.0
ɾ	l	1.0
ɡ	ɡ	1.0
ŋ_k	ŋ	1.0
ŋ_#>	ŋ_#>	1.0
ŋ	ŋ	1.0
ç_#>	ç_#>	1.0
ç	ɡ	1.0
æ_n	ɐ_n	1.0
æ_#>	ɐ_#>	1.0
æ	ɐ	1.0
x_#>	x_#>	1.0
x	x	1.0
w	v	1.0
v	v	1.0
s_t	s	1.0
s_#>	s_#>	1.0
s	s	1.0
r_ˈɔʏ̯	r_ˈɔʏ̯	1.0
r	r	1.0
p_n	b_m	1.0
p_#>	b_#>	1.0
p	p	1.0
n_ˈae̯	n_ˈaɪ̯	1.0
n_ɪ	n_ɪ	1.0
n_d	n_d	1.0
n_#>	n_#>	1.0
m_#>	m_#>	1.0
l_ˈaʊ̯	l_ˈaʊ̯	1.0
l_#>	l_#>	1.0
l	l	1.0
k_n	ɡ_n	1.0
k_#>	ɡ_#>	1.0
k	k	1.0
f_#>	f_#>	1.0
d_#>	d_#>	1.0
d	d	1.0
b	-	1.0
<#_ˈɪ	<#_ˈɪ	1.0
<#_ˈɒː	<#_ˈoː	1.0
<#_ˈuː	<#_ˈuː	1.0
<#_ˈae̯	<#_ˈaɪ̯	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_z	1.0
<#_v	<#_v	1.0
<#_tʰ	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_kʰ	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
ˈae̯	ˈaɪ̯	0.875
ˈiː	ˈiː	0.857
<#_ʃ	<#_ʃ	0.81
t_#>	d_#>	0.794
ˈɛ	ˈɛ	0.778
ˈɔ	ˈɔ	0.778
ˈaː	ˈaː	0.667
t	d	0.6
<#_j	<#_ɡ	0.6
t	t	0.4
<#_j	<#_ʒ	0.4
ˈaː	ˈa	0.333
ˈɛ	ˈeː	0.222
ˈɔ	ˈʊ	0.222
t_#>	t_#>	0.206
<#_ʃ	<#_s	0.19
ˈiː	ˈaɪ̯	0.143
ˈae̯	ˈeɪ̯	0.125
