Bavarian	Bavarian	probability
β	β	1.0
ˈɑ	ˈɒ	1.0
ˈuɐ̯	ˈuː	1.0
ˈoɐ̯	ˈaː	1.0
ˈou̯	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈiɐ̯	ˈiː	1.0
ˈi_ɐ	ˈɘ	1.0
ˈe	ˈɛ	1.0
ˈau̯	ˈaʊ̯	1.0
ˈai̯	ˈaɪ̯	1.0
ʦ	ʦ	1.0
ʋ	v	1.0
ɡ̊_a	ɡ̊_n	1.0
ɡ̊_#>	#>	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
ç	ç	1.0
x_d̥	ç_d̥	1.0
n_a	n_a	1.0
m	m	1.0
j_d̥	l_d̥	1.0
h	h	1.0
f_a	f_n	1.0
f	f	1.0
eɐ̯	eː	1.0
d̥_ˈu	d̥_ˈuː	1.0
d̥_n	d̥_n	1.0
d̥_a	ɐ	1.0
b̥͡v̥	b̥͡v̥	1.0
ʃ	ʃ	0.935
b̥	b̥	0.92
x	x	0.917
d̥	d̥	0.914
l	l	0.913
n	n	0.898
j	l	0.895
r	r	0.885
s	s	0.851
kʰ	ɡ̊	0.846
ˈi	ˈɪ	0.833
ˈeː	ˈeː	0.769
ˈɒː	ˈoː	0.75
ɡ̊	ɡ̊	0.75
ə	-	0.727
ˈu	ˈʊ	0.667
i	-	0.667
a	ɐ	0.667
ˈoː	ˈoː	0.6
#>	ç_#>	0.6
ˈo	ˈɔ	0.591
ˈaː	ˈaː	0.556
ˈaː	-	0.444
ˈo	ˈɒ	0.409
ˈɑː	ˈoː	0.4
ˈɑː	-	0.4
ˈoː	ˈuː	0.4
ˈa	ˈɒ	0.4
ˈa	-	0.4
#>	b̥_#>	0.4
i	i	0.333
ə	a	0.273
ˈɒː	ˈɔ	0.25
ˈeː	-	0.231
ˈɑː	ˈɒː	0.2
ˈa	ˈa	0.2
ˈu	-	0.19
a	a	0.182
ˈi	ˈiː	0.167
kʰ	ɡ̊_ˈeː	0.154
a	n	0.152
s	z̥	0.149
ˈu	ˈɪ	0.143
ɡ̊	ç	0.143
r	ɐ	0.115
ɡ̊	x	0.107
j	j	0.105
l	l_ˈaː	0.087
x	ɣ̊	0.083
n	-	0.082
b̥	-	0.08
d̥	ɾ	0.071
ʃ	s	0.065
