Xiang	Gan	probability
⁴¹	²¹³	1.0
ʦʰ	ʦʰ	1.0
ʐ	nʲ	1.0
ɸ	f	1.0
ɕ	ɕ	1.0
³³	⁴²	1.0
²¹	¹¹	1.0
z̩	z̩	1.0
tʰ	tʰ	1.0
s	s	1.0
õ	ɵ_n	1.0
nʲ	nʲ	1.0
m	m	1.0
l̃	l	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_⁴⁵	j_²¹³	1.0
j_ə	i	1.0
i	i	1.0
a_¹³	a_³⁵	1.0
<#_ɕ	<#	1.0
<#_ŋ	<#_ŋ	1.0
<#_w_ə	<#_u	1.0
w	w	0.852
j	j	0.783
ʨʰ	ʨʰ	0.714
t	tʰ	0.714
ʦ	ʦ	0.667
²⁴	⁵	0.667
e	-	0.667
x	h	0.625
p	p	0.625
a	a	0.606
y	y	0.6
u	u	0.6
¹³	³⁵	0.588
ẽ	ɵ_n	0.571
ʨ	ʨ	0.556
ɒ	ɛ	0.556
n	n	0.533
ɥ	ɥ	0.5
ɥ	-	0.5
ɤ	ɛ_t̚	0.5
o	o	0.5
n	ŋ	0.467
⁴⁵	²¹³	0.444
ʨ	ʨʰ	0.444
ɒ	a	0.444
ẽ	ɛ_n	0.429
¹³	²⁴	0.412
u	-	0.4
ə	u	0.391
x	f	0.375
p	pʰ	0.375
⁴⁵	³⁵	0.333
ʦ	ʦʰ	0.333
e	ɵ_t̚	0.333
ɤ	ɵ	0.3
o	ɔ_ʔ	0.3
ʨʰ	ʦʰ	0.286
t	t	0.286
a	ɔ	0.242
⁴⁵	¹¹	0.222
²⁴	t̚_⁵	0.208
ɤ	a	0.2
y	j_e	0.2
y	-	0.2
o	-	0.2
ə	ɨ	0.174
ə	j	0.174
w	u_ʔ	0.148
j	ɥ	0.13
²⁴	²	0.125
a	ɵ	0.091
ə	ɛ	0.087
ə	j_ɛ	0.087
ə	a	0.087
j	-	0.087
a	a_t̚	0.061
