Macedonian	Štokavian	probability
ˈɛ_s	êː_s	1.0
ˈɛ_l	ě_l	1.0
ˈu	ûː	1.0
ʦ	ʦ	1.0
ʣ	z	1.0
ʒ	ʒ	1.0
ʃ	ʒ	1.0
ɫ_ˈa	l_ǎː	1.0
ɫ	l	1.0
ɡ	ɡ	1.0
z	z	1.0
u	a	1.0
t	t	1.0
s_t	s_t	1.0
s_#>	s_#>	1.0
s	s	1.0
r_#>	r_#>	1.0
r	r	1.0
p_#>	b_#>	1.0
p	p	1.0
o_#>	o_#>	1.0
o	a	1.0
n_#>	n_#>	1.0
n	n	1.0
m_#>	m_#>	1.0
m	m	1.0
l	ʎ	1.0
i_#>	i_#>	1.0
i	i	1.0
d	d	1.0
b	b	1.0
a_#>	a_#>	1.0
a	a	1.0
<#_ˈo	<#_ô	1.0
<#_ʧ	<#_ʧ	1.0
<#_ʦ	<#_ʦ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ɫ	<#_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_z	1.0
<#_v	<#_ʋ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
<#	<#_x	1.0
t_#>	t_#>	0.778
k	k	0.714
v	ʋ	0.692
k_#>	k_#>	0.667
f_#>	ʋ_#>	0.667
ɛ_#>	e_#>	0.556
ˈi	î	0.545
ˈo_ɫ	ûː	0.5
ˈo_ɫ	û	0.5
ɫ_#>	o_#>	0.5
ɫ_#>	l_#>	0.5
ˈa	â	0.467
ɛ	e	0.467
ɛ_#>	t_i_#>	0.444
ˈo	ô	0.381
ˈr̩	r̩̂	0.333
ˈo	ôː	0.333
ˈa	âː	0.333
k_#>	ɡ_#>	0.333
f_#>	x_#>	0.333
v	ʋ_j	0.308
ˈo	ǒ	0.286
k	k_a	0.286
ˈi	îː	0.273
ɛ	eː	0.267
ɛ	a	0.267
ˈɛ	ě	0.231
ˈr̩	r̩̂ː	0.222
ˈr̩	r̩̂	0.222
ˈr̩	r̂ː	0.222
t_#>	d_#>	0.222
ˈa	ûː	0.2
ˈɛ	j_ê	0.192
ˈɛ	ê	0.192
ˈi	ǐː	0.182
ˈɛ	j_ěː	0.154
ˈɛ	j_êː	0.154
ˈɛ	êː	0.077
