Swiss German	Pennsylvania German	probability
χː_sː	k_s	1.0
ˈøː	ˈeː	1.0
ˈøi̯	-	1.0
ˈø	ˈɛ	1.0
ˈæː	-	1.0
ˈæi̯	ˈeː	1.0
ˈuː	ˈaʊ̯	1.0
ˈoː	ˈoː	1.0
ˈo_r	ˈaː	1.0
ˈiː	ˈaɪ̯	1.0
ˈiə̯_χː	ç	1.0
ˈiə̯	ˈiː	1.0
ˈeː	ˈeː	1.0
ˈe	-	1.0
ˈau̯	ˈɔː	1.0
ʒ̊	ʃ	1.0
ʋ	ʋ	1.0
ʃː	ʃ	1.0
ɣ̊	k	1.0
ɡ̊_#>	ɡ̊_#>	1.0
ə_r	ɑ	1.0
ŋ_#>	n_d̥_#>	1.0
ŋ	ŋ	1.0
z̥	s	1.0
v̥	f	1.0
tː_r	d_ɾ	1.0
sː	s	1.0
p͡f	p	1.0
pː	-	1.0
n_d̥	n	1.0
l_d̥	l_d̥	1.0
l	l	1.0
kː	k	1.0
j	j	1.0
h	h	1.0
fː	f	1.0
b̥_#>	b̥_#>	1.0
b̥	b	1.0
<#_ˈu	<#_ˈʊ	1.0
<#_ˈe	<#_ˈɛ	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_ɾ	1.0
m	m	0.923
n	n	0.921
ʦ	ʦ	0.882
ˈɒ	ˈa	0.862
ˈuə̯	ˈuː	0.818
ˈi	ˈɪ	0.818
ə	ə	0.732
i	ɪ	0.714
ˈy	ˈɪ	0.7
ˈo	ˈɔ	0.643
ˈu	ˈʊ	0.625
χː	x	0.611
ˈyə̯	ˈiː	0.6
ˈæ	ˈɛ	0.591
d̥	d	0.56
ˈɒː	ˈɔː	0.533
ɡ̊	ɡ	0.52
r	ɾ	0.5
b̥_ə	ʋ_ə	0.5
b̥_ə	ʋ	0.5
d̥	d̥	0.44
ˈyː	ˈiː	0.429
ˈyː	ˈaɪ̯	0.429
tː	d	0.404
ˈyə̯	ˈuː	0.4
r	ɑ	0.391
χː	ç	0.389
ˈo	-	0.357
tː	d̥	0.308
ˈy	-	0.3
tː	t	0.288
i	-	0.286
ə	-	0.268
ˈɒː	-	0.267
ɡ̊	ç	0.24
ˈæ	ˈɛː	0.227
ˈɒː	ˈoː	0.2
ˈuə̯	ˈʊ	0.182
ˈi	-	0.182
ˈyː	-	0.143
ˈɒ	ˈɔː	0.138
ˈu	ˈɪ	0.125
ˈu	ˈɔ	0.125
ˈu	ˈaː	0.125
ɡ̊	ɣ	0.12
ɡ̊	j	0.12
ʦ	-	0.118
ˈæ	ˈeː	0.091
ˈæ	-	0.091
n	-	0.079
m	ə_m	0.077
r	-	0.065
