Taiwanese Hokkien	Taiwanese Hokkien	probability
⁵⁵	²¹	1.0
⁵³	⁵³	1.0
⁵	²¹	1.0
⁴⁴	⁵⁵	1.0
⁴	²¹	1.0
ʨʰ	-	1.0
ʨ	ʦ	1.0
ʔ	-	1.0
ɪ_k̚	ɛ	1.0
ɛ	ɥ	1.0
ɔ̃	o	1.0
ŋ	ŋ	1.0
¹¹	²¹³	1.0
³³	²¹³	1.0
³²	²¹	1.0
²⁴	²¹	1.0
²²	²¹³	1.0
w_e	i	1.0
w_ã	a_n	1.0
w_a	a	1.0
u_t̚	u	1.0
u_j	i	1.0
t̚_³²	²¹	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
o_ʔ	o	1.0
o	a_w	1.0
n	n	1.0
m	n	1.0
l_i	ɚ	1.0
l	z	1.0
k̚	-	1.0
j_ã	i_n	1.0
ĩ	ɛ_n	1.0
h_u	y	1.0
e_ʔ	ɥ_e	1.0
e	a	1.0
b	m	1.0
a_ʔ	ɛ	1.0
a_k̚	u	1.0
a_j	z̩	1.0
<#_ɡ	<#	1.0
<#_m	<#_w	1.0
<#_k	<#	1.0
#>	⁵⁵_#>	1.0
<#_l	<#_n	0.778
w	w	0.75
ʦʰ	ʦʰ	0.667
ɕ	s	0.667
kʰ	kʰ	0.667
h	x	0.636
j	j	0.625
ʦ	ʦ	0.6
a	a	0.522
t	t	0.5
s	ɕ	0.5
s	s	0.5
ŋ̍	a_ŋ	0.455
i	i	0.438
p	p	0.417
p	f	0.417
ʦ	s	0.4
k	ʨ	0.4
k	k	0.4
u	ə	0.385
ɔ	u	0.375
ɔ	o	0.375
j	-	0.375
i	z̩	0.375
<#	<#_ŋ	0.375
<#	<#_x	0.375
ŋ̍	a_n	0.364
h	f	0.364
ʦʰ	ʦʰ_w	0.333
ɕ	ɕ	0.333
kʰ	ʨʰ	0.333
u	u	0.308
t	ʦ	0.3
a	o	0.261
ɔ	w_a	0.25
w	-	0.25
<#	<#_ɕ	0.25
<#_l	<#	0.222
t	ʦʰ	0.2
k	ʨ_j	0.2
i	-	0.188
ŋ̍	ə_n	0.182
p	pʰ	0.167
u	a	0.154
u	-	0.154
a	ə	0.13
a	ɛ	0.087
