Bellunese	Romansch	probability
a	ə	0.92
a	-	0.06
b	b	0.824
b	-	0.123
b	v	0.053
d	d	0.836
d	s	0.081
d	-	0.074
e	ə	0.696
e	-	0.109
e	j	0.086
e	ˈe	0.05
f	f	0.975
i	ə	0.383
i	-	0.326
i	u	0.186
i	i	0.106
j	-	0.324
j	ˈi	0.193
j	j	0.182
j	l	0.133
j	ˈe	0.055
k	ʨ	0.615
k	k	0.313
k	-	0.072
l	l	0.819
l	j_l	0.087
l	-	0.087
m	m	1.0
n	n	0.912
o	w	0.369
o	u	0.219
o	ə	0.191
o	-	0.127
o	ˈɔ	0.05
p	p	1.0
r	r	0.96
s	s	0.582
s	ʃ	0.384
t	t	0.777
t	ʨ	0.169
u	i	0.749
u	ˈu	0.211
v	v	0.845
v	-	0.079
w	-	0.608
w	w	0.293
w	u	0.099
z	ʃ	0.617
z	z	0.18
z	-	0.057
z	ʧ	0.057
ð	ʃ	0.665
ð	ʥ	0.296
ŋ	n	0.502
ŋ	w_n	0.197
ŋ	ŋ	0.115
ŋ	j_n	0.079
ŋ	m	0.057
ɡ	-	0.578
ɡ	ɡ	0.324
ɡ	ʥ	0.098
ɲ	ɲ	0.83
ɲ	ʥ	0.17
ʤ	ɡ	1.0
ʧ	ʎ	0.674
ʧ	k	0.326
ˈa	ˈa	0.635
ˈa	ˈaː	0.221
ˈa	-	0.077
ˈe	ˈa	0.401
ˈe	ˈɛ	0.241
ˈe	ˈe	0.131
ˈe	-	0.126
ˈi	ˈi	0.785
ˈi	ˈiː	0.118
ˈi	ˈɛ	0.077
ˈo	ˈu	0.61
ˈo	ˈuː	0.124
ˈo	ˈɔ	0.085
ˈu	ˈi	0.571
ˈu	ˈu	0.343
ˈu	ˈiː	0.085
ˈɔ	ˈɔ	0.449
ˈɔ	ˈa	0.204
ˈɔ	ˈɔː	0.165
ˈɔ	ˈu	0.139
ˈɛ	ˈɛ	0.593
ˈɛ	ʎ	0.099
ˈɛ	ˈeː	0.089
ˈɛ	ˈi	0.077
ˈɛ	ˈɛː	0.077
θ	ʧ	0.62
θ	-	0.187
θ	s	0.094
θ	t	0.059
