Romansch	Megleno-Romanian	probability
b	b	1.0
d	d	1.0
k	k	1.0
p	p	1.0
ʥ	ʒ	1.0
ʨ	k	1.0
ˈaː	ˈa	1.0
ˈeː	e̯ˈa	1.0
ˈiː	ˈi	1.0
ˈuː	ˈu	1.0
ˈɔ	ˈo	1.0
j	-	0.881
ˈa	e̯ˈa	0.1
ˈa	ˈɔ	0.11
ˈu	ˈu	0.821
j	j	0.092
l	ʎ	0.132
n	n	0.912
ŋ	ŋ	0.372
ʃ	ʃ	0.132
ˈe	e̯ˈa	0.642
ˈɛː	ˈa	0.322
l	-	0.093
r	r_i	0.203
t	ʦ	0.093
w	-	0.833
ʎ	k_ʎ	0.73
ʧ	ʦ	0.823
ˈa	ˈa	0.573
ˈɛ	ˈa	0.173
f	-	0.184
s	ʃ	0.064
ə	ə	0.664
ˈe	i	0.14
ˈɛ	ˈi	0.404
l	l	0.565
ə	-	0.065
ə	i	0.225
ɡ	-	0.115
ɡ	ɡ	0.885
ʃ	-	0.125
ˈi	ˈu	0.255
ˈi	ˈi	0.745
ˈɛ	ˈe	0.065
f	f	0.816
s	s	0.936
v	v	0.596
r	-	0.097
r	r	0.7
w	j	0.117
ʃ	<#_w	0.087
ʃ	s	0.487
ʎ	ʎ_u	0.27
ʧ	ʧ	0.177
ˈa	ˈe	0.217
ˈɛ	ˈo	0.357
t	t_i	0.228
t	t	0.638
v	-	0.208
ŋ	n	0.628
ˈe	ˈe	0.218
ˈɛː	ˈe	0.678
l	r	0.209
m	m	0.969
v	i_#>	0.109
ʃ	<#_j	0.169
ˈu	ˈo	0.179
