Shanghainese	Shanghainese	probability
⁵	³²	1.0
ʨʰ	-	1.0
ʨ	k	1.0
ʦʰ	ʦʰ	1.0
ʥ	k	1.0
ʑ	ʦ	1.0
ɯ	-	1.0
ɪ_ʔ	t̚	1.0
ɦ	h	1.0
ɤ	w	1.0
ɡ	k	1.0
ɜ	a_w	1.0
ə_n	ŋ̍	1.0
ŋ̍	-	1.0
ŋ	ŋ	1.0
¹²	⁴	1.0
w	-	1.0
tʰ	tʰ	1.0
t	t	1.0
pʰ	pʰ	1.0
p	p	1.0
nʲ	l	1.0
kʰ	kʰ	1.0
k	k	1.0
h	h	1.0
b	p	1.0
a_ʔ	ʔ	1.0
<#_ʦ	<#	1.0
<#_ɦ	<#	1.0
<#_ŋ	<#_ɡ	1.0
<#_nʲ	<#	1.0
<#	<#_ʨʰ	1.0
#>	³³_#>	1.0
⁵⁵	³²	0.941
⁵³	⁴⁴	0.941
ɥ	-	0.75
z̩	i	0.75
³⁴	⁵³	0.679
y	u	0.667
l	l	0.667
ã	ɪ_ŋ	0.667
a	e	0.667
ə	u	0.6
s	ɕ	0.6
d	t	0.6
²³	²⁴	0.59
ɕ	-	0.571
ɑ̃	ŋ̍	0.571
f	h	0.571
ɔ	o	0.556
z	t	0.556
i	i	0.526
ɪ	e	0.5
ɪ	a	0.5
v	p	0.5
v	-	0.5
n	n	0.5
m	m	0.5
m	b	0.5
ʦ	ʨ	0.444
ɔ	a_w	0.444
ɕ	ɕ	0.429
ɑ̃	ɔ_ŋ	0.429
f	p	0.429
ʔ	ʔ	0.417
ʔ	k̚	0.417
j	j	0.417
s	s	0.4
e	a_j	0.4
d	tʰ	0.4
o	a	0.375
ʦ	ʦ	0.333
y	ɔ	0.333
l	l_j	0.333
j	i	0.333
ã	w̃	0.333
³⁴	¹¹	0.321
ø	w_ã	0.3
ø	a_m	0.3
u	ɔ	0.273
u	u	0.273
ɥ	ɛ	0.25
z̩	a_j	0.25
o	ɔ	0.25
j	-	0.25
ʦ	t	0.222
z	ʨ	0.222
z	-	0.222
n	ã	0.222
a	w_a	0.222
i	j	0.211
ə	ɪ	0.2
ə	j	0.2
ø	a_n	0.2
ø	-	0.2
e	ŋ̍	0.2
e	ã	0.2
e	-	0.2
²³	³³	0.197
u	w_a	0.182
u	-	0.182
ʔ	t̚	0.167
n	l	0.167
i	ĩ	0.158
²³	⁵³	0.148
o	ɪ	0.125
o	o	0.125
n	m	0.111
a	j̃	0.111
i	w_e	0.105
u	ɤ	0.091
o	e	0.083
⁵⁵	⁵	0.059
⁵³	-	0.059
