Pennsylvania German	Swedish	probability
b	b	0.979
d	d	0.475
d	tʰ	0.311
d	-	0.115
d	t	0.053
eː	ɔ	1.0
f	f	0.627
f	p	0.13
f	v	0.109
f	-	0.055
h	h	0.878
h	-	0.122
j	-	0.413
j	ɡ	0.331
j	j	0.205
j	ŋ	0.051
k	ɡː	0.372
k	k	0.228
k	ɡ	0.19
k	kː	0.1
k	-	0.091
kʰ	kʰ	0.831
kʰ	ɕ	0.16
l	l	0.785
l	lː	0.103
l	j	0.053
m	m	0.69
m	mː	0.198
m	-	0.113
n	n	0.545
n	-	0.16
n	nː	0.156
n	ɳ	0.064
p	v	0.886
p	p	0.114
p͡f	pʰ	1.0
s	s	0.459
s	t	0.319
s	ɧ	0.099
t	d	0.518
t	-	0.212
t	t	0.15
t	ɖ	0.079
v	v	0.5
v	-	0.5
x	k	0.249
x	ɡ	0.238
x	tː	0.22
x	-	0.148
x	kː	0.145
ç	k	0.323
ç	ɡ	0.232
ç	ŋ	0.141
ç	tː	0.105
ç	s	0.08
ç	j	0.061
ç	-	0.058
ŋ	ŋː	0.868
ŋ	ŋ	0.132
ɑ	r	0.354
ɑ	ɛ	0.27
ɑ	-	0.191
ɑ	ɳ	0.074
ə	a	0.837
ə	-	0.113
ɡ	ɡ	0.735
ɡ	j	0.205
ɡ	kʰ	0.06
ɣ	ɡ	0.605
ɣ	-	0.209
ɣ	jː	0.186
ɪ	-	0.384
ɪ	j	0.223
ɪ	ɪ	0.121
ɪ	ɵ	0.094
ɪ	ɛ	0.089
ɪ	ˈʉː	0.089
ɾ	r	0.97
ʃ	s	0.726
ʃ	ɧ	0.257
ʋ	v	0.63
ʋ	-	0.37
ʦ	tʰ	0.599
ʦ	tː	0.172
ʦ	ʈː	0.122
ʦ	d	0.066
ˈa	ˈa	0.524
ˈa	ˈɑː	0.144
ˈa	ˈoː	0.087
ˈa	-	0.058
ˈa	ˈɛ	0.052
ˈaɪ̯	ˈiː	0.494
ˈaɪ̯	ˈɛ	0.172
ˈaɪ̯	ˈyː	0.138
ˈaɪ̯	ˈeː	0.101
ˈaʊ̯	ˈʉː	0.855
ˈaʊ̯	ˈøː	0.063
ˈaː	ˈuː	0.448
ˈaː	ˈʊ	0.221
ˈaː	ˈa	0.176
ˈaː	ˈɔ	0.116
ˈeː	ˈeː	0.33
ˈeː	ˈoː	0.154
ˈeː	ˈøː	0.129
ˈeː	ˈɛː	0.115
ˈeː	ˈɵ	0.1
ˈeː	ˈœː	0.096
ˈiː	ˈyː	0.336
ˈiː	j_ˈʉː	0.232
ˈiː	ˈʉː	0.178
ˈiː	ˈøː	0.109
ˈiː	ˈiː	0.054
ˈoː	ˈoː	0.665
ˈoː	ˈøː	0.304
ˈuː	ˈuː	0.738
ˈuː	ˈøː	0.207
ˈuː	ˈʉː	0.055
ˈɔ	ˈɵ	0.342
ˈɔ	ˈɔ	0.165
ˈɔ	ˈœ	0.158
ˈɔ	ˈʉː	0.158
ˈɔ	ˈɛ	0.104
ˈɔ	ˈoː	0.073
ˈɔɪ̯	ˈɛ	1.0
ˈɔː	ˈɑː	0.271
ˈɔː	ˈoː	0.186
ˈɔː	ˈa	0.138
ˈɔː	ˈœ	0.123
ˈɔː	ˈɛː	0.113
ˈɔː	ˈøː	0.087
ˈɛ	ˈɛ	0.503
ˈɛ	ˈɛː	0.145
ˈɛ	ˈɵ	0.116
ˈɛ	ˈeː	0.076
ˈɛ	ˈa	0.057
ˈɛː	ˈæ	0.274
ˈɛː	ˈæː	0.234
ˈɛː	ˈʏ	0.188
ˈɛː	ˈøː	0.155
ˈɛː	ˈɛ	0.095
ˈɛː	ˈɔ	0.054
ˈɪ	ˈɪ	0.516
ˈɪ	ˈɵ	0.109
ˈɪ	ˈœ	0.089
ˈɪ	ˈɛ	0.082
ˈɪ	ˈʏ	0.059
ˈʊ	ˈɵ	0.355
ˈʊ	ˈʊ	0.347
ˈʊ	ˈɔ	0.165
ˈʊ	ˈoː	0.071
