Alsatian	Faroese	probability
b̥	b̥	0.861
b̥	v	0.079
d̥	d̥	0.457
d̥	tʰ	0.24
d̥	-	0.19
d̥	w	0.073
e	m	1.0
eː	a	1.0
f	f	0.628
f	p	0.145
f	v	0.119
f	-	0.056
h	h	0.912
h	-	0.088
i	ʊ	0.615
i	-	0.155
i	a	0.094
i	ɪ	0.093
j	v̥	0.349
j	-	0.346
j	ʤ̊ː	0.163
j	n̥	0.1
k	ʤ̊ː	0.226
k	ɹː	0.199
k	k	0.198
k	ɡ̊ː	0.184
k	ʰkː	0.12
k	ʰʧː	0.073
kʰ	kʰ	0.624
kʰ	ʧʰ	0.343
l	l	0.698
l	l̥	0.204
m	m	0.834
m	-	0.119
n	n	0.5
n	-	0.152
n	nː	0.145
n	ŋ	0.061
n	ʤ̊ː	0.059
n	n̥	0.055
p͡f	ʰp	0.659
p͡f	tː	0.341
s	s	0.619
s	t	0.253
s	ʰt	0.076
t	j	0.254
t	d̥	0.184
t	t	0.141
t	w	0.139
t	-	0.126
t	v	0.089
v	j	0.339
v	ɡ̊	0.339
v	v	0.202
v	-	0.121
w	v	0.718
w	ˈɪ	0.282
x	ʰtː	0.62
x	v	0.211
x	k	0.114
x	-	0.055
ŋ	ŋ	0.893
ŋ	-	0.056
ŋ	ɲ	0.051
ə	a	0.534
ə	ɪ	0.186
ə	ʊ	0.102
ə	-	0.087
ɡ̊	ɡ̊	0.761
ɡ̊	ʤ̊	0.159
ɡ̊	kʰ	0.08
ʁ	ɹ	0.789
ʁ	-	0.083
ʃ	s	0.396
ʃ	k	0.321
ʃ	ʃ	0.153
ʃ	-	0.075
ʃ	ʰk	0.055
ʋ	v	0.632
ʋ	-	0.243
ʋ	kʰ_v	0.073
ʦ	tʰ	0.588
ʦ	t	0.113
ʦ	ʰtː	0.113
ʦ	ʈ	0.086
ʦ	ʧʰ	0.055
ˈai̯	ˈɔːi̯	1.0
ˈaː	ˈɪ	0.374
ˈaː	ˈa	0.313
ˈaː	ˈiː	0.313
ˈe	ˈɛ	0.382
ˈe	ˈœ	0.188
ˈe	ˈʊ	0.127
ˈe	ˈiː	0.121
ˈe	ˈeː	0.074
ˈe	ˈeə̯	0.056
ˈe	-	0.052
ˈei̯	ˈʊ	0.249
ˈei̯	ˈai̯	0.228
ˈei̯	ˈɛ	0.228
ˈei̯	ˈɛːa̯	0.219
ˈei̯	ˈʊ̯iː	0.076
ˈeː	ˈɛ	0.271
ˈeː	ˈɔːi̯	0.241
ˈeː	ˈʊ	0.189
ˈeː	ˈeː	0.138
ˈeː	ˈɛːa̯	0.137
ˈi	ˈɪ	0.566
ˈi	ˈʊ̯iː	0.141
ˈi	ˈɛ	0.083
ˈi	ˈa	0.06
ˈi	ˈɔ	0.052
ˈiː	ˈʊ̯iː	0.438
ˈiː	ˈɪ	0.142
ˈiː	ˈøː	0.118
ˈiː	ˈɔːu̯	0.077
ˈiː	ˈʊ	0.076
ˈiː	ˈɛ	0.053
ˈo	ˈɔ	0.537
ˈo	ˈʊ	0.147
ˈo	ˈoː	0.137
ˈo	ˈuː	0.069
ˈo	ˈʏ	0.066
ˈoː	ˈɔ̯aː	0.506
ˈoː	ˈɛːi̯	0.199
ˈoː	ˈɔ	0.158
ˈoː	ˈoː	0.068
ˈu	ˈʊ	0.56
ˈu	ˈɔ	0.193
ˈu	ˈoː	0.084
ˈu	ˈɪ	0.069
ˈyː	ˈʉːu̯	0.629
ˈyː	ˈʊ	0.29
ˈyː	ˈɪ	0.081
ˈæ	ˈeː	0.677
ˈæ	ˈɔ	0.161
ˈæ	ˈiː	0.161
ˈæː	ˈʊ	0.432
ˈæː	ˈœ	0.278
ˈæː	ˈɛ	0.155
ˈæː	ˈuː	0.135
ˈø	ˈʊ	1.0
ˈøi̯	ˈʉːu̯	1.0
ˈøː	ˈɔːu̯	0.676
ˈøː	ˈœ	0.324
ˈœ	ˈɛːi̯	1.0
ˈɒ	ˈa	0.44
ˈɒ	ˈɛːa̯	0.211
ˈɒ	ˈɔ	0.097
ˈɒ	w	0.075
ˈɒ	ˈɛ	0.075
ˈɒ	ˈɔ̯aː	0.055
ˈɒː	ˈa	0.391
ˈɒː	ˈɛːa̯	0.34
ˈɒː	ˈɔ	0.189
ˈɒː	ˈøː	0.06
ˈɔi̯	a	0.5
ˈɔi̯	ˈoː	0.5
ˈəi̯	ˈaːi̯	0.492
ˈəi̯	ˈai̯	0.306
ˈəi̯	ˈɛ	0.101
ˈəi̯	ˈɛːi̯	0.101
ˈɛ	ˈɛ	0.714
ˈɛ	ˈøː	0.286
ˈʊː	ˈɔːu̯	0.544
ˈʊː	ˈɛːi̯	0.128
ˈʊː	ˈɛːa̯	0.126
ˈʊː	ˈøː	0.081
ˈʊː	ˈɔːi̯	0.081
