Alsatian	Faroese	probability
b̥	b̥	0.864
b̥	v	0.06
b̥	ɹ	0.049
b̥	tʰ	0.039
d̥	d̥	0.5
d̥	tʰ	0.188
d̥	-	0.173
d̥	w	0.128
e	m	0.484
f	f	0.728
f	v_ʊ	0.078
f	p	0.078
f	v	0.059
f	-	0.05
h	h	1.0
i	a	0.316
i	-	0.182
i	ɪ	0.182
i	ʊ	0.126
i	ŋ	0.077
j	-	0.457
j	ʊ	0.257
j	ˈʏ	0.257
k	k	0.232
k	ɹː	0.232
k	ʤ̊	0.232
k	ɡ̊	0.14
k	ʰkː	0.089
kʰ	kʰ	0.718
kʰ	-	0.158
kʰ	ʧʰ	0.106
l	l	0.792
l	l̥	0.12
l	-	0.04
l	nː	0.036
l	j	0.029
m	m	0.588
m	m_ʊ	0.241
m	-	0.148
n	n	0.513
n	-	0.249
n	n̥	0.101
n	nː	0.086
n	ʤ̊	0.049
n_d̥	nː	1.0
p͡f	tː	0.574
p͡f	ʰp	0.278
s	s	0.585
s	t	0.246
s	ʰt	0.099
s	sː	0.062
t	-	0.222
t	t	0.179
t	d̥	0.162
t	w	0.146
t	j	0.111
v	ɡ̊	0.425
v	v	0.236
v	j	0.131
w	v	0.784
w	ˈɪ	0.121
x	-	0.574
x	v	0.278
x_t	ʰtː	1.0
ŋ	ŋ	0.789
ŋ	ɲ	0.106
ŋ	-	0.073
ə	a	0.532
ə	ɪ	0.147
ə	ʊ	0.124
ə	n̥	0.062
ə	ɡ̊_ʊ	0.043
ɡ̊	ɡ̊	0.763
ɡ̊	kʰ	0.117
ɡ̊	ʤ̊	0.117
ʁ	ɹ	0.723
ʁ	-	0.092
ʁ	t	0.082
ʁ	ɹ_ʊ	0.034
ʁ	ɹ_a	0.027
ʃ	s	0.498
ʃ	-	0.206
ʃ	ʃ	0.144
ʃ	k	0.081
ʃ	k_ʊ	0.044
ʋ	v	0.467
ʋ	-	0.312
ʋ	j	0.078
ʋ	kʰ	0.062
ʋ	ˈʉːu̯	0.059
ʦ	tʰ	0.452
ʦ	t	0.18
ʦ	-	0.097
ʦ	ʧʰ	0.097
ʦ	ʈ	0.094
ˈai̯	ˈɔːi̯	0.484
ˈaː	ˈa	0.66
ˈaː	ˈiː	0.154
ˈe	ˈɛ	0.303
ˈe	ˈeə̯	0.136
ˈe	ˈeː	0.136
ˈe	ˈiː	0.136
ˈe	ˈœ	0.097
ˈei̯	ˈɛːa̯	0.5
ˈei̯	ˈʊ̯iː	0.5
ˈeː	ˈɔ̯aː	0.301
ˈeː	ˈɛːa̯	0.181
ˈeː	ˈɔːi̯	0.109
ˈeː	ˈʊ	0.109
ˈeː	ˈɛ	0.066
ˈi	ˈɪ	0.477
ˈi	ˈa	0.107
ˈi	ˈiː	0.107
ˈi	ˈʊ̯iː	0.107
ˈi	ˈœ	0.071
ˈiː	ˈʊ̯iː	0.485
ˈiː	ˈøː	0.215
ˈiː	-	0.084
ˈiː	ˈɔːu̯	0.075
ˈiː	ʊ̯ˈiː	0.064
ˈo	ˈɔ	0.421
ˈo	ˈʊ_t	0.147
ˈo	ˈoː	0.111
ˈo	ˈœ	0.111
ˈo	ˈʏ	0.111
ˈoː	ˈɔ̯aː	0.441
ˈoː	ˈɛːi̯	0.221
ˈoː	ˈoː	0.108
ˈoː	ˈœ	0.108
ˈoː	ˈɔ	0.108
ˈu	ˈʊ	0.506
ˈu	ˈɔ	0.186
ˈu	ˈœ	0.122
ˈu	ˈɪ	0.122
ˈu	ˈuː	0.047
ˈyː	ˈʉːu̯	0.822
ˈyː	ˈʊ	0.141
ˈæ	ˈeː	0.794
ˈæ	ˈiː	0.16
ˈæː	ˈuː	0.236
ˈæː	ˈʊ	0.236
ˈæː	ˈœ	0.121
ˈæː	ˈɛ	0.073
ˈø	ˈʊ	1.0
ˈøi̯	ˈʉːu̯	1.0
ˈøː	ˈœ	0.574
ˈøː	ˈɔːu̯	0.278
ˈœ	ˈɛːi̯	1.0
ˈɒ	ˈa	0.433
ˈɒ	ˈɛːa̯	0.272
ˈɒ	ˈɔ	0.095
ˈɒ	ˈɔ̯aː	0.052
ˈɒ	w	0.052
ˈɒː	ˈɔ	0.293
ˈɒː	ˈa	0.255
ˈɒː	ˈɛːa̯	0.212
ˈɒː	ˈøː	0.112
ˈəi̯	ˈaːi̯	0.593
ˈəi̯	ˈai̯	0.314
ˈəi̯	ˈɛːi̯	0.052
ˈɛ	ˈøː	0.66
ˈɛ	ˈɛ	0.154
ˈʊː	ˈɔːu̯	0.555
ˈʊː	ˈɛːi̯	0.146
ˈʊː	ˈɪ	0.099
ˈʊː	ˈɔːi̯	0.071
ˈʊː	ˈɛːa̯	0.052
