Lombard	Ligurian	probability
a	a	0.859
ã	a	0.361
ã	e	0.361
ã	a_ŋ	0.205
b	b	0.874
b	ʤ	0.092
b_j	ʤ	0.494
d	d	0.581
d	-	0.257
d	z	0.052
e	e	0.27
e	j	0.183
e	-	0.121
e	u	0.103
e	ˈe	0.103
e	ˈɛː	0.089
e	i	0.059
e	a	0.05
ẽ	e	0.244
f	f	0.675
f	v_e	0.17
f	v_u	0.063
f_j	ʃ	1.0
i	e	0.519
i	i	0.187
i	-	0.122
i	u	0.122
ĩ	i_ŋ	0.723
ĩ	u	0.205
j	-	0.381
j	j	0.197
j	ʤ_u	0.146
j	ʧ	0.135
j	ˈa	0.077
j	i	0.051
j_r	j	1.0
k	k	0.834
k	ɡ_u	0.117
l	l	0.687
l	-	0.223
m	m	0.954
n	n	0.772
n	ŋ	0.222
o	w	0.121
p	p	0.77
p	p_u	0.098
p	-	0.076
r	r	0.653
r	-	0.229
r	u	0.058
r_ˈe	ˈeː	1.0
s	s	0.544
s	ʒ_e	0.156
s	s_u	0.096
s	-	0.059
t	t	0.529
t	t_u	0.215
t	t_e	0.096
t	d	0.083
u	u	0.439
u	w	0.223
u	j	0.1
u	e	0.08
u	ɔː	0.061
u	ɥ	0.059
ũ	u	1.0
v	v	1.0
w	w	1.0
y	y	0.375
y	ˈuː	0.091
z	ʒ	0.776
z	z	0.173
ɛ	e	0.43
ɛ	ˈɛː	0.105
ɡ	ɡ	0.758
ɡ	v	0.12
ɡ	ʒ	0.12
ɲ	ɲ	0.738
ɲ	ŋ	0.143
ɲ	n	0.105
ʃ	s	0.53
ʃ	ʒ	0.173
ʃ	ʧ	0.173
ʋ	v	0.874
ʋ	-	0.073
ʤ	z	0.547
ʤ	ʤ	0.358
ʤ	ŋ_ʤ	0.077
ʦ	s	0.792
ʦ	z	0.164
ʧ	s	0.255
ʧ	ʤ_u	0.203
ʧ	t_e	0.144
ʧ	t_u	0.098
ʧ	ʧ	0.098
ʧ	d	0.056
ʧ	z	0.056
ˈa	ˈaː	0.487
ˈa	ˈa	0.32
ˈa	ˈɛː	0.093
ˈaː	ˈaː	0.614
ˈaː	ˈɛː	0.38
ˈãː	ˈa_ŋ	0.892
ˈãː	ŋ	0.107
ˈe	ˈe	0.626
ˈe	ˈeː	0.2
ˈe	-	0.068
ˈe	ˈɛ	0.051
ˈe	ˈɛː	0.051
ˈe_l	ˈeː	0.494
ˈeː	ˈe	0.361
ˈeː	ˈɛː	0.361
ˈeː	ˈi	0.205
ˈẽː	ˈe_ŋ	0.76
ˈẽː	ˈe	0.156
ˈi	ˈiː	0.392
ˈi	ˈi	0.31
ˈi	ˈi_ʤ	0.109
ˈi	-	0.072
ˈi	ˈyː	0.072
ˈiː	j	1.0
ˈĩː	ˈi_ŋ	1.0
ˈo	ˈu	0.66
ˈo	ˈɔ	0.161
ˈu	ˈuː	0.45
ˈu	ˈu	0.263
ˈu	ˈø	0.111
ˈu	ˈɔ	0.064
ˈu	w	0.055
ˈu	ˈɔː	0.053
ˈuː	ˈa	1.0
ˈũː	ˈu_ŋ	0.947
ˈũː	u	0.053
ˈy	ˈy	0.588
ˈy	ˈyː	0.13
ˈy	ˈu	0.076
ˈy	ˈuː	0.076
ˈy	ˈeː	0.06
ˈy	ˈe	0.059
ˈyː	ˈyː	0.526
ˈyː	ˈuː	0.266
ˈyː	ˈiː	0.114
ˈyː	-	0.057
ˈỹː	ˈy	0.244
ˈø	ˈø	0.428
ˈø	ˈøː	0.343
ˈø	ˈu	0.197
ˈøː	ˈøː	1.0
ˈɔ	ˈɔː	0.462
ˈɔ	ˈɔ	0.298
ˈɔ	ˈu	0.109
ˈɔ	ˈaː	0.053
ˈɛ	ˈe	0.42
ˈɛ	ˈeː	0.222
ˈɛ	ˈɛː	0.159
ˈɛ	ˈɛ	0.147
ˈɛ̃ː	ˈe_ŋ	1.0
ˈˈi	e	1.0
