Jin	Jin	probability
⁵⁴	²	1.0
⁵³	²¹³	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʐ	nʲ	1.0
ɣ	ŋ	1.0
ɕ	ɕ	1.0
ɒ̃	ɔ	1.0
³¹	²¹³	1.0
²	⁵	1.0
z̩	z̩	1.0
x_w	f	1.0
x	h	1.0
w_ə	j_u	1.0
w_a	ɔ	1.0
v_u	ŋ̍	1.0
v	w	1.0
ũ	u	1.0
u	u	1.0
tʰ͡x	tʰ	1.0
s	s	1.0
pʰ͡x	pʰ	1.0
p	p	1.0
o	a	1.0
m	m	1.0
l	l	1.0
kʰ͡x	kʰ	1.0
k	k	1.0
j_ə	i	1.0
ĩ	i	1.0
h	h	1.0
f	f	1.0
<#_ʨ	<#	1.0
<#_ə_ɻ	<#_ɵ	1.0
<#_x	<#	1.0
<#_v_ə̃	<#_u	1.0
<#	<#_nʲ	1.0
w	w	0.913
j	j	0.864
a	a	0.778
i	i	0.75
ɥ	ɥ	0.714
ɤ	o	0.714
y	y	0.667
ʔ	t̚	0.6
t	tʰ	0.6
n	nʲ	0.6
ŋ	n	0.577
⁴⁵	¹¹	0.545
ə̃	ɨ	0.5
ə̃	a	0.5
ə	ɛ	0.5
æ̃	a_n	0.5
¹¹	⁴²	0.493
ŋ	ŋ	0.423
ʔ	ʔ	0.4
t	t	0.4
n	l	0.4
e	-	0.4
æ̃	ɵ_n	0.333
y	e	0.333
¹¹	³⁵	0.304
e	ɵ_n	0.3
e	ɛ_n	0.3
ɥ	-	0.286
ɤ	a	0.286
⁴⁵	²¹³	0.273
ə	ɨ	0.25
i	-	0.25
a	ɛ	0.222
¹¹	²⁴	0.203
⁴⁵	³⁵	0.182
æ̃	n	0.167
j	-	0.136
ə	ɵ	0.125
ə	-	0.125
w	ɵ	0.087
