Gothic	Northern Low Saxon	probability
a	-	0.829
a	ɐ	0.083
a	ɪ	0.079
a_n	m	0.5
a_r	ɐ	1.0
aː	-	0.5
b	b	0.89
b	-	0.108
d	d	0.811
d	t	0.182
d_s	d	1.0
e	-	0.25
f	f	0.872
f	-	0.077
f	v	0.056
f_s	f	1.0
h	h	0.529
h	x	0.172
h	-	0.169
h	ŋ	0.066
h_l	l	0.25
i	-	0.881
i	m	0.117
iː	-	1.0
j	-	0.334
j	ʒ	0.308
j	ˈʏ	0.096
j	ˈiː	0.089
j	i	0.066
k	ɡ	0.398
k	-	0.295
k	kʰ	0.278
k_s	ʃ	0.5
kʷ	f	0.5
l	l	1.0
l_s	l	1.0
lː	l	1.0
m	m	0.915
m	-	0.083
m_s	m	1.0
n	n	0.74
n	-	0.26
n_u	n	1.0
nː	n	0.683
nː	ˈœː	0.225
oː	-	0.662
oː	ɐ	0.246
oː	ˈuː	0.079
p	b	1.0
r	r	0.448
r	-	0.286
r	ɐ	0.247
r_a	ɐ	0.25
r_t	d	1.0
s	-	0.645
s	s	0.135
s	z	0.124
s	ʃ	0.09
s_k	ʃ	1.0
t	d	0.456
t	tʰ	0.304
t	t	0.157
t	-	0.061
t_a	d	1.0
t_s	d	0.594
t_s	t	0.361
u	-	0.839
u	ɐ	0.158
u_n	n	1.0
w	v	0.765
w	-	0.163
w	ˈaɪ̯	0.059
x	ç	0.574
x	x	0.287
z	-	0.19
z	ʃ	0.19
ð	d	0.776
ð	-	0.175
ŋ	n	0.415
ŋ	ŋ	0.362
ŋ_ɡ	ŋ	1.0
ɔː	-	1.0
ɡ	ɡ	0.646
ɡ	-	0.13
ɡ	j	0.08
ɡ	ç	0.08
ɡ	x	0.059
ɡʷ	-	0.5
ɡːʷ	-	0.5
ɣ	x	0.758
ɣ	-	0.095
ʍ	v	0.574
ʍ	-	0.287
ˈa	ˈa	0.502
ˈa	ˈoː	0.182
ˈa	ˈaʊ̯	0.135
ˈa_r	ˈaː	1.0
ˈeː	ˈoː	0.76
ˈeː	ˈiː	0.239
ˈi	ˈɪ	0.503
ˈi	ˈeː	0.109
ˈi	ˈiː	0.095
ˈi	-	0.09
ˈi	ˈɛ	0.063
ˈiu̯	ˈaɪ̯	0.461
ˈiu̯	ˈyː	0.161
ˈiu̯	-	0.106
ˈiu̯	ˈeː	0.106
ˈiː	ˈiː	0.727
ˈiː	ˈaɪ̯	0.152
ˈiː	ˈɪ	0.109
ˈoː	ˈaʊ̯	0.728
ˈoː	ˈuː	0.121
ˈoː	ˈyː	0.116
ˈu	ˈʊ	0.518
ˈu	ˈɔ	0.119
ˈu	ˈuː	0.091
ˈu	ˈøː	0.091
ˈu	ˈeː	0.06
ˈu	ˈoː	0.06
ˈu	-	0.053
ˈuː	ˈuː	0.752
ˈuː	ˈʊ	0.242
ˈɔ	ˈaʊ̯	0.646
ˈɔ	ˈɔ	0.22
ˈɔ	ˈɔː	0.096
ˈɔː	ˈaʊ̯	0.527
ˈɔː	ˈoː	0.152
ˈɔː	ˈɔʏ̯	0.141
ˈɔː	ˈɔ	0.076
ˈɛ	ˈaɪ̯	0.441
ˈɛ	ˈa	0.173
ˈɛ	ˈoː	0.089
ˈɛ	ˈaː	0.085
ˈɛ	ˈɛɪ̯	0.085
ˈɛ	ˈɛ	0.063
ˈɛː	ˈaɪ̯	0.339
ˈɛː	ˈɪ	0.288
ˈɛː	ˈœː	0.133
ˈɛː	ˈɛɪ̯	0.133
ˈɛː	ˈeɪ̯	0.095
β	b	0.45
β	m	0.342
β_a	m	1.0
θ	d	0.713
θ	-	0.236
θ	l	0.054
θ_a	ɐ	0.5
θ_s	d	1.0
