Westphalian	Gothic	probability
b	b	0.879
b	β	0.07
d	θ	0.437
d	d	0.415
d	ð	0.102
f	f	0.896
f	kʷ	0.104
h	h	1.0
j	j	1.0
k	k	0.968
l	l	0.918
l	lː	0.058
m	m	0.93
n	n	0.929
p	p	0.939
p	β	0.061
r	r	0.879
r	ˈi	0.121
s	s	1.0
t	t	0.807
t	s	0.076
t	-	0.056
v	β	0.485
v	f	0.36
v	b	0.091
w	w	0.817
w	ʍ	0.183
x	ɡ	0.613
x	h	0.35
z	s	1.0
ç	x	0.303
ç	ɡ	0.303
ç	ɣ	0.303
ç	h	0.09
ŋ	ŋ	0.88
ŋ	h	0.063
ŋ	ɡ	0.057
ɐ	r	0.301
ɐ	a	0.295
ɐ	-	0.163
ɐ	θ_a	0.1
ɐ	oː	0.088
ɐ	ˈuː	0.053
ə	oː	0.617
ə	a	0.165
ə	-	0.109
ə	i	0.109
ɡ	ɡ	1.0
ɣ	-	0.831
ɣ	ɣ	0.169
ɪ	a	0.5
ɪ	ˈi	0.5
ʃ	s	0.926
ˈa	ˈa	0.935
ˈa	ˈu	0.065
ˈaɪ̯	ˈɛ	0.516
ˈaɪ̯	ˈiu̯	0.374
ˈaɪ̯	ˈiː	0.05
ˈaɪ̯	ˈɛː	0.05
ˈaʊ̯	ˈɔː	0.332
ˈaʊ̯	ˈa	0.238
ˈaʊ̯	ˈɔ	0.227
ˈaʊ̯	oː	0.159
ˈaː	ˈa	1.0
ˈeː	ˈɛː	0.983
ˈiə̯	ˈi	1.0
ˈiɛ̯	j	1.0
ˈiː	ˈiː	0.644
ˈiː	ˈiu̯	0.175
ˈiː	ˈi	0.114
ˈiː	ˈeː	0.067
ˈoː	ˈoː	1.0
ˈuə̯	ˈi	0.657
ˈuə̯	ˈoː	0.172
ˈuə̯	ˈu	0.172
ˈuː	ˈu	0.546
ˈuː	ˈuː	0.454
ˈuːə̯	ˈu	0.746
ˈuːə̯	ˈɔ	0.153
ˈuːə̯	ˈɔː	0.102
ˈyə̯	nː	1.0
ˈyː	ˈiu̯	0.582
ˈyː	ˈoː	0.418
ˈyːœ̯	ˈu	1.0
ˈø	j	0.54
ˈø	ˈi	0.46
ˈøː	ˈɔː	0.568
ˈøː	ˈoː	0.432
ˈœː	ˈɔː	1.0
ˈɔ	ˈa	0.651
ˈɔ	ˈɔ	0.203
ˈɔ	ˈɔː	0.146
ˈɔː	ˈeː	0.491
ˈɔː	ˈa	0.422
ˈɛ	ˈa	0.546
ˈɛ	ˈɛ	0.216
ˈɛ	ˈi	0.189
ˈɛː	ˈɛ	1.0
ˈɪ	ˈi	0.759
ˈɪ	ˈɛː	0.108
ˈɪ	ˈiː	0.089
ˈɪə̯	ˈi	0.748
ˈɪə̯	ˈiu̯	0.252
ˈɪɛ̯	ˈi	0.492
ˈɪɛ̯	ˈɛ	0.364
ˈɪɛ̯	ˈa	0.144
ˈʊ	ˈu	0.829
ˈʊ	ˈuː	0.131
ˈʏ	w	0.663
ˈʏ	ˈu	0.337
