Westphalian	Gothic	probability
#>	#>	0.897
#>	r_#>	0.054
<#	<#	0.974
b	b	0.897
b	p	0.053
b	β	0.052
d	d	0.386
d	θ	0.372
d	ð	0.057
d	θ_s	0.057
f	f	0.833
f	f_s	0.074
f	b	0.065
h	h	1.0
j	j	1.0
k	k	0.518
k	k_s	0.327
k	h	0.097
k	ɡ	0.062
l	l	0.854
l	lː	0.118
m	m	0.755
m	m_s	0.17
n	n	0.901
n	nː	0.055
p	p	0.514
p	p_s	0.282
p	β	0.186
r	r	0.964
s	s	1.0
t	t	0.638
t	t_a	0.093
t	d	0.063
t	r_t	0.055
t	θ	0.054
v	β_a	0.304
v	-	0.23
v	f	0.152
v	w	0.152
v	β	0.152
w	w	0.834
w	ʍ	0.165
x	ɡ	0.521
x	h	0.377
x	x	0.083
z	s	0.509
ç	h	0.287
ç	x	0.287
ç	ɡ	0.168
ç	ɣ	0.168
ŋ	ŋ_ɡ	0.607
ŋ	h	0.201
ŋ	ŋ	0.09
ŋ	ɡ	0.068
ɐ	a	0.247
ɐ	r	0.247
ɐ	θ_a	0.165
ɐ	oː	0.13
ɐ	-	0.122
ə	oː	0.486
ə	a	0.306
ə	-	0.107
ə	i	0.081
ɡ	ɡ	1.0
ɣ	ɣ	0.443
ɣ	-	0.115
ɪ	a	0.574
ɪ	ˈi	0.292
ʃ	s	0.595
ʃ	s_k	0.18
ʃ	i_s	0.153
ʃ	z	0.061
ˈa	ˈa	0.942
ˈa	ˈu	0.062
ˈaɪ̯	ˈiu̯	0.367
ˈaɪ̯	ˈiː	0.19
ˈaɪ̯	ˈɛː	0.128
ˈaɪ̯	ˈɛ	0.107
ˈaɪ̯	a	0.086
ˈaʊ̯	ˈɔː	0.423
ˈaʊ̯	ˈa	0.212
ˈaʊ̯	ˈɔ	0.212
ˈaʊ̯	oː	0.061
ˈaː	ˈa	1.0
ˈeː	ˈɛː	0.871
ˈeː	ˈi	0.08
ˈiə̯	ˈi	0.509
ˈiɛ̯	w	1.0
ˈiː	ˈiː	0.618
ˈiː	ˈi	0.141
ˈiː	ˈiu̯	0.109
ˈiː	ˈeː	0.107
ˈoː	ˈoː	1.0
ˈuə̯	ˈoː	0.292
ˈuə̯	ˈu	0.292
ˈuː	ˈuː	0.538
ˈuː	ˈu	0.422
ˈuːə̯	ˈu	0.725
ˈuːə̯	ˈɔ	0.18
ˈyə̯	nː	0.509
ˈyː	ˈoː	0.574
ˈyː	ˈiu̯	0.292
ˈyːœ̯	ˈu	1.0
ˈø	j	0.509
ˈøː	ˈɔː	0.509
ˈœː	ˈɔː	0.132
ˈɔ	ˈa	0.583
ˈɔ	ˈɔ	0.229
ˈɔ	ˈɔː	0.154
ˈɔː	ˈeː	0.457
ˈɔː	ˈa	0.242
ˈɔː	ˈɔː	0.16
ˈɔː	ˈɔ	0.112
ˈɛ	ˈa	0.437
ˈɛ	ˈɛ	0.282
ˈɛ	ˈi	0.131
ˈɛ	ˈɛː	0.092
ˈɛː	ˈɛ_r	0.803
ˈɛː	ˈɛ	0.092
ˈɪ	ˈi	0.707
ˈɪ	ˈiː	0.139
ˈɪ	ˈɛː	0.139
ˈɪə̯	ˈi	0.85
ˈɪə̯	ˈiu̯	0.085
ˈɪɛ̯	ˈi	0.478
ˈɪɛ̯	ˈɛ	0.362
ˈɪɛ̯	ˈa	0.108
ˈʊ	ˈu	0.78
ˈʊ	ˈuː	0.213
ˈʏ	w	0.574
ˈʏ	ˈu	0.292
