English	East Low German	probability
θ	d	1.0
ˈɛ	ˈoː	1.0
ˈæ	ˈa	1.0
ˈuː	ˈaʊ̯	1.0
ˈe_d	ˈaʊ̯_t	1.0
ˈaɪ̯_t	ˈɪ_ç	1.0
ˈaɪ̯_#>	ˈae̯_ŋ_#>	1.0
ʤ	ç	1.0
ʃ	ʃ	1.0
ɡ_ə	æ	1.0
ə	æ	1.0
ŋ	ŋ	1.0
ð	ɾ	1.0
z	s	1.0
tʰ	tʰ	1.0
s_#>	s_#>	1.0
p	p	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k_s	s	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d_ə	æ	1.0
b	b	1.0
n	n	0.957
t	t	0.95
ɹ	r	0.923
ɫ	l	0.905
w	v	0.846
ˈaʊ̯	ˈuː	0.818
ˈɒ	ˈɔ	0.667
ɡ	ɡ	0.667
d	d	0.659
ˈiː_#>	ˈiː_#>	0.6
ɪ	ɪ_ç	0.6
ˈɑː	ˈaː	0.556
ˈeɪ̯	ˈɒː	0.556
ˈʊ	ˈʊ	0.5
ˈʊ	ˈaʊ̯	0.5
ˈɔː	ˈuː_æ	0.5
ʧ	kʰ	0.5
ʧ	k	0.5
#>	ç_#>	0.5
#>	k_#>	0.5
s	z	0.471
ˈəʊ̯	ˈae̯	0.467
ˈaɪ̯	ˈiː	0.45
ˈeɪ̯	ˈa	0.444
ˈɪ	ˈɪ	0.433
ˈe	ˈɛ	0.429
v	f	0.429
ˈiː_#>	ˈae̯_#>	0.4
ɪ	-	0.4
ˈɐ	ˈʊ	0.391
s	ʃ	0.353
ˈaɪ̯	ˈɪ	0.35
ˈiː	ˈɔʏ̯	0.348
ˈɒ	ˈa	0.333
ɡ	j	0.333
d	t	0.293
ˈe	ˈae̯	0.286
v	m	0.286
v	b_m	0.286
ˈɔː	ˈa	0.25
ˈɔː	æ	0.25
ˈɑː	ˈa_l	0.222
ˈɑː	ˈa	0.222
ˈiː	ˈɒː	0.217
ˈɪ	ˈʏ	0.2
ˈaʊ̯	ˈaʊ̯	0.182
s	s	0.176
ˈiː	ˈaʊ̯	0.174
ˈiː	ˈae̯	0.174
w	w	0.154
ˈe	ˈɪ	0.143
ˈe	ˈɛː	0.143
ˈɪ	ˈiː	0.133
ˈəʊ̯	ˈɪ	0.133
ˈəʊ̯	ˈɔ	0.133
ˈəʊ̯	ˈeː	0.133
ˈəʊ̯	ˈaʊ̯	0.133
ˈɐ	ˈɒː	0.13
ˈɐ	ˈuː	0.13
ˈɪ	ˈyː	0.1
ˈaɪ̯	ˈaʊ̯_x	0.1
ˈaɪ̯	ç	0.1
ɫ	ɡ_l	0.095
ˈɐ	ˈʏ	0.087
ˈɐ	ˈɔ	0.087
ˈɐ	ˈœː	0.087
ˈɐ	ˈaʊ̯	0.087
ˈiː	ˈɛː	0.087
ɹ	-	0.077
ˈɪ	ˈɛ	0.067
ˈɪ	ˈae̯	0.067
