Proto-Germanic	West Flemish	probability
a	-	0.135
b	b	0.929
b	-	0.071
d	d	0.727
d	t	0.261
d_ɑ	t	1.0
e	-	0.5
e	ə	0.5
i	-	0.815
i	n	0.062
i	ə	0.059
i	ɪ	0.053
i_z	ə	1.0
iː	-	1.0
j	-	0.701
j	j	0.152
j	ɾ	0.08
j	ʋ	0.066
j_ɔ̃ː	ə	1.0
jː	ˈɛː	1.0
k	k	0.694
k	h	0.259
k_i	k	1.0
k_s	k	1.0
kː	-	0.135
l	l	0.787
l	-	0.12
l	w	0.052
l_i	l	1.0
l_ɑ	l	0.488
l_ɑ	ə	0.33
lː	l	1.0
m	m	0.907
m	n	0.089
m_ɑ	m	1.0
mː	m	1.0
n	n	0.806
n	-	0.133
n	ŋ	0.056
n_ɑ	n	1.0
n_ɑ̃	n	1.0
n_ɔ̃ː	ə	0.512
nː	n	1.0
p	p	1.0
pː	f	0.135
pː	p	0.135
r	ɾ	0.946
r	-	0.053
r_i	ɾ	1.0
r_u	ɾ	1.0
r_ɑ	ɾ	1.0
r_ɑ̃	ɾ	1.0
s	z	0.393
s	s	0.371
s	-	0.131
s	ʃ	0.079
s_k	s	1.0
s_w	z	1.0
s_ɑ̃	s	1.0
sː	s	0.512
t	t	1.0
u	-	0.764
u	ˈoː	0.09
u	w	0.076
u	ə	0.073
u_z	ə	1.0
w	ʋ	0.673
w	-	0.273
wː	ˈyː	1.0
x	-	0.533
x	h	0.358
x	k	0.054
x_s	s	1.0
x_ˈu	ˈu	1.0
x_ˈɑ	ˈɒː	0.263
x_ˈɑu̯	ˈoː	1.0
xʷ	ʋ	0.66
xʷ	-	0.322
z	-	0.958
ð	-	0.392
ð	ɾ	0.341
ð	d	0.175
ð_i	t	0.512
ð_ɑ̃	t	1.0
ŋ	ŋ	0.953
ŋ	-	0.056
ɑ	-	0.891
ɑ	ə	0.082
ɑ_l	l	1.0
ɑ_z	t	1.0
ɑi̯	ˈiə̯	0.512
ɑː	-	0.512
ɑ̃	-	0.957
ɑ̃	ɾ	0.053
ɔː	ə	0.412
ɔː	-	0.404
ɔː	ɾ	0.106
ɔːu̯	ə	0.512
ɔːː	ə	0.728
ɔːː	-	0.258
ɔ̃ː	ə	0.683
ɔ̃ː	-	0.301
ɛː_r	ɾ	1.0
ɡ	-	0.758
ɡ	k	0.181
ɡ_ɑ	k	1.0
ɡʷ	-	0.512
ɣ	ɦ	0.854
ɣ	-	0.055
ɣ	h	0.054
ɣ	ç	0.054
ɣ_j	ɦ	1.0
ɣ_ɑ	h	1.0
ɸ	v	0.909
ɸ	v_ə	0.087
ˈe	ˈeː	0.284
ˈe	ˈæ	0.284
ˈe	ˈiə̯	0.183
ˈe	ˈœ	0.056
ˈe	ˈɪ	0.056
ˈe	ə	0.052
ˈe	ˈɛː	0.051
ˈeu̯	ˈiə̯	0.561
ˈeu̯	ˈœ	0.26
ˈeu̯	-	0.149
ˈi	ˈɪ	0.536
ˈi	-	0.11
ˈi	ˈi	0.096
ˈi	ˈɛ	0.083
ˈi	ˈiə̯	0.063
ˈi	ˈæ	0.063
ˈi_j	ˈiə̯	0.512
ˈiu̯	ˈiə̯	0.74
ˈiu̯	ˈyː	0.201
ˈiː	ˈi	0.705
ˈiː	ˈɛ	0.104
ˈiː	ˈyː	0.1
ˈiː	ˈiə̯	0.074
ˈu	ˈoː	0.323
ˈu	ˈɔ	0.233
ˈu	ˈœ	0.108
ˈu	ˈu	0.099
ˈu	-	0.082
ˈu	ˈɪ	0.061
ˈu	ˈøː	0.053
ˈuː	ˈyː	0.903
ˈuː	ˈuə̯	0.074
ˈɑ	ˈɑ	0.581
ˈɑ	ˈɒː	0.171
ˈɑ	-	0.058
ˈɑ_l	ˈu	1.0
ˈɑ_x	ˈɒː	0.512
ˈɑi̯	ˈɛː	0.593
ˈɑi̯	ˈiə̯	0.137
ˈɑi̯	ˈeː	0.119
ˈɑi̯	ˈæ	0.078
ˈɑi̯	ˈɛ	0.068
ˈɑu̯	ˈoː	0.979
ˈɔ	ˈuə̯	0.512
ˈɔː	ˈuə̯	0.909
ˈɔː	ˈiə̯	0.089
ˈɛː	ˈɒː	1.0
β	v	0.796
β	f	0.148
β_ɑ	f	1.0
β_ɑ̃	f	1.0
θ	d	0.721
θ	-	0.188
θ	t	0.08
θ_ɑ̃	t	1.0
