Štokavian	Ukrainian	probability
ʒ	ʒ	1.0
ʎ	lʲ	1.0
ʋ_j	ʋʲ_ˈi	1.0
ʋ_#>	w_#>	1.0
ɲ_#>	nʲ_#>	1.0
ɡ_#>	ɦ_#>	1.0
ɡ	ɦ	1.0
x_#>	j_#>	1.0
û	ʋ	1.0
s_eː	sʲ_ɐ	1.0
s_#>	s_#>	1.0
r̩̂	ˈɛ_r	1.0
r̩̂	ˈɛ_r	1.0
r̂ː	r	1.0
r_#>	r_#>	1.0
p	p	1.0
ǒ	ɔ	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ǎː	ɔ_ɫ	1.0
k	k	1.0
j_ěː	i	1.0
j_êː	ˈi	1.0
j_ê	ˈi	1.0
j	-	1.0
îː	ˈɪ	1.0
î	ˈɪ	1.0
iː	e_j	1.0
i	ˈɪ	1.0
ěː	ɐ	1.0
e_#>	ɛ_#>	1.0
e	-	1.0
d_#>	d_#>	1.0
b_#>	b_#>	1.0
b	b	1.0
âː	ɔ	1.0
â_ʋ	ˈɔ_ʋ	1.0
a_n	n	1.0
<#_ʧ	<#_ʧ	1.0
<#_ʦ	<#	1.0
<#_ʒ	<#_ʒ	1.0
<#_ɡ	<#_ɦ	1.0
<#_z	<#_z	1.0
<#_x	<#_x	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_p	<#_p	1.0
<#_d	<#_d	1.0
<#_b	<#_bʲ	1.0
#>	j_#>	1.0
t	t	0.889
l	ɫ	0.882
d	d	0.833
ôː	ˈi	0.778
<#_k	<#_k	0.778
r	r	0.769
o_#>	ɔ_#>	0.714
<#_m	<#_m	0.7
s	s	0.692
ûː	ˈu	0.667
i_#>	e_#>	0.667
t_#>	tʲ_#>	0.643
a_#>	ˈɑ_#>	0.625
ʦ	ʦ	0.6
<#_n	<#_nʲ	0.6
<#_l	<#_lʲ	0.6
z	z	0.571
k_#>	k_#>	0.5
êː	ˈi	0.5
êː	j_ˈɑ	0.5
<#_r	<#_rʲ	0.5
<#_r	<#_r	0.5
<#_j	<#_j	0.5
<#_j	<#	0.5
ʋ	ʋ	0.455
ô	ˈɔ	0.444
z	zʲ	0.429
â	ˈɑ	0.429
ʦ	ʦʲ	0.4
<#_n	<#_n	0.4
<#_l	<#_ɫ	0.4
ě	ɛ	0.375
ě	ɔ	0.375
a_#>	ɐ_#>	0.375
<#_ʋ	<#_ʋ	0.375
<#_ʋ	<#_w	0.375
ʋ	ʋʲ	0.364
t_#>	t_#>	0.357
ûː	ˈɔ_ʍ	0.333
ô	ˈi	0.333
i_#>	ɪ_#>	0.333
ê	ˈɛ	0.333
ê	ˈi	0.333
ê	mʲ_ˈi	0.333
s	sʲ	0.308
n	nʲ	0.3
n	n_e	0.3
<#_m	<#	0.3
â	ˈɛ	0.286
â	ɐ	0.286
a	-	0.286
k_#>	k_e_j_#>	0.25
k_#>	j_#>	0.25
ě	e	0.25
<#_ʋ	<#_ʋʲ	0.25
r	ɔ_r	0.231
ôː	ˈɔ	0.222
ô	ɔ	0.222
<#_k	<#_kʲ	0.222
n	ˈi_n	0.2
n	n	0.2
ʋ	ʋ_e	0.182
d	-	0.167
o_#>	ˈɔ_#>	0.143
o_#>	#>	0.143
a	ˈɔ	0.143
a	ˈɑ	0.143
a	ˈa	0.143
a	ɔ	0.143
a	k_ˈɪ	0.143
l	lʲ	0.118
t	tʲ	0.111
