Northern Low Saxon	Northern Low Saxon	probability
ˈɪ	ˈɪ	1.0
ˈɛː	ˈøː	1.0
ˈɛɪ̯	ˈɛɪ̯	1.0
ˈɛ	ˈɛ	1.0
ˈɔː	ˈoː_ɐ	1.0
ˈɔ	ˈɔ	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈyː	ˈyː	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈeɪ̯	ˈɛɪ̯	1.0
ˈaʊ̯_l	ˈɔ_l	1.0
ʒ	j	1.0
ɪ	ɪ	1.0
z	z	1.0
x	x	1.0
v̥	v̥	1.0
t	t	1.0
s	s	1.0
r	r	1.0
n_n	n_n	1.0
n	n	1.0
l	l	1.0
kʰ	k	1.0
k	k	1.0
i	ɪ_ç	1.0
f	f	1.0
d_ɐ	t_ɐ	1.0
aɪ̯	ɒː	1.0
<#_tʰ	<#_t	1.0
ˈaɪ̯	ˈɛɪ̯	0.958
ˈa	ˈa	0.958
ɐ	ɐ	0.935
h	h	0.889
v	v	0.867
ˈʊ	ˈʊ	0.833
ˈʏ	ˈʏ	0.8
ŋ	ŋ	0.8
ˈoː	ˈɒː	0.789
m	m	0.765
b	b	0.742
d_n	t_n	0.714
ˈɔʏ̯	ˈɔʏ̯	0.7
ʃ	ʃ	0.6
ç	ç	0.6
ɡ	k	0.586
z̥	z̥	0.571
ˈeː	ˈeː	0.556
ˈaʊ̯	ˈeo̯	0.458
ˈaː	ˈa_ɐ	0.429
z̥	z_ə	0.429
d	d	0.408
ʃ	s	0.4
ˈaʊ̯	ˈaʊ̯	0.375
d	d̥	0.342
ɡ	ɣ	0.31
ˈɔʏ̯	ˈøː	0.3
ˈaː	ˈa_l	0.286
ˈaː	ɐ	0.286
d_n	n	0.286
b	p	0.258
ˈeː	ˈɛː	0.222
ˈeː	-	0.222
ˈʏ	-	0.2
ŋ	n	0.2
ç	ɣ_ə	0.2
ç	ə	0.2
d	t	0.197
ˈʊ	-	0.167
ˈaʊ̯	-	0.167
v	w	0.133
h	h_ˈɛ	0.111
ˈoː	ˈɛː	0.105
ˈoː	ˈoː	0.105
ɡ	j	0.103
m	v_n	0.088
m	m_n	0.088
ɐ	r_ə	0.065
m	n	0.059
