Luxembourgish	Pennsylvania German	probability
χ	x	1.0
ˈʊ	ˈuː	1.0
ˈɛː	ˈɛː	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈʊ	1.0
ˈɑʊ̯	ˈaʊ̯	1.0
ˈɑɪ̯	ˈaɪ̯	1.0
ˈæːʊ̯	ˈaʊ̯	1.0
ˈæːɪ̯_t	ˈaɪ̯_d̥	1.0
ˈæːɪ̯	ˈaɪ̯	1.0
ˈæ	ˈɛ	1.0
ˈuː	ˈaː	1.0
ˈiə̯	ˈɛ	1.0
ˈeː_n	ˈeː	1.0
ʃ	ʃ	1.0
ʀ_#>	n_#>	1.0
ʀ	ɾ	1.0
ɡ	ɡ	1.0
ə_n	ə	1.0
z̥	s	1.0
z_ˈɜɪ̯	s_ˈeː	1.0
z	s	1.0
w	ʋ	1.0
v̥	b̥	1.0
v	ʋ	1.0
t_ɐ	d_ɑ	1.0
s	s	1.0
pʰ	-	1.0
p	p	1.0
n_ɐ	n_ɑ	1.0
n_#>	#>	1.0
m	m	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
<#_n	<#_n	1.0
#>	n_#>	1.0
l	l	0.945
n	n	0.906
ɐ	ɑ	0.882
ʦ	ʦ	0.875
ˈeː	ˈeː	0.867
t	t	0.824
ˈəʊ̯	ˈoː	0.727
ˈe	ˈɪ	0.7
ˈi	-	0.667
ŋ	ŋ	0.667
ɕ	ç	0.652
ˈə	ˈɪ	0.65
ə	-	0.65
ˈɜɪ̯	ˈiː	0.571
ˈo	ˈɔ	0.533
ˈɑ	ˈa	0.522
ˈuə̯	ˈɔː	0.5
ˈuə̯	ˈa	0.5
ˈoː	ˈoː	0.5
ˈo	ˈʊ	0.467
ˈaː	ˈa	0.441
ˈu	ˈuː	0.4
ˈɑ	ˈɪ	0.391
ˈiː	ˈɛː	0.333
ˈi	ˈiː	0.333
ŋ	-	0.333
ˈaː	ˈɔː	0.324
ˈu	ˈʊ	0.3
ˈu	-	0.3
ˈe	-	0.3
ˈəʊ̯	ˈuː	0.273
ˈoː	ˈɔː_ɣ	0.25
ˈoː	ˈɔː	0.25
ə	ɪ	0.25
ˈɜɪ̯	ˈeː	0.238
ɕ	x	0.217
ˈə	ˈɛ	0.2
ˈɜɪ̯	-	0.19
ˈaː	ˈaː	0.176
t	d̥	0.176
ˈiː	ˈɪ	0.167
ˈiː	ˈɛ	0.167
ˈiː	ˈiː	0.167
ˈiː	ˈeː	0.167
ˈə	-	0.15
ˈeː	-	0.133
ɕ	-	0.13
ʦ	-	0.125
ə	j	0.1
n	ə	0.094
ˈɑ	-	0.087
ˈaː	ˈɔː_ɑ	0.059
ɐ	ɾ_ə	0.059
ɐ	ɾ	0.059
l	l_d̥	0.055
