Slovak	Ukrainian	probability
ˈæ	j_ˈɑ	1.0
ˈuː	ˈu	1.0
ˈi	ˈɪ	1.0
ˈaː	ˈɔ	1.0
ʧ	ʧ	1.0
ʒ	ʒ	1.0
ʎ_#>	lʲ_#>	1.0
ʎ	lʲ	1.0
ʊ̯ˈɔ	ˈi	1.0
ɲ	nʲ	1.0
ɦ	ɦ	1.0
ɟ	d	1.0
ɛ_#>	ɛ_#>	1.0
ɔ_#>	ɔ_#>	1.0
ɔ	ˈɔ	1.0
v	ʋ_e	1.0
t_#>	t_#>	1.0
s_#>	s_#>	1.0
p_#>	b_#>	1.0
k_#>	k_#>	1.0
j	j	1.0
d_ɫ	ɫ	1.0
d	d	1.0
<#_x	<#_x	1.0
<#_n	<#_nʲ	1.0
<#_c	<#_t	1.0
<#	<#_w	1.0
m	m	0.857
t	t	0.846
p	p	0.818
z	z	0.8
k	k	0.765
r	r	0.708
iː	j	0.688
s	s	0.682
ɛ	ˈi	0.667
n	n	0.667
l	ɫ	0.667
b	b	0.667
a	ˈɑ	0.647
ˈu	ˈu	0.6
i	e_j	0.6
c	tʲ	0.579
ɫ	ɫ	0.571
ɪ̯ˈɛ	ˈi	0.571
x	ɦ	0.556
ˈɛ	ˈi	0.545
ˈɫ̩	ˈɔ_ʍ	0.5
ˈɫ̩	ˈɔ_ʋ	0.5
ˈr̩	ˈɛ_r	0.5
ˈr̩	r	0.5
ʦ	ʦʲ	0.5
ʦ	ʦ	0.5
ʃ	ʒ	0.5
ʃ	ʃ	0.5
x	x	0.444
ɪ̯ˈɛ	i	0.429
ʋ	ʋ	0.421
ˈu	ʊ	0.4
i	ˈɪ	0.4
ˈɔ	ɔ	0.364
a	ɐ	0.353
ɛ	i	0.333
n	n_e	0.333
l	lʲ	0.333
b	bʲ	0.333
ˈɔ	ˈɔ	0.318
ˈɔ	ˈi	0.318
s	sʲ	0.318
ʋ	ʋʲ	0.316
iː	e_j	0.312
ˈa	ˈɑ	0.294
ɫ	ɔ_ɫ	0.286
ˈɛ	ˈɛ	0.273
ʋ	w	0.263
c	t_e	0.211
r	rʲ	0.208
z	zʲ	0.2
ˈɛ	ɛ	0.182
p	pʲ	0.182
ˈa	ˈi	0.176
ˈa	ɐ	0.176
t	d	0.154
ɫ	lʲ	0.143
m	mʲ	0.143
ˈa	ˈɔ	0.118
ˈa	ɔ	0.118
ˈa	r_ˈɔ	0.118
k	kʲ	0.118
k	k_e	0.118
c	ʧ	0.105
c	t	0.105
r	ɔ	0.083
