Luxembourgish	Hessian	probability
ˈʊ	ˈuː	1.0
ˈɛː	ˈæ	1.0
ˈɔ	ˈu	1.0
ˈɑʊ̯	ˈau̯	1.0
ˈæːʊ̯	ˈau̯	1.0
ˈæ	-	1.0
ˈuː	ˈɔ	1.0
ˈoː_ɐ_#>	ˈɑː_#>	1.0
ˈoː	ˈɑː	1.0
ˈiː_ɕ	ʃ	1.0
ˈiː_ɐ	æ̆	1.0
ˈeː_n	ˈãː	1.0
ʃ_t	ʃ_d̥	1.0
ʀ_#>	ɐ_n_#>	1.0
ʀ	ʀ	1.0
ɡ̊	-	1.0
ə_ʀ	ɐ	1.0
ə_n	ə	1.0
ŋ_#>	#>	1.0
ŋ	ŋ	1.0
z̥	s	1.0
z	s	1.0
w	v	1.0
v̥	b̥	1.0
v	v	1.0
pʰ	-	1.0
p	-	1.0
n_ɐ	n_æ̆	1.0
n_#>	#>	1.0
l_ə	ˈɛ_l	1.0
l	l	1.0
kʰ	kʰ	1.0
j	-	1.0
h	h	1.0
e	-	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
<#_n	<#_n	1.0
m	m	0.92
f	f	0.912
n	n	0.875
ʦ	ʦ	0.857
t	t	0.857
ə	-	0.8
ˈæːɪ̯	ˈai̯	0.778
ɡ	ɡ̊	0.769
d	d̥	0.767
ʃ	ʃ	0.727
χ	x	0.714
ɕ	ʃ	0.706
ˈeː	ˈaː	0.7
ˈe	ˈi	0.7
ˈə	ˈi	0.684
ˈəʊ̯	ˈoː	0.667
ˈiə̯	ˈɛ	0.667
s	s	0.643
ˈɑɪ̯	ˈoi̯	0.625
b	b̥	0.579
ˈu	-	0.556
k	k	0.556
ˈɛ	ˈɛ	0.5
ˈɛ	ˈe	0.5
ˈuə̯	ˈɑː	0.5
ˈuə̯	ˈɑ	0.5
ˈo	ˈo	0.5
ˈi	-	0.5
ɐ	ɐ	0.5
ɐ	æ̆	0.5
ˈɜɪ̯	ˈiː	0.455
ˈɑ	ˈi	0.455
k	ɡ̊	0.444
b	p	0.421
ˈɑɪ̯	-	0.375
ˈɜɪ̯	-	0.364
ˈo	ˈu	0.357
s	z̥	0.357
ˈəʊ̯	ˈuː	0.333
ˈiː	ˈæ	0.333
ˈiə̯	-	0.333
ˈeː	-	0.3
ˈe	-	0.3
χ	ɣ̊	0.286
ˈaː	ˈaː	0.281
ˈi	ˈiː	0.25
ˈi	ˈeː	0.25
d	t	0.233
ɡ	k	0.231
ˈɑ	ˈɑ	0.227
ˈɑ	ˈa	0.227
ˈæːɪ̯	-	0.222
ˈu	ˈuː	0.222
ˈu	ˈu	0.222
ˈiː	ˈæː	0.222
ˈiː	ˈiː	0.222
ˈiː	ˈi	0.222
ˈaː	ˈɑː	0.219
ˈaː	ˈa	0.219
ə	i	0.2
ˈaː	ˈɑ	0.188
ˈɜɪ̯	ˈeː	0.182
ɕ	x	0.176
ˈə	ˈe	0.158
ˈə	-	0.158
ˈo	-	0.143
ʦ	-	0.143
t	d̥	0.143
ʃ	s	0.136
ʃ	-	0.136
n	ə	0.125
ɕ	-	0.118
ˈaː	ˈɔ	0.094
ˈɑ	-	0.091
f	v̥	0.088
m	m_ə	0.08
