Luxembourgish	Luxembourgish	probability
ˈʊ	ˈuː	1.0
ˈɛː	ˈæ	1.0
ˈɔ	ˈu	1.0
ˈɑʊ̯	ˈau̯	1.0
ˈæːʊ̯	ˈau̯	1.0
ˈæːɪ̯_n	ˈɑ̃i̯	1.0
ˈæːɪ̯	ˈai̯	1.0
ˈæ	-	1.0
ˈuː	ˈɔ	1.0
ˈoː_ə	ˈɛ̃ː	1.0
ˈoː_ɐ_#>	ˈɑː_#>	1.0
ˈoː	ˈɑː	1.0
ˈiː_ɕ	ʃ	1.0
ˈiː_ɐ	æ̆	1.0
ˈeː_n	ˈãː	1.0
ˈe_ŋ	ˈĩː	1.0
ʦ	ʦ	1.0
ʃ_t	ʃ_d̥	1.0
ʀ_#>	ɐ_n_#>	1.0
ʀ	ʀ	1.0
ɡ̊	-	1.0
ə_ʀ	ɐ	1.0
ə_f	f	1.0
z̥	s	1.0
z	s	1.0
w	v	1.0
v̥	b̥	1.0
v	v	1.0
tʰ	t	1.0
pʰ	pʰ	1.0
n_ɐ	n_æ̆	1.0
n_#>	#>	1.0
m	m	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
e_ŋ	ɛː	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
<#_n	<#_n	1.0
l	l	0.957
f	f	0.9
ˈe	ˈi	0.875
t	t	0.857
n	n	0.824
ŋ	ŋ	0.818
ɕ	ʃ	0.8
ɡ	ɡ̊	0.769
d	d̥	0.767
ʃ	ʃ	0.75
ə	ə	0.744
ˈə	ˈi	0.722
χ	x	0.714
ˈeː	ˈaː	0.7
ˈiə̯	ˈɛ	0.667
s	s	0.643
ˈɑɪ̯	ˈoi̯	0.625
ˈəʊ̯	ˈoː	0.6
ˈo	ˈo	0.583
b	b̥	0.579
k	k	0.556
ˈɜɪ̯	ˈiː	0.5
ˈɛ	ˈɛ	0.5
ˈɛ	ˈe	0.5
ˈuə̯	ˈɑː	0.5
ˈuə̯	ˈɑ	0.5
ɐ	ɐ	0.5
ɐ	æ̆	0.5
p	p	0.5
p	-	0.5
ˈɑ	ˈi	0.455
k	ɡ̊	0.444
b	p	0.421
ˈo	ˈu	0.417
ˈɑɪ̯	-	0.375
s	z̥	0.357
ˈiː	ˈæ	0.333
ˈiə̯	-	0.333
ˈɜɪ̯	-	0.3
ˈəʊ̯	ˈuː	0.3
ˈeː	-	0.3
χ	ɣ̊	0.286
ˈaː	ˈaː	0.281
ˈu	ˈuː	0.25
ˈu	ˈu	0.25
ˈu	ˈoː	0.25
ˈu	-	0.25
ˈi	ˈiː	0.25
ˈi	ˈi	0.25
ˈi	ˈeː	0.25
ˈi	-	0.25
d	t	0.233
ɡ	k	0.231
ˈɑ	ˈɑ	0.227
ˈɑ	ˈa	0.227
ˈiː	ˈæː	0.222
ˈiː	ˈiː	0.222
ˈiː	ˈi	0.222
ˈaː	ˈɑː	0.219
ˈaː	ˈa	0.219
ˈɜɪ̯	ˈeː	0.2
ɕ	x	0.2
ˈaː	ˈɑ	0.188
ə	-	0.186
ŋ	-	0.182
ˈə	ˈe	0.167
ʃ	s	0.15
t	d̥	0.143
ˈe	ˈoĩ̯	0.125
n	ə	0.118
ˈə	-	0.111
ˈəʊ̯	oː	0.1
ʃ	ʒ̊	0.1
f	v̥	0.1
ˈaː	ˈɔ	0.094
ˈɑ	-	0.091
ə	i	0.07
n	-	0.059
