Sixian	Gan	probability
ʨʰ	ʨʰ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ɨ	z̩	1.0
ɕ	ɕ	1.0
ŋ	ŋ	1.0
³¹	²¹³	1.0
²	⁵	1.0
w	w	1.0
t̚	t̚	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
o_j	a_j	1.0
n	n	1.0
l	l	1.0
j_u	i_w	1.0
f	f	1.0
a_m	a_n	1.0
<#_n	<#_l	1.0
a	a	0.92
s	s	0.857
k̚	ʔ	0.833
²⁴	⁴²	0.8
u	u	0.786
ɲ	nʲ	0.75
j	j	0.72
p	p	0.714
m	m	0.7
e	ɛ	0.7
h	h	0.6
¹¹	³⁵	0.588
i	i	0.583
<#_v	<#_w	0.571
k	k	0.556
⁵⁵	¹¹	0.55
⁵	⁵	0.5
⁵	²	0.5
t	ʦ	0.5
t	t	0.5
kʰ	ʨʰ	0.5
kʰ	kʰ	0.5
o	ɔ	0.462
k	ʨ	0.444
<#_v	<#	0.429
¹¹	²⁴	0.412
⁵⁵	²¹³	0.3
m	n	0.3
p	f	0.286
ɲ	-	0.25
u	ɨ	0.214
j	ɥ	0.2
h	ʨʰ	0.2
h	kʰ	0.2
e	ɵ	0.2
o	ɵ	0.192
o	o	0.192
k̚	-	0.167
o	a_w	0.154
⁵⁵	³⁵	0.15
s	ɕ_j	0.143
²⁴	²¹³	0.125
i	ɵ	0.125
i	y	0.125
e	j_ɛ	0.1
i	ɨ_j	0.083
i	z̩	0.083
j	-	0.08
a	ɵ	0.08
²⁴	³⁵	0.075
