Štokavian	Macedonian	probability
̌_x	ˈ_v	1.0
̌	-	1.0
ʨ	-	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʋ_j	v	1.0
ʋ_#>	f_#>	1.0
ʋ	v	1.0
ʃ	ʃ	1.0
ɲ	-	1.0
ɡ_#>	ɡ̊_#>	1.0
ɡ	ɡ	1.0
x	f	1.0
uː_̌	a_ˈ	1.0
s	s	1.0
r̩ː_̂	r̩_ˈ	1.0
r̩_̂	r̩_ˈ	1.0
r	r	1.0
p	p	1.0
oː_̂	o_ˈ	1.0
o_̌	o_ˈ	1.0
o_̂	o_ˈ	1.0
n	n	1.0
m	m	1.0
l_o	ɫ_o	1.0
k	k	1.0
iː_̂	i_ˈ	1.0
iː	i_ˈ	1.0
i_̂	i_ˈ	1.0
i	i	1.0
eː_̌	ˈ	1.0
e_̌	ɛ_ˈ	1.0
e_#>	ɛ_#>	1.0
e	ɛ	1.0
d_#>	d̥_#>	1.0
d	d	1.0
aː_̌	a_ˈ	1.0
aː_̂	a_ˈ	1.0
aː	a	1.0
a_̌	a_ˈ	1.0
a_̂	a_ˈ	1.0
a_t	t	1.0
a_r	a_r	1.0
a_n	ɛ_n	1.0
a_k	o_k	1.0
<#_x	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
t	t	0.92
z	z	0.867
j	ɛ	0.846
e_̂	ɛ_ˈ	0.833
b	b	0.786
ʒ	ʒ	0.778
l	ɫ	0.75
eː	ɛ	0.75
<#_j	<#_j	0.75
a	a	0.717
ʎ	l	0.667
o	o	0.611
eː_̂	ɛ_ˈ	0.583
̂	-	0.545
uː_̂	u_ˈ	0.5
uː_̂	a_ˈ	0.5
uː	u_ˈ	0.5
uː	o	0.5
t_i	ˈ_ɛ	0.5
t_i	ɛ	0.5
̂	ˈ_ɫ	0.455
eː_̂	ˈ	0.417
u	o	0.375
u	-	0.375
ʎ	-	0.333
u	u	0.25
l	l	0.25
eː	ɛ_ˈ	0.25
<#_j	<#	0.25
ʒ	ʒ̊	0.222
o	ɔ_ˈ	0.222
b	b̥	0.214
o	ɫ	0.167
e_̂	ˈ	0.167
j	-	0.154
z	ʣ	0.133
a	ɛ	0.087
a	ɔ	0.087
t	-	0.08
a	o	0.065
