Saterland Frisian	Northern Low Saxon	probability
a	n	0.5
a	ˈeɪ̯	0.5
b	b	0.923
b	m	0.056
d	d	0.91
d	-	0.066
d_ə	ɐ	1.0
f	f	1.0
h	h	1.0
j	-	0.52
j	ʒ	0.149
j	ɡ	0.129
j	ˈaɪ̯	0.085
j	ŋ	0.069
j_ˈoː	ˈaɪ̯	1.0
j_ˈuː	ˈyː	0.25
j_ˈʊ	ˈɪ	1.0
k	ɡ	0.404
k	kʰ	0.355
k	k	0.12
k	ç	0.059
k	-	0.057
k_s	s	1.0
k_ə	ɡ	1.0
l	l	0.966
l_ə	l	1.0
m	m	0.966
n	n	0.857
n	m	0.068
p	b	0.836
p	p	0.158
r	r	0.586
r	ɐ	0.341
r_j	r	1.0
r_ə	ɐ	1.0
s	s	0.403
s	z	0.309
s	ʃ	0.221
s	kʰ	0.059
s_k	ʃ	1.0
t	d	0.577
t	tʰ	0.147
t	-	0.139
t	t	0.133
v	v	0.877
v	-	0.122
w	f	0.244
w	m	0.244
w	v	0.244
x	ç	0.468
x	x	0.373
x	f	0.091
x	-	0.059
z	n	0.574
z	z	0.287
z_ə	s	1.0
ŋ	ŋ	1.0
ə	-	0.99
ə_l	l	1.0
ə_r	ɐ	1.0
ɡ	ɡ	1.0
ɣ	ɡ	0.631
ɣ	-	0.263
ɣ	x	0.062
ɣ	ç	0.053
ɪ	ɪ	0.447
ɪ	-	0.242
ɪ	i	0.169
ɫ	l	1.0
ˈa	ˈa	0.53
ˈa	ˈœː	0.265
ˈa	ˈeː	0.165
ˈaː	ˈa	0.719
ˈaː	ˈɛɪ̯	0.144
ˈaː	ˈeɪ̯	0.069
ˈaːi̯	ˈa	0.392
ˈaːi̯	ˈɛ	0.392
ˈaːi̯	ˈoː	0.13
ˈaːu̯	ˈaɪ̯	0.25
ˈeː	ˈaɪ̯	0.286
ˈeː	ˈeː	0.217
ˈeː	ˈɔʏ̯	0.217
ˈeː	ˈɛ	0.085
ˈeː	ˈeɪ̯	0.069
ˈeː	ˈœ	0.069
ˈeː	ˈɪ	0.057
ˈeːu̯	ˈeː	0.25
ˈi	ˈiː	0.6
ˈi	ˈɪ	0.155
ˈi	-	0.089
ˈi	ˈeː	0.068
ˈiː	ˈiː	0.37
ˈiː	ˈoː	0.173
ˈiː	ˈɪ	0.15
ˈiː	ˈɛɪ̯	0.114
ˈiː	ˈaɪ̯	0.082
ˈiː	ˈeː	0.079
ˈiː_r	ˈaː	1.0
ˈoː	ˈaʊ̯	0.557
ˈoː	ˈoː	0.152
ˈoː	ˈaɪ̯	0.074
ˈoː	ˈøː	0.074
ˈoːu̯	ˈaʊ̯	0.369
ˈoːu̯	ˈa	0.188
ˈoːu̯	ˈaʊ̯_ɐ	0.105
ˈoːu̯	ˈoː	0.105
ˈoːu̯	ˈʊ	0.092
ˈoːu̯	ˈuː	0.061
ˈoːu̯	ˈɔ	0.061
ˈu	ˈaʊ̯	0.225
ˈu	ˈuː	0.175
ˈu	ˈyː	0.13
ˈu	ˈʊ	0.081
ˈuː	ˈuː	0.376
ˈuː	ˈaʊ̯_d	0.15
ˈuː	ˈyː	0.114
ˈuː	ˈøː	0.081
ˈuː	ˈʊ	0.081
ˈuː	ˈoː	0.062
ˈuː	ˈɔʏ̯	0.052
ˈyː	ˈyː	0.33
ˈyː	ˈʏ	0.165
ˈœː	ˈɔʏ̯	0.5
ˈɔ	ˈa	0.339
ˈɔ	ˈɔ	0.312
ˈɔ	ˈœː	0.133
ˈɔ	ˈʊ	0.133
ˈɔ	ˈʏ	0.07
ˈɔː	ˈoː	0.428
ˈɔː	ˈa	0.204
ˈɔː	ˈɔ	0.155
ˈɔː	ˈɛ	0.121
ˈɔː	ˈɪ	0.07
ˈɔːɪ̯	ˈaɪ̯	0.125
ˈɛ	ˈa	0.219
ˈɛ	ˈø	0.219
ˈɛ	ˈɪ	0.219
ˈɛ	ˈoː	0.144
ˈɛ	ˈɛ	0.144
ˈɛɪ̯	ˈaɪ̯	0.292
ˈɛɪ̯	ˈoː	0.226
ˈɛɪ̯	ˈɔʏ̯	0.216
ˈɛɪ̯	ˈiː	0.098
ˈɛɪ̯	ˈeː	0.065
ˈɛɪ̯	ˈuː	0.065
ˈɛː	ˈʏ	0.496
ˈɛː	ˈa	0.359
ˈɛː	-	0.124
ˈɛː_r	ˈaː	0.5
ˈɪ	ˈɪ	0.927
ˈɪ	ˈø	0.073
ˈʊ	ˈʊ	0.58
ˈʊ	ˈɛ	0.105
ˈʊ	ˈɪ	0.105
ˈʊ	ˈɔ	0.083
ˈʊ	ˈɔː	0.065
ˈʊ	ˈʏ	0.062
