Proto-Slavic	Slovak	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ_ĭ	ʃ	1.0
ʒ	ʒ	1.0
ɲ	ɲ	1.0
ɡ_ŭ	x	1.0
ɡ	ɦ	1.0
ɛ̌	ɛ	1.0
ɛ̂ː	ˈɛ	1.0
ɛˀ	ɪ̯ˈɛ	1.0
z	z	1.0
x	x	1.0
v_ŭ	v	1.0
ŭ̂_v	ʋ	1.0
ŭ_#>	#>	1.0
ûː	ˈu	1.0
t_ŭ_#>	t_#>	1.0
t_ĭ	c	1.0
t_i	c	1.0
t	t	1.0
s_ŭ_#>	s_#>	1.0
s	s	1.0
p	p	1.0
ô	ˈɔ	1.0
oˀ_r	r_ˈa	1.0
m	m	1.0
k_ŭ_#>	k_#>	1.0
k	k	1.0
ǐ	ˈi	1.0
ĭ̌	ˈɛ	1.0
ĭ̂_r	ˈr̩	1.0
ĭ̂_l	ˈɫ̩	1.0
ĭˀ_l	ˈɫ̩	1.0
ĭ_ʦ	ʦ	1.0
ĭ_#>	#>	1.0
ĭ	-	1.0
i	ˈi	1.0
ẽ̂ː	ˈæ	1.0
ẽ	ˈa	1.0
e_#>	ɛ_#>	1.0
d_ŭ	t	1.0
ǎ_#>	#>	1.0
ǎ	a	1.0
aˀ	ˈa	1.0
a	a	1.0
<#_t	<#_c	1.0
<#_s	<#	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_j	1.0
v	ʋ	0.81
ŭ	iː	0.789
e	ˈɛ	0.778
r	r	0.708
n	n	0.706
b	b	0.667
ɛː	ɪ̯ˈɛ	0.6
ôː	ˈɔ	0.6
d	d	0.6
o	ɔ	0.55
ǒ	ˈɔ	0.5
m_ĭ	ɛ_m	0.5
m_ĭ	m	0.5
ê	ˈɛ	0.5
ê	ˈa	0.5
<#_ô	<#_ˈɔ	0.5
<#_ô	<#	0.5
l	ɫ	0.483
ɛː	ɛ	0.4
ôː	ɫ	0.4
d	ɟ	0.4
o	ˈɔ	0.35
b	p	0.333
n	ɲ	0.294
ǒ	ʊ̯ˈɔ	0.25
ǒ	ɔ	0.25
e	-	0.222
ŭ	i	0.211
v	v	0.19
l	ʎ	0.172
l	l	0.172
r	ˈr̩	0.167
r	r_ˈa	0.125
l	ˈa	0.103
o	-	0.1
l	ɫ_ˈa	0.069
