Hessian	Wymysorys	probability
ˈɔ	-	1.0
ˈɑː_ɣ̊	ˈi̯ø	1.0
ˈæː	-	1.0
ˈæ_ɐ	ˈɑ	1.0
ˈæ	-	1.0
ˈuː	ˈʏ	1.0
ˈoː_d̥	ˈu_t	1.0
ˈo	ˈu	1.0
ˈiː	ˈi	1.0
ˈãː	-	1.0
ˈau̯	ˈɑi̯	1.0
ʦ	ʦ	1.0
ʤ̥	-	1.0
ʣ̥	-	1.0
ʒ̊	-	1.0
ʀ	r	1.0
ɣ̊	x	1.0
ə_#>	n_#>	1.0
ə	a	1.0
z̥	s	1.0
v̥	f	1.0
v_ə	n	1.0
v	v	1.0
p	b	1.0
n_i	ŋ	1.0
kʰ	k	1.0
k_#>	k_#>	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
<#_ʀ	<#_r	1.0
<#	<#_d	1.0
m	m	0.917
æ̆	ɛ_r	0.864
ˈi	ˈɘ̟	0.84
t	t	0.824
ˈai̯	ˈai̯	0.818
n	n	0.811
b̥	b	0.8
l	w	0.795
x	x	0.778
ˈɑ	ˈɑ	0.75
ɡ̊	ɡ	0.727
ŋ	ŋ	0.714
ˈe	ˈɛ	0.667
ˈoi̯	ˈɑi̯	0.625
ˈu	ˈu	0.615
ˈeː	-	0.6
ˈa	ˈɔ	0.583
ˈoː	ˈu	0.571
ʃ	ʃ	0.533
#>	n_#>	0.529
s	s	0.513
ˈɛː	ˈɑ	0.5
ˈɛː	-	0.5
k	ɡ	0.5
k	k	0.5
j	ɟ	0.5
j	j	0.5
d̥	t	0.486
ɐ	r	0.444
s	z	0.436
ˈoː	ˈø	0.429
ˈaː	ˈɑi̯	0.417
ˈa	-	0.417
ˈɛ	ˈɑ	0.4
ˈeː	ˈɘ̟	0.4
ˈɑː	ˈɔ	0.375
ˈɑː	ˈø	0.375
ˈoi̯	-	0.375
ˈe	-	0.333
ˈaː	ˈɑ	0.333
ɐ	ˈʏ	0.333
d̥	d̥	0.314
ˈɛ	ˈa	0.3
ˈɛ	-	0.3
ŋ	ŋ_ɟ	0.286
ɡ̊	-	0.273
ˈɑː	ˈi̯ø	0.25
ˈaː	ˈa	0.25
ˈu	ˈʏ	0.231
ɐ	ˈɑ	0.222
x	ɡ̊	0.222
d̥	d	0.2
b̥	b̥	0.2
n	n_d	0.189
ˈai̯	-	0.182
t	-	0.176
#>	r_#>	0.176
#>	a_#>	0.176
ʃ	x	0.167
ˈi	ˈei̯	0.16
ˈu	ˈi	0.154
æ̆	ə	0.136
ʃ	ɡ̊	0.133
ˈɑ	ˈɔ	0.125
ˈɑ	-	0.125
#>	w_a_#>	0.118
l	l	0.103
ʃ	ç	0.1
m	-	0.083
ʃ	k	0.067
s	-	0.051
l	w_d̥	0.051
l	-	0.051
