Dutch	Swabian	probability
ˈʏ	ˈu	1.0
ˈɑu̯	ˈa_l	1.0
ˈɑ_n	ˈaː	1.0
ˈyː	ˈəi̯	1.0
ˈu_t	ˈiə̯_s	1.0
ˈi_ɾ	ʕ	1.0
ˈeː_v	ˈɛː_b	1.0
ˈeː_t	ˈɛ_s	1.0
ˈeː_n	ˈɔe̯	1.0
ʋ	ʋ	1.0
ɪ	-	1.0
ɦ	h	1.0
ə_ɾ	ʌ	1.0
ə_v̥	f	1.0
ə_n	a	1.0
ə_#>	#>	1.0
ə	-	1.0
z̥	s	1.0
w	-	1.0
v̥_#>	b_#>	1.0
s_χ	ʃ	1.0
s_t	ʃ_d	1.0
n_#>	#>	1.0
m	m	1.0
j	j	1.0
d_ɾ	d_ʁ	1.0
d	d	1.0
b	b	1.0
<#_ɾ	<#_ʁ	1.0
<#_n	<#_n	1.0
#>	ʌ_#>	1.0
ɫ	l	0.956
χ	ɡ	0.944
v	f	0.92
d̥	d	0.867
ˈœy̯	ˈao̯	0.833
ŋ	ŋ	0.833
z	s	0.826
n	n	0.8
ˈɑ	ˈa	0.731
s	ʃ	0.714
p	f	0.692
χ_t	x_d	0.667
ˈɔ	ˈo	0.65
ˈu	ˈuə̯	0.6
ˈɛi̯	ˈəi̯	0.533
ˈɛ	ˈɛ	0.5
v̥	f	0.5
v̥	b	0.5
ˈeː	ˈɔe̯	0.471
ˈi	ˈiə̯	0.455
t	ʦ	0.455
ɾ	ʕ	0.444
ˈɪ	ˈi	0.409
k	kʰ	0.4
t	s	0.394
ˈɛ	-	0.389
ˈoː	ˈoː	0.379
ɾ	ʁ	0.361
χ_t	ç_d	0.333
ˈu	-	0.267
ˈaː	ˈɔː	0.261
k	ç	0.24
ˈeː	ˈae̯	0.235
ˈaː	ˈa	0.217
ˈɛi̯	ˈɔe̯	0.2
ˈɔ	ˈu	0.2
k	ɡ	0.2
ˈɪ	ˈɪ	0.182
ˈɪ	ˈe	0.182
ˈi	ˈeː	0.182
ˈi	ˈae̯	0.182
ˈi	-	0.182
ˈeː	-	0.176
z	ʃ	0.174
ˈoː	ˈao̯	0.172
ˈœy̯	ˈae̯	0.167
ŋ	ɡ	0.167
k	x	0.16
ˈɑ	ˈɛ	0.154
p	b̥͡f	0.154
p	-	0.154
ˈɔ	ˈɔ	0.15
s	ɡ_s	0.143
s	s	0.143
ˈoː	ˈɔ	0.138
ˈoː	-	0.138
ˈɪ	-	0.136
ˈɛi̯	ˈae̯	0.133
ˈɛi̯	-	0.133
ˈu	ˈuː	0.133
n	a	0.133
ˈaː	ˈɛ	0.13
ˈaː	ˈaː	0.13
ˈeː	ˈɛː	0.118
ˈɑ	ˈaː	0.115
ˈɛ	ˈe	0.111
ˈoː	ˈeː	0.103
ˈɪ	ˈəi̯	0.091
t	d	0.091
ˈaː	ˈɛː	0.087
ˈaː	ˈoː	0.087
ˈaː	-	0.087
ɾ	ʌ	0.083
v	b	0.08
ˈoː	ˈo	0.069
n	ˈeə̯	0.067
d̥	t	0.067
d̥	-	0.067
t	-	0.061
χ	x	0.056
ɾ	d_ʌ	0.056
ɾ	-	0.056
