Piedmontese	Campidanese	probability
a	a	0.835
a	-	0.065
b	b	0.547
b	v	0.174
b	bː	0.112
b	β	0.102
b	-	0.064
d	d	0.561
d	ð	0.276
d	ɣ	0.082
d	-	0.081
dː	ð	1.0
e	e	0.655
e	i	0.142
e	r_i	0.1
e	u	0.052
f	f	0.877
f	-	0.123
i	ŭ	0.4
i	i	0.375
i	j	0.158
i	a	0.067
j	-	0.359
j	r	0.151
j	j	0.143
j	i	0.087
j	ʣ_u	0.086
j	u	0.075
k	k	0.9
k	-	0.062
l	l	0.68
l	ɖː	0.229
m	m	0.824
m	nː	0.084
n	n	0.922
n	-	0.078
p	p	0.888
p	b	0.112
r	r	0.791
r	rː	0.104
s	s	0.471
s	ʒ	0.138
s	z	0.084
s	ʃː	0.074
s	ʧ	0.068
t	t	0.837
t	ð	0.1
u	o	0.683
u	ˈu	0.082
u	-	0.076
v	b	0.496
v	β	0.2
v	j	0.087
v	p	0.078
v	k	0.062
w	w	0.49
w	-	0.246
w	l	0.145
w	r	0.085
z	z	0.565
z	ʒ	0.36
z	ʤ	0.075
ŋ	n	0.712
ŋ	ŋ	0.113
ŋ	nː	0.082
ŋ	-	0.056
ə	i	0.617
ə	a	0.199
ə	-	0.184
ɡ	ɡ	0.551
ɡ	ɣ	0.449
ɲ	ʤ	0.501
ɲ	ɲː	0.39
ɲ	nː	0.109
ʤ	b	0.474
ʤ	-	0.314
ʤ	ʤ	0.149
ʧ	ʧ	1.0
ˈa	ˈa	0.862
ˈa	-	0.09
ˈe	ˈa	0.475
ˈe	ˈe	0.358
ˈe	ˈi	0.125
ˈi	ˈi	0.809
ˈi	e	0.057
ˈu	ˈo	0.654
ˈu	ˈu	0.346
ˈy	ˈu	0.625
ˈy	ˈi	0.338
ˈø	ˈo	0.94
ˈø	o	0.06
ˈɔ	ˈo	0.815
ˈɔ	-	0.052
ˈə	ˈi	1.0
ˈɛ	ˈe	0.699
ˈɛ	ˈi	0.198
ˈɛ	e	0.05
