Old Church Slavonic	Old Church Slavonic	probability
ˈ_#>	ˈ_#>	1.0
ʧ	ʨ	1.0
ʦ	ʦ	1.0
ʒ_ɛ	ʐ_ɨ	1.0
ʊ_ˈ	o_ˈ	1.0
ʊ_t	ə_tʲ	1.0
ʊ_#>	#>	1.0
ʃ	-	1.0
ɯ_ˈ	ɨ_ˈ	1.0
ɪ_#>	#>	1.0
ɡ_ʊ	ɡ̊	1.0
ɛ_l	ɪ_lʲ	1.0
ɔ_#>	ə_#>	1.0
ɑ_#>	ə_#>	1.0
æ_ˈ	ˈ	1.0
v_ʊ	f	1.0
u_ˈ	ʊ	1.0
t_ʊ_#>	t_#>	1.0
t_i	tʲ	1.0
rʲ	rʲ	1.0
r_ʊ_#>	r_#>	1.0
nʲ_ɪ	nʲ	1.0
n_ɪ	nʲ	1.0
lʲ	-	1.0
l_ʊ_#>	ɫ_#>	1.0
l_ɪ_#>	lʲ_#>	1.0
l_ɪ	o	1.0
k_ʊ_#>	k_#>	1.0
j	-	1.0
d_ʊ	d̥	1.0
d_ɪ	d̥ʲ	1.0
b_ʊ	b̥	1.0
b_ɪ	b̥ʲ	1.0
a	a	1.0
<#_ɔ	<#_ɐ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_lʲ	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
ɡ	ɡ	0.938
x	x	0.889
ˈ	ˈ	0.888
k	k	0.833
ɔ	o	0.786
ɑ	a	0.763
s	s	0.75
ɪ	-	0.727
æ	e	0.696
l	ɫ	0.68
ɔ̃	u	0.667
u	-	0.667
i	i	0.667
<#_t	<#_tʲ	0.625
p	pʲ	0.6
b	b	0.6
t	t	0.579
ʒ	ʐ	0.571
#>	j_#>	0.571
z	z	0.562
n	n	0.562
ɛ̃	ɪ	0.545
m	m	0.524
v	vʲ	0.5
r_ɪ	ɵ	0.5
r_ɪ	e	0.5
m	mʲ	0.476
d	d	0.471
ʊ	j	0.452
ʒ	ʐ̊	0.429
#>	ˈ_#>	0.429
v	v	0.423
t	tʲ	0.421
d	dʲ	0.412
ɛ	ɪ	0.4
r	rʲ	0.4
r	r	0.4
p	p	0.4
b	bʲ	0.4
<#_t	<#_t	0.375
ɔ̃	ʊ	0.333
u	ʉ	0.333
z	zʲ	0.312
n	n_ɨ	0.312
ɛ	e	0.28
ɪ	e	0.273
ɛ̃	a	0.273
s	sʲ	0.25
æ	ɪ	0.217
ɔ	ɐ	0.214
i	ɨ	0.2
ɛ̃	-	0.182
k	kʲ	0.167
ʊ	ɪ_j	0.161
ʊ	-	0.161
i	-	0.133
ʊ	o_ˈ	0.129
z	z̥	0.125
n	nʲ	0.125
ɛ	ɵ	0.12
ɛ	-	0.12
l	ɫ_ɨ	0.12
l	lʲ	0.12
d	-	0.118
x	xʲ	0.111
ɑ	o	0.105
r	ɪ	0.1
r	r_ɨ	0.1
ʊ	ə	0.097
ˈ	-	0.093
æ	ɐ	0.087
ɛ	ə	0.08
l	-	0.08
ɑ	ə	0.079
v	v_ɨ	0.077
ɡ	ɡʲ	0.062
ɑ	ɐ	0.053
