Middle Chinese	Middle Chinese	probability
˧˥_#>	#>	1.0
˧˥	⁵³	1.0
˦	¹¹	1.0
˥˩	⁴⁵	1.0
ʨʰ	ʦʰ	1.0
ʨ	ʦ	1.0
ʦ	ʦ	1.0
ʥ	s	1.0
ʤ	s	1.0
ʣ	ʨʰ	1.0
ʔˠ	-	1.0
ʔ	ɣ	1.0
ʑ	s	1.0
ʌ_m	æ̃	1.0
ʌ_i	a_j	1.0
ʉ	-	1.0
ʈˠ	ʦ_w	1.0
ʈ	ʦ	1.0
ʃˠ	s	1.0
ʃ	s	1.0
ɳ	n	1.0
ɪ_˧˥	⁵³	1.0
ɪ_˥˩	⁴⁵	1.0
ɨ_˥˩	z̩_⁴⁵	1.0
ɨ_ʌ	y	1.0
ɨ_u	ə	1.0
ɨ_o	y	1.0
ɦ_ɨ	ỹ	1.0
ɦ	x	1.0
ɡ	-	1.0
ɛ	-	1.0
ɖˠ	ʦʰ	1.0
ɖ	ʦʰ	1.0
ɕˠ	s	1.0
ɕ	s	1.0
ɑ_ŋ	ɒ̃	1.0
ɑ_u	a_w	1.0
ɑ_n	æ̃	1.0
ɐ_ŋ	ɒ̃	1.0
ɐ_n	æ̃	1.0
ɐ	-	1.0
ŋˠ	n_i	1.0
ŋ_u	v	1.0
ŋ	ŋ	1.0
æ	ĩ	1.0
w	w	1.0
u_˦	w_¹¹	1.0
u_ɛ	ɥ	1.0
u_o	u	1.0
u_n	ŋ	1.0
u_k̚	w_⁴⁵	1.0
t̚	ʔ	1.0
tʰ	tʰ͡x	1.0
t	t	1.0
sˠ	s	1.0
s	ɕ	1.0
p̚	ʔ	1.0
o	u	1.0
mˠ	m	1.0
l	l	1.0
k̚	ʔ	1.0
kˠ	ʨ	1.0
kʰˠ	kʰ͡x	1.0
i_˦	j_¹¹	1.0
i_e	a	1.0
i_a	ɤ	1.0
hˠ	x	1.0
e_˦	¹¹	1.0
e_n	j_e	1.0
e_i	i	1.0
bˠ	-	1.0
b	pʰ͡x	1.0
a	a	1.0
<#_ɦ	<#	1.0
<#_ŋ	<#	1.0
<#_n	<#_n	1.0
#>	²_#>	0.9
ʌ	a	0.8
h	x	0.8
u	w	0.765
u_ŋ	ũ_ŋ	0.75
ə	ə	0.667
ȵ	ʐ	0.667
p	f	0.667
ʦʰ	ʦʰ	0.6
d	t	0.6
ɑ	ɤ	0.571
kʰ	kʰ͡x	0.571
i	-	0.514
ɪ	ĩ	0.5
ɪ	-	0.5
k	ʨ	0.5
k	k	0.5
n	ŋ	0.444
ɑ	a	0.429
kʰ	ʨʰ	0.429
ʦʰ	ʨʰ	0.4
m	v	0.4
d	-	0.4
ɨ	-	0.333
ə	ə̃	0.333
ȵ	ə	0.333
p	p	0.333
n	e	0.333
m	ŋ	0.3
m	m	0.3
e	z̩	0.3
e	a	0.3
ɨ	ə	0.25
u_ŋ	ŋ	0.25
i	j	0.243
u	-	0.235
n	æ̃	0.222
ʌ	o	0.2
h	h	0.2
e	ə̃	0.2
e	-	0.2
ɨ	ə̃	0.167
ɨ	j_ə	0.167
i	i	0.108
#>	¹¹_#>	0.1
ɨ	z̩	0.083
i	ə	0.081
i	ɻ	0.054
