Scots	Gothic	probability
b	b	0.963
d	d	0.465
d	θ	0.437
d	ð	0.062
e	-	1.0
f	f	0.971
h	h	1.0
i	j	1.0
j	j	0.742
j	ˈɛ	0.181
j	ˈɔː	0.076
k	k	0.935
k	h	0.065
kʰ	k	0.641
kʰ	kʷ	0.359
l	l	0.846
l	h_l	0.109
m	m	0.952
n	n	0.944
p	p	1.0
r	r	0.861
r	-	0.067
s	s	0.941
s	z	0.059
t	t	0.943
t	-	0.057
tʰ	t	1.0
v	β	0.665
v	f	0.335
w	w	0.958
x	h	1.0
z	s	1.0
ð	θ	0.861
ð	ð	0.139
ŋ	ŋ	0.885
ŋ	h	0.115
ə	a	0.499
ə	u	0.182
ə	oː	0.117
ə	-	0.111
ə	i	0.079
əi̯	a	0.877
əi̯	-	0.123
ɡ	ɡ	0.894
ɡ	d	0.071
ɪ	a	1.0
ɫ	lː	0.394
ɫ	l	0.337
ɫ	β	0.269
ɹ	ˈiː	1.0
ʃ	s	1.0
ʍ	ʍ	1.0
ʧ	k	1.0
ˈa	ˈa	1.0
ˈaːɪ̯	ˈi	1.0
ˈe	ˈɛː	0.346
ˈe	ˈa	0.269
ˈe	ˈi	0.175
ˈe	ˈiu̯	0.153
ˈei̯	ˈɔː	0.255
ˈei̯	ˈɛ	0.199
ˈei̯	ˈi	0.125
ˈei̯	ˈa	0.105
ˈei̯	i	0.104
ˈei̯	ˈɔ	0.104
ˈei̯	ˈiu̯	0.055
ˈei̯	ˈeː	0.054
ˈeː	ˈa	1.0
ˈi	ˈa	0.366
ˈi	ˈeː	0.307
ˈi	ˈiu̯	0.225
ˈi	ˈɛː	0.102
ˈiː	ˈiu̯	0.194
ˈiː	ˈɔː	0.192
ˈiː	ˈiː	0.108
ˈiː	ˈeː	0.088
ˈiː	ˈuː	0.076
ˈiː	j	0.069
ˈiː	ˈoː	0.065
ˈiː	ˈu	0.065
ˈiː	ˈi	0.053
ˈiː	ˈɛː	0.053
ˈø	ˈoː	0.594
ˈø	ˈu	0.163
ˈø	ˈeː	0.127
ˈø	ˈa	0.115
ˈɑ	ˈa	0.827
ˈɑ	ˈɛː	0.076
ˈɑ	ˈɛ	0.056
ˈɑː	ˈa	0.839
ˈɑː	ˈɛː	0.13
ˈɔ	ˈɔ	0.421
ˈɔ	ˈu	0.264
ˈɔ	ˈɔː	0.209
ˈɔ	ˈeː	0.106
ˈəi̯	ˈi	0.384
ˈəi̯	ˈiː	0.341
ˈəi̯	ˈiu̯	0.203
ˈəi̯	ˈoː	0.072
ˈɛ	ˈa	0.342
ˈɛ	ˈɛ	0.208
ˈɛ	ˈeː	0.205
ˈɛ	ˈi	0.081
ˈɛ	ˈiː	0.07
ˈɛ	ˈɛː	0.069
ˈɪ	ˈi	0.627
ˈɪ	-	0.09
ˈɪ	ˈa	0.076
ˈɪ	ˈiː	0.057
ˈɪ	ˈɔ	0.056
ˈɪ	ˈoː	0.05
ˈʉ	ˈu	0.422
ˈʉ	ˈuː	0.24
ˈʉ	i	0.178
ˈʉ	ˈi	0.081
ˈʉ	-	0.078
ˈʌ	ˈu	0.38
ˈʌ	ˈi	0.271
ˈʌ	ˈuː	0.139
ˈʌ	ˈiu̯	0.129
ˈʌ	ˈɛ	0.08
ˈʌʉ̯	ˈu	0.719
ˈʌʉ̯	ˈi	0.281
θ	θ	0.669
θ	n_θ	0.331
