Hoisanese	Hoisanese	probability
ᵑɡ_e	ɤ	1.0
ᵐb	m	1.0
ʦ	ʦ	1.0
ɵ	ə	1.0
ɛ	-	1.0
ɔ_n	õ	1.0
ŋ	n	1.0
²¹	⁴¹	1.0
²²	¹³	1.0
²	⁴¹	1.0
w_ɔ	o	1.0
v	w	1.0
u_t̚	e	1.0
u_j	y	1.0
t̚_⁵⁵	²⁴	1.0
t̚_³³	²⁴	1.0
t̚_³²	²⁴	1.0
t	ʦ	1.0
pʰ	p	1.0
p	p	1.0
m̩	u	1.0
m	n	1.0
l	l	1.0
kʰ	ʨ	1.0
j_³²	²¹	1.0
h_w	kʰ	1.0
e_j	z̩	1.0
a_k̚	ɤ	1.0
a_j	i	1.0
<#_ᵑɡ	<#	1.0
<#_ᵐb	<#_w	1.0
<#_v	<#	1.0
ɔ	a	0.882
n	n	0.833
<#	<#_t	0.778
³³	³³	0.767
⁵⁵	⁴¹	0.759
w	w	0.667
j_a	i	0.667
f	ɸ	0.667
a	a	0.645
ɬ	ɕ	0.625
s	s	0.625
j	j	0.607
ʦʰ	ʦ	0.6
³²	²¹	0.571
ⁿd	nʲ	0.5
ⁿd	l̃	0.5
tʰ	ʨʰ	0.5
tʰ	ʦʰ	0.5
k	ʨ	0.5
k	k	0.5
k̚	w	0.444
³²	²⁴	0.429
ʦʰ	ʦʰ	0.4
j	-	0.393
i	i	0.385
ɬ	s	0.375
e	i	0.357
ᵑɡ	ʐ	0.333
ᵑɡ	ɥ	0.333
ᵑɡ	nʲ	0.333
k̚	o	0.333
j_a	æ	0.333
i	ə	0.308
h	x	0.294
a	ɒ	0.29
e	j	0.286
w	-	0.25
s	-	0.25
⁵⁵	²⁴	0.241
h	tʰ	0.235
k̚	-	0.222
<#	<#_ŋ	0.222
u	ə	0.214
u	z̩	0.214
u	y	0.214
u	u	0.214
e	e	0.214
³³	⁴⁵	0.186
n	ẽ	0.167
f	x	0.167
f	kʰ	0.167
i	y	0.154
i	j_ə	0.154
u	-	0.143
e	ə	0.143
s	ʂ	0.125
ɔ	-	0.118
h	ʨʰ	0.118
h	ɕ	0.118
h	kʰ	0.118
h	-	0.118
w	ŋ	0.083
a	ə	0.065
