Danish	Gothic	probability
b̥	b	0.646
b̥	p	0.339
d̥	d	0.861
d̥	θ	0.12
f	f	1.0
h	h	1.0
i	a	0.509
j	-	0.284
j	h	0.275
j	k	0.15
j	ˈɛ	0.15
j	ɣ	0.064
j	x	0.063
jˀ	ɡ	1.0
k	k	0.433
k	k_s	0.364
k	h	0.107
k	ɡ	0.061
kʰ	k	0.778
kʰ	kʷ	0.167
l	l	0.709
l	l_s	0.162
l	e	0.073
l	lː	0.053
lˀ	l	0.746
lˀ	lː	0.162
lˀ	n	0.079
m	m	0.621
m	m_s	0.284
m	n	0.088
mˀ	m	1.0
n	n	0.645
n	n_s	0.101
n	-	0.084
n	nː	0.069
nˀ	n_d	0.389
nˀ	n_θ	0.171
nˀ	n	0.143
nˀ	nː	0.13
nˀ	t	0.13
p	p	0.509
s	s	0.863
s	i_s	0.069
t	t	0.462
t	t_s	0.257
t	h_t	0.156
t	-	0.103
v	f	0.263
v	w	0.263
v	b	0.134
w	-	0.245
w	β	0.245
w	a	0.162
w	aː	0.162
w	ɡ	0.118
wˀ	h	0.5
wˀ	oː	0.5
ð̞ˠ	θ	0.3
ð̞ˠ	t	0.178
ð̞ˠ	θ_s	0.152
ð̞ˠ	-	0.132
ð̞ˠ	t_s	0.1
ð̞ˠ	i	0.064
ð̞ˠ	u	0.064
ŋ	ŋ	1.0
ŋˀ	ŋ_ɡ	0.79
ŋˀ	h	0.209
ɐ	r	0.343
ɐ	a	0.328
ɐ	-	0.114
ɐ	oː	0.113
ɐ	θ_a	0.081
ɐˀ	r	0.631
ɐˀ	ˈɔ	0.258
ə	oː	0.327
ə	a_n	0.297
ə	-	0.078
ə	a	0.078
ə	i	0.068
ə	l	0.051
ə	ɔː	0.051
ɡ̊	ɡ	0.907
ɡ̊	d	0.083
ʁ	r	0.922
ʁ	z	0.078
ʋ	w	0.531
ʋ	-	0.243
ʋ	ʍ	0.19
ʦʰ	θ	0.482
ʦʰ	t	0.285
ʦʰ	t_w	0.211
ˈa	ˈa	0.764
ˈa	ˈu	0.133
ˈa	ˈɛ	0.097
ˈe	ˈi	0.715
ˈe	ˈa	0.184
ˈe	ˈiː	0.09
ˈeˀ	ˈɛː	0.525
ˈeˀ	ˈiu̯	0.312
ˈeˀ	ˈa	0.105
ˈeː	ˈa	0.5
ˈeː	ˈɛ	0.5
ˈi	ˈiː	0.66
ˈi	ˈoː	0.171
ˈiˀ	ˈi	0.514
ˈiˀ	ˈiː	0.331
ˈiˀ	ˈiu̯	0.1
ˈiː	ˈiː	0.517
ˈiː	ˈi	0.303
ˈo	w	0.603
ˈo	ˈɔ	0.198
ˈo	ˈoː	0.095
ˈoˀ	ˈoː	0.679
ˈoˀ	ˈɛː	0.147
ˈoˀ	r	0.108
ˈoː	ˈa	0.379
ˈoː	ˈu	0.222
ˈoː	ˈɔ	0.13
ˈoː	ˈi	0.076
ˈu	ˈu	0.888
ˈu	ˈuː	0.105
ˈuˀ	ˈuː	0.715
ˈuˀ	ˈu	0.204
ˈuː	ˈu	1.0
ˈy	ˈiu̯	0.509
ˈyˀ	ˈiu̯	0.852
ˈyˀ	ˈi	0.108
ˈyː	ˈɛː	0.067
ˈæ	ˈɛ	0.509
ˈæˀ	ˈa	0.259
ˈø	ˈi	0.259
ˈøː	ˈɔː_s	0.683
ˈøː	ˈɔː	0.229
ˈœ	ˈu	0.53
ˈœ	w	0.461
ˈœˀ	ˈɔ	0.386
ˈœˀ	ˈɔː	0.386
ˈœˀ	r	0.222
ˈɑ	ˈi	0.533
ˈɑ	ˈa	0.464
ˈɑˀ	ˈa_r	0.683
ˈɑˀ	ˈi	0.229
ˈɑː	ˈa	1.0
ˈɒ	ˈɔː	1.0
ˈɒː	ˈeː	1.0
ˈɔ	ˈu	1.0
ˈɔˀ	ˈa	0.389
ˈɔˀ	ˈeː	0.274
ˈɔˀ	ˈɔː	0.157
ˈɔː	ˈeː	0.509
ˈɛ	ˈa	0.328
ˈɛ	ˈɛ	0.296
ˈɛ	ˈɛː	0.176
ˈɛ	ˈi	0.116
ˈɛ	ˈɔː	0.069
ˈɛˀ	ˈeː	0.361
ˈɛˀ	ˈɛː	0.361
ˈɛˀ	ˈiː	0.211
ˈɛː	ˈa	1.0
ˈʌ	ˈa	0.633
ˈʌ	ˈoː	0.229
ˈʌ	ˈɔː	0.103
ˈʌˀ	ˈɔː	0.509
