Scots	Bavarian	probability
b	b̥	1.0
d	d̥	0.77
d	t	0.17
e	j	0.784
e	-	0.122
f	f	0.85
f	b̥	0.104
h	h	1.0
i	-	0.236
j	j	0.422
j	ɡ̊	0.242
j	ˈe	0.147
j	ˈai̯	0.1
k	k	0.259
k	x	0.225
k	kʰ	0.167
k	ç	0.137
k	ɡ̊	0.083
k	-	0.064
kʰ	kʰ	0.85
kʰ	f	0.125
l	l	0.618
l	j	0.243
l	-	0.091
m	m	0.849
m	m_a	0.104
n	n	0.663
n	-	0.322
p	f	0.641
p	f_a	0.331
r	r	0.399
r	-	0.311
r	ɐ	0.231
r	a	0.052
s	s	0.703
s	ʃ	0.291
t	s	0.36
t	t	0.307
t	ʦ	0.16
t	s_n	0.091
tʰ	ʦ	0.907
tʰ	b̥	0.075
v	f	0.447
v	m	0.257
v	b̥	0.205
w	ʋ	0.871
w	-	0.067
w	r	0.061
x	x	1.0
z	s	0.369
z	r	0.179
ð	d̥	0.752
ð	t	0.242
ŋ	ŋ	0.745
ŋ	i	0.14
ŋ	ŋ_a	0.1
ə	a	0.643
ə	-	0.276
ə	ˈe	0.077
əi̯	i	0.425
əi̯	ɪ	0.237
əi̯	ŋ	0.133
ɡ	ɡ̊	0.817
ɡ	-	0.179
ɪ	a	1.0
ɫ	j	0.574
ɫ	ə	0.279
ɹ	r	1.0
ʃ	ʃ	1.0
ʍ	ʋ	1.0
ʧ	ç	0.574
ʧ	kʰ	0.279
ˈa	ˈɛ	0.486
ˈaːɪ̯	ˈi	0.369
ˈaːɪ̯	ˈau̯	0.179
ˈe	ˈoɐ̯	0.405
ˈe	ˈou̯	0.098
ˈe	ˈɒ	0.098
ˈe	ˈi	0.085
ˈe	ˈoː	0.072
ˈe	ˈa	0.056
ˈe	ˈiː	0.056
ˈei̯	ˈaː	0.14
ˈei̯	ˈe	0.119
ˈei̯	ˈou̯	0.119
ˈei̯	ˈoɐ̯	0.119
ˈei̯	ˈɛ	0.087
ˈei̯	-	0.069
ˈei̯	ˈiː	0.069
ˈei̯	ˈeː	0.057
ˈei̯	ˈa	0.056
ˈei̯	ˈau̯	0.056
ˈeː	ˈoː	0.425
ˈeː	ˈɔ	0.322
ˈeː	ˈo	0.18
ˈi	ˈu	0.275
ˈi	ˈi	0.233
ˈi	ˈɛː	0.118
ˈi	ˈaː	0.063
ˈi	ˈeː	0.063
ˈiː	ˈiɐ̯	0.14
ˈiː	ˈai̯	0.119
ˈiː	ˈaː	0.09
ˈiː	ˈeː	0.078
ˈiː	ˈou̯	0.078
ˈiː	ˈeɐ̯	0.072
ˈiː	ˈɑː	0.064
ˈiː	ˈɔ	0.064
ˈiː	ˈi	0.063
ˈiː	ˈoː	0.063
ˈiː	ˈiː	0.052
ˈiː	ˈu	0.05
ˈiː	ˈɛː	0.05
ˈø	ˈuɐ̯	0.496
ˈø	ˈeɐ̯	0.179
ˈø	ˈɔ	0.179
ˈø	ˈa	0.12
ˈɑ	ˈɒː	0.254
ˈɑ	ˈa	0.193
ˈɑ	ˈai̯	0.193
ˈɑ	ˈe	0.117
ˈɑ	ˈɒ	0.081
ˈɑ	ˈoɐ̯	0.078
ˈɑː	ˈo	0.527
ˈɑː	ˈa	0.164
ˈɑː	ˈoɐ̯	0.094
ˈɑː	ˈɔ	0.074
ˈɑː	ˈɛː	0.074
ˈɑː	ˈi	0.056
ˈɔ	ˈu	0.445
ˈɔ	ˈo	0.366
ˈɔ	ˈɔ	0.175
ˈɔ_r	ˈoɐ̯	1.0
ˈəi̯	ˈai̯	0.782
ˈəi̯	ˈi	0.122
ˈəi̯	ˈoɐ̯	0.088
ˈɛ	ˈe	0.346
ˈɛ	ˈai̯	0.122
ˈɛ	ˈoɐ̯	0.122
ˈɛ	ˈɛ	0.106
ˈɛ	ˈa	0.065
ˈɛ	ˈɒː	0.058
ˈɛ	ˈeː	0.057
ˈɪ	ˈi	0.42
ˈɪ	ˈuɐ̯	0.112
ˈɪ	ˈai̯	0.067
ˈɪ	ˈiɐ̯	0.067
ˈɪ	ˈu	0.067
ˈɪ	ˈɔ	0.06
ˈʉ	ˈau̯	0.465
ˈʉ	ˈu	0.241
ˈʉ	ˈuɐ̯	0.12
ˈʉ	ˈoː	0.086
ˈʉ	-	0.067
ˈʌ	ˈɛ	0.574
ˈʌ	ˈu	0.279
ˈʌʉ̯	ˈo_j	0.392
ˈʌʉ̯	ˈy	0.341
ˈʌʉ̯	ˈi	0.191
θ	d̥	0.739
θ	l	0.112
θ	t	0.112
