Ukrainian	Macedonian	probability
<#_bʲ	<#_b	1.0
<#_d	<#_d	1.0
<#_i	<#	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_lʲ	<#_l	1.0
<#_m	<#_m	1.0
<#_mʲ	<#_m	1.0
<#_n	<#_n	1.0
<#_nʲ	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_rʲ	<#_r	1.0
<#_s	<#_s	1.0
<#_sʲ	<#_s	1.0
<#_t	<#_t	1.0
<#_tʲ	<#_t	1.0
<#_x	<#	1.0
<#_z	<#_z	1.0
<#_zʲ	<#_ʣ	1.0
<#_ɦ	<#_ɡ	1.0
<#_ʋ	<#_v	1.0
<#_ʋʲ	<#_v	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʧ	<#_ʧ	1.0
b	b	1.0
b_#>	p_#>	1.0
d	d	1.0
d_#>	t_#>	1.0
i	ˈɛ	1.0
j	-	1.0
j_ˈɑ	ˈɛ	1.0
k_#>	k_#>	1.0
k_ˈɪ	o_k	1.0
lʲ_#>	ɫ_#>	1.0
lʲ_ˈi	l	1.0
m	m	1.0
m_#>	m_#>	1.0
n	n	1.0
n_e	n_#>	1.0
nʲ_#>	n_#>	1.0
p	p	1.0
pʲ_i	p	1.0
r_#>	r_#>	1.0
r_ɪ	r	1.0
r_ˈɔ	r_ˈa	1.0
s	s	1.0
s_#>	s_#>	1.0
sʲ	s	1.0
sʲ_ɐ	s_ɛ	1.0
t	t	1.0
t_#>	t_#>	1.0
t_e	ɛ_#>	1.0
tʲ_#>	t_#>	1.0
w	f	1.0
x	-	1.0
z	z	1.0
ɐ	ˈɛ	1.0
ɐ_#>	a_#>	1.0
ɔ_#>	o_#>	1.0
ɔ_d	ˈo_d	1.0
ɔ_r	ˈo_r	1.0
ɔ_ɫ	l_ˈɛ	1.0
ɛ	ˈɛ	1.0
ɛ_#>	ɛ_#>	1.0
ɦ	ɡ	1.0
ɦ_#>	k_#>	1.0
ɫ_#>	ɫ_#>	1.0
ʋ	v	1.0
ʋ_e	f	1.0
ʋʲ	v	1.0
ʋʲ_ˈi	v	1.0
ʦ	ʦ	1.0
ʦʲ	ʦ	1.0
ˈi_t	ˈɛ_t	1.0
ˈɑ_#>	a	1.0
ˈɔ_#>	o_#>	1.0
ˈɔ_ʋ	ˈo_ɫ	1.0
ˈɔ_ʍ	ˈo_ɫ	1.0
ˈɛ_r	ˈr̩	1.0
ɔ	ˈɛ	0.111
ˈi	ˈa	0.1
ɔ	ˈo	0.222
ˈɔ	ˈɛ	0.182
e	ˈɛ	0.143
ˈɑ	ɛ_#>	0.333
ˈɔ	-	0.273
<#_w	<#	0.4
ˈu	ˈu	0.4
ˈɛ	ɛ	0.4
k	-	0.25
k	k	0.75
r	r	0.5
r	ˈr̩	0.5
ɔ	-	0.5
ˈi	ˈo	0.35
ˈi	ˈɛ	0.55
ˈɔ	ˈo	0.545
ˈɪ	i	0.235
<#_w	<#_v	0.6
ɫ	l	0.176
ɫ	ɫ	0.706
ˈu	ˈa	0.6
ˈɛ	ˈɛ	0.6
e	-	0.857
ɔ	ˈa	0.167
ˈɑ	ˈa	0.667
ɫ	ɫ_ˈa	0.118
ˈɪ	ɛ	0.118
ˈɪ	-	0.118
ˈɪ	ˈi	0.529
