Swedish	American English	probability
a	-	0.985
b	b	1.0
d	d	0.8
d	ð	0.084
d	θ	0.084
e	ɚ	0.49
f	f	0.976
h	h	1.0
j	-	0.459
j	oʊ̯	0.118
j	ɡ	0.078
j	ˈɑ	0.078
j	ˈɪ	0.078
j	w	0.062
j	ˈaɪ̯	0.062
j	ˈi	0.061
jː	ˈeɪ̯	0.24
k	k	0.711
k	ʧ	0.182
k	-	0.091
kʰ	kʰ	0.809
kʰ	-	0.187
kː	ŋ_k	0.594
kː	k	0.392
l	l	0.602
l	ɫ	0.303
l	-	0.091
l_ɛ	ɫ	0.49
lː	ɫ	1.0
m	m	0.932
m	v	0.068
mː	m	0.49
mː_a	m	1.0
n	n	0.855
n	-	0.143
nː	n	0.803
nː	θ	0.194
p	p	1.0
pʰ	pʰ	0.49
pː	p	1.0
r	ɹ	0.548
r	-	0.262
r	ɚ	0.126
r	ð_ɚ	0.06
r_a	ɚ	1.0
rː	ˈaɪ̯	0.371
rː	θ	0.182
s	s	0.918
s	z	0.081
s_k	ʃ	1.0
sː	s	1.0
t	t	0.947
t	θ	0.055
tʰ	tʰ	0.569
tʰ	θ	0.331
tʰ	d	0.071
tː	t	0.717
tː	ɾ	0.272
tː_a	t	1.0
v	w	0.552
v	f	0.147
v	v	0.139
v	-	0.105
ŋ	-	0.422
ŋ	ŋ	0.278
ŋ	n	0.211
ŋ	v	0.06
ŋː	ŋ	1.0
ɕ	ʧ	0.441
ɕ	θ	0.384
ɕ	tʰ	0.106
ɖ	d	0.683
ɖ	θ	0.221
ɛ	ɚ	0.579
ɛ	-	0.271
ɛ	ə	0.073
ɛ	ɪ	0.073
ɛ_l	ɫ	0.49
ɡ	-	0.628
ɡ	ɡ	0.327
ɡː	ʤ	0.776
ɡː	ɡ	0.171
ɧ	s	0.558
ɧ	ʃ	0.437
ɪ	i	0.561
ɪ	ɪ	0.425
ɳ	ɹ_n	0.298
ɳ	ɹ	0.213
ɳ	ɚ	0.197
ɳː	n	0.24
ɵ	i	0.574
ɵ	-	0.281
ʈː	t	1.0
ʊ	ˈɛ	0.644
ʊ	n	0.239
ˈa	ˈæ	0.367
ˈa	ˈɑ	0.25
ˈa	ˈeɪ̯	0.1
ˈa	ˈɔ	0.1
ˈa	ˈu	0.066
ˈa	ˈaɪ̯	0.055
ˈa	ˈoʊ̯	0.055
ˈeː	ˈoʊ̯	0.396
ˈeː	ˈɪ	0.256
ˈeː	ˈi	0.152
ˈeː	ˈæ	0.1
ˈeː	ˈɑ	0.076
ˈiː	ˈaɪ̯	0.578
ˈiː	ˈɪ	0.175
ˈiː	ˈi	0.132
ˈiː	-	0.1
ˈoː	ˈi	0.312
ˈoː	ˈu	0.248
ˈoː	ˈʌ	0.121
ˈoː	ˈeɪ̯	0.08
ˈoː	ˈɛ	0.065
ˈoː	ˈɑ	0.064
ˈoː	ˈaʊ̯	0.052
ˈuː	ˈʌ	0.289
ˈuː	ˈu	0.146
ˈuː	ˈɝ	0.146
ˈuː	ˈʊ	0.146
ˈuː	ˈɔ	0.116
ˈuː	ˈaʊ̯	0.111
ˈyː	ˈaɪ̯	0.372
ˈyː	ˈi	0.324
ˈyː	ˈu	0.186
ˈyː	ˈɔ	0.085
ˈæ	ɹ	0.5
ˈæ	ˈɔ	0.5
ˈæː	ˈɔ	0.392
ˈæː	ˈi	0.221
ˈæː	ˈɑ	0.221
ˈøː	ˈɛ	0.353
ˈøː	ˈi	0.341
ˈøː	ˈoʊ̯	0.158
ˈøː	ˈaɪ̯	0.12
ˈœ	ˈi	0.31
ˈœ	ˈɪ	0.148
ˈœ	ˈaɪ̯	0.14
ˈœ	ˈɛ	0.14
ˈœ	ˈɑ	0.101
ˈœ	ˈɔ	0.071
ˈœː	ˈi	1.0
ˈɑː	ˈeɪ̯	0.393
ˈɑː	ˈɛ	0.181
ˈɑː	ˈæ	0.137
ˈɑː	-	0.091
ˈɑː	ˈʌ	0.091
ˈɑː	ˈɑ	0.068
ˈɑː_ɡ	ˈeɪ̯	1.0
ˈɔ	ˈɔ	0.151
ˈɔ	ˈeɪ̯	0.148
ˈɔ	ˈʌ	0.148
ˈɔ	ɹ	0.107
ˈɔ	ˈoʊ̯	0.1
ˈɔ	ˈɛ	0.1
ˈɔ	ˈɑ	0.072
ˈɔ	ˈɪ	0.068
ˈɛ	ˈɛ	0.306
ˈɛ	ˈaɪ̯	0.198
ˈɛ	ˈæ	0.118
ˈɛ	ˈɪ	0.118
ˈɛ	-	0.093
ˈɛ	ˈeɪ̯	0.078
ˈɛ	ˈʌ	0.061
ˈɛː	ˈi	0.366
ˈɛː	ˈoʊ̯	0.2
ˈɛː	ˈɛ	0.2
ˈɛː	ˈæ	0.132
ˈɛː	ˈeɪ̯	0.069
ˈɪ	ˈɪ	0.661
ˈɪ	ˈaɪ̯	0.177
ˈɪ	ˈi	0.101
ˈɪ	ˈɛ	0.058
ˈɵ	ˈaʊ̯	0.266
ˈɵ	ˈɪ	0.202
ˈɵ	w_ˈʊ	0.158
ˈɵ	ˈʌ	0.12
ˈɵ	-	0.081
ˈɵ	ˈʊ	0.079
ˈʉː	ˈaʊ̯	0.349
ˈʉː	ˈi	0.268
ˈʉː	ˈaɪ̯	0.099
ˈʉː	ˈɛ	0.092
ˈʉː	-	0.075
ˈʉː	w	0.053
ˈʊ	ˈʌ	0.467
ˈʊ	ˈu	0.284
ˈʊ	ˈɝ	0.173
ˈʏ	ˈɪ	0.826
ˈʏ	ˈɝ	0.141
