Brazilian Portuguese	Corsican	probability
a	a	0.592
a	ˈa	0.232
a	-	0.086
a	e	0.055
b	b	0.466
b	p	0.413
b	v	0.068
b	-	0.053
d	t	0.555
d	d	0.422
e	-	0.338
e	i	0.179
e	e	0.143
e	a	0.133
e	u	0.072
e	ˈɔ	0.072
ẽ	u	0.488
ẽ	a	0.206
ẽ	i	0.199
ẽ	e	0.057
ẽ	ˈɛ	0.051
f	f	1.0
h	-	0.543
h	d	0.241
h	n	0.09
h	r_t	0.052
i	e	0.525
i	u	0.181
i	i	0.178
i	-	0.065
i	a	0.052
ĩ	i	1.0
j	-	0.491
j	j	0.326
j	e	0.111
j	u	0.073
j̃	n	0.54
j̃	ɲ	0.244
j̃	-	0.138
j̃	l	0.057
k	k	0.752
k	kː	0.122
k	ŋ_k	0.072
l	lː	0.504
l	l	0.496
m	m	0.952
n	n	0.882
n	m	0.072
o	u	0.391
o	ˈɔ	0.254
o	o	0.189
o	-	0.128
õ	nː	0.843
õ	u	0.157
p	p	0.961
s	s	0.513
s	ʧ	0.184
s	ʧː	0.056
t	t	0.473
t	n_t	0.241
t	tː	0.167
t	-	0.073
u	u	0.956
ũ	-	1.0
v	v	0.829
v	-	0.061
v	b	0.051
w	l	0.572
w	w	0.235
w	j	0.055
w̃	n	1.0
z	-	0.404
z	ʧ	0.341
z	z	0.207
ɐ	a	0.891
ɐ	-	0.082
ɐ̃	m	0.664
ɐ̃	u	0.336
ɡ	ɡ	0.46
ɡ	k	0.318
ɡ	-	0.155
ɦ	r	1.0
ɾ	r	0.711
ɾ	-	0.084
ɾ	e_r	0.074
ʃ	ʧ	0.319
ʃ	s	0.297
ʃ	-	0.098
ʃ	sː	0.07
ʃ	ʃː	0.067
ʃ	c	0.062
ʃ	p	0.056
ʎ	ʎ	0.404
ʎ	c	0.35
ʎ	-	0.113
ʎ	r	0.092
ʒ	ɟ	0.705
ʒ	-	0.1
ʒ	ʣ	0.07
ʤ	d	0.51
ʤ	-	0.402
ʤ	t	0.087
ʧ	n_t	0.524
ʧ	tː	0.326
ʧ	-	0.118
ˈa	ˈa	0.946
ˈa	-	0.054
ˈe	ˈɛ	0.474
ˈe	ˈe	0.305
ˈe	-	0.08
ˈe	e	0.058
ˈe	ˈa	0.05
ˈẽ	ˈɛ	0.696
ˈẽ	ˈu	0.197
ˈẽ	ˈa	0.063
ˈi	ˈi	0.545
ˈi	ˈɛ	0.233
ˈi	e	0.056
ˈĩ	ˈi	1.0
ˈo	ˈɔ	0.682
ˈo	ˈo	0.237
ˈo	ˈu	0.067
ˈõ	ˈɔ	0.636
ˈõ	ˈo	0.24
ˈõ	ˈu	0.124
ˈu	ˈu	0.778
ˈu	ˈɔ	0.105
ˈu	ˈo	0.074
ˈũ	ˈu	1.0
ˈɐ̃	ˈa	0.916
ˈɐ̃	ˈo	0.059
ˈɔ	ˈɔ	0.766
ˈɔ	ˈo	0.167
ˈɔ	ˈa	0.067
ˈɛ	ˈe	0.527
ˈɛ	ˈɛ	0.473
