Bavarian	Alsatian	probability
β	-	1.0
ˈɑ	ˈɒ	1.0
ˈuɐ̯	ˈʊː	1.0
ˈou̯	ˈoː	1.0
ˈiː	ˈi	1.0
ˈeɐ̯	-	1.0
ˈau̯	ˈyː	1.0
ˈai̯_#>	ˈei̯_#>	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɡ̊_a	k	1.0
ɡ̊_#>	#>	1.0
ə	-	1.0
ɐ	ʁ	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ_#>	j_ə_#>	1.0
ŋ	ŋ	1.0
s_n	s_ə	1.0
r	ʁ	1.0
n_ˈɑː	n	1.0
kʰ	kʰ	1.0
i	i	1.0
h	h	1.0
f	f	1.0
<#_r	<#_ʁ	1.0
ˈu	ˈu	0.9
l	l	0.9
j	l	0.882
b̥	b̥	0.87
ʋ	ʋ	0.857
n	n	0.826
m	m	0.806
ˈoɐ̯	ˈəi̯	0.8
ˈi	ˈi	0.783
ˈiɐ̯	ˈiː	0.778
s	s	0.771
ˈai̯	ˈiː	0.692
ˈe	ˈe	0.667
ˈoː	-	0.6
ˈa	-	0.6
ɡ̊	ɡ̊	0.591
ˈeː	ˈeː	0.583
ˈaː	-	0.571
d̥	t	0.567
x	x	0.538
a	ə_ʁ	0.514
x	ʃ	0.462
ˈo	ˈo	0.444
d̥	d̥	0.433
ˈaː	ˈʊː	0.429
ˈoː	ˈoː	0.4
ˈa	ˈɒ	0.4
ˈo	ˈɒ	0.389
a	ə	0.378
ˈɒː	ˈɒː	0.364
ˈɒː	ˈɒ	0.364
ˈai̯	ˈi	0.308
ˈɒː	-	0.273
ɡ̊	k	0.273
ˈeː	ˈæ	0.25
s	z̥	0.229
ˈiɐ̯	-	0.222
ˈoɐ̯	ˈei̯	0.2
ˈe	ˈæ	0.2
m	-	0.194
n	ə	0.174
ˈo	ˈoː	0.167
ˈeː	-	0.167
ʋ	w	0.143
ɡ̊	i	0.136
ˈe	ˈæː	0.133
ˈi	-	0.13
b̥	-	0.13
j	j	0.118
a	ʁ	0.108
ˈu	-	0.1
l	l_ˈʊː	0.1
ˈi	ˈiː	0.087
