Polish	Upper Sorbian	probability
ˈi	ˈi	1.0
ˈa_r	ˈɔ_ʀ	1.0
ʨ_#>	ʧ_#>	1.0
ʦ_#>	ʦ_#>	1.0
ʦ	ʦ	1.0
ʥ	ʤ	1.0
ʐ	ʀʲ	1.0
ʈ͡ʂ	ʧ	1.0
ʂ	ʃ	1.0
ɲ_#>	ɲ_#>	1.0
ɨ_#>	ɪ_#>	1.0
ɡ	ɦ	1.0
ɛ_m	ˈɔ_m	1.0
ɛ_#>	ɔ_#>	1.0
ɕ	s	1.0
ɔ_#>	ɔ_#>	1.0
ɔ	-	1.0
x_ɨ	xʲ_i	1.0
x	x	1.0
w̃_ʂ	ʃ	1.0
w̃_z	ˈa_z	1.0
w_ˈɔ	w_ˈo	1.0
w_ˈa	w_ˈa	1.0
w_#>	w_#>	1.0
w	w	1.0
v_j	ɥ	1.0
v	β	1.0
t_ˈa	t_ˈa	1.0
t_#>	t_#>	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r	ʀ	1.0
p	p	1.0
n	n	1.0
m_p_#>	p_#>	1.0
m_j	mʲ	1.0
l_#>	l_#>	1.0
l	l	1.0
j_ˈa	ˈe	1.0
j	-	1.0
i_#>	i_#>	1.0
i	ɪ	1.0
f	ɥ	1.0
d	d	1.0
b	b	1.0
a_#>	a_#>	1.0
<#_ʨ	<#_ʧ	1.0
<#_ʥ	<#_ʤ	1.0
<#_ʑ	<#_z	1.0
<#_ʐ	<#_ʒ	1.0
<#_ɡ	<#_ɦ	1.0
<#_ɕ	<#_s	1.0
<#_z	<#_z	1.0
<#_x	<#_x	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_p_j	<#_pʲ	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#	<#_β	1.0
<#_m	<#_m	0.667
k_#>	k_#>	0.625
ˈɨ	ˈɪ	0.6
ˈɔ	ˈɔ	0.593
k	k	0.571
ˈa	ˈe	0.556
ɲ	ɲ	0.5
ɲ	-	0.5
ɛ	ɛ	0.5
<#_v	<#_β	0.5
<#_v	<#_ɥ	0.5
ˈu	ˈo	0.455
k	kʲ	0.429
ˈɨ	ˈi	0.4
k_#>	x_#>	0.375
ˈɛ	ˈe	0.346
ɛ	-	0.333
<#_m	<#_mʲ	0.333
ˈu	ˈɔ	0.273
ˈu	ˈu	0.273
ˈɛ	ˈɛ	0.269
ˈa	ˈɛ	0.222
ˈa	ˈa	0.222
ɛ	ˈɛ	0.167
ˈɛ	ˈɔ	0.154
ˈɔ	ˈu	0.148
ˈɔ	ˈo	0.148
ˈɛ	e	0.115
ˈɛ	-	0.115
ˈɔ	ɔ	0.111
