Standard Mandarin	Hoisanese	probability
⁵¹_#>	#>	1.0
ʨ	k	1.0
ʦʰ	tʰ	1.0
ʦ	t	1.0
ʐ	ᵑɡ	1.0
ʊ	ɵ	1.0
ʈ͡ʂʰ	ʦʰ	1.0
ʈ͡ʂ	ʦ	1.0
ʂ	s	1.0
ɻ	j	1.0
ɥ_ɛ	u	1.0
ɕ	ɬ	1.0
ɔ	ɔ	1.0
ɑ_w	a_w	1.0
ŋ	ŋ	1.0
z̩	u	1.0
y	u_j	1.0
x_w	v	1.0
x	h	1.0
w_⁵⁵	w_³³	1.0
w_⁵¹	k̚_³²	1.0
w_³⁵	w_²²	1.0
tʰ	h	1.0
s	ɬ	1.0
pʰ	pʰ	1.0
p	p	1.0
m	ᵐb	1.0
l	l	1.0
k	k	1.0
j_ɛ	e	1.0
i_ŋ	e_n	1.0
f	f	1.0
<#_w	<#_ᵐb	1.0
<#_t	<#	1.0
<#_n	<#_ⁿd	1.0
<#_i	<#_j_i	1.0
<#	<#_ᵑɡ	1.0
#>	³³_#>	1.0
³⁵	²²	0.909
⁵⁵	³³	0.886
²¹⁴	⁵⁵	0.818
n	n	0.8
u	u	0.667
w	w	0.643
j	j	0.615
ʨʰ	tʰ	0.571
⁵¹	³²	0.5
ə	u	0.5
ɑ	ɔ	0.5
kʰ	h_w	0.5
kʰ	f	0.5
e	e	0.5
e	a	0.5
a	a	0.5
o	i	0.444
ʨʰ	h	0.429
ɤ	ᵑɡ_e	0.429
⁵¹	³³	0.375
ɑ	j_a	0.357
w	-	0.357
u	ɵ	0.333
o	e	0.333
i	a_j	0.333
ɤ	j_ɛ	0.286
ɤ	a	0.286
ə	i	0.25
ə	-	0.25
a	w_ɔ	0.25
j	-	0.231
o	ɵ	0.222
i	j_a	0.222
i	i	0.222
i	e_j	0.222
n	m	0.2
²¹⁴	²¹	0.182
a	ɔ	0.156
j	k̚	0.154
ɑ	a	0.143
⁵¹	k̚_³²	0.125
a	a_t̚	0.094
³⁵	k̚_⁵⁵	0.091
⁵⁵	⁵⁵	0.057
⁵⁵	t̚_⁵⁵	0.057
