Bellunese	Bellunese	probability
θ	s	1.0
ˈɛ_t	ˈɛ_ʧ	1.0
ˈu_n	ˈỹ	1.0
ˈo_ŋ	ˈũ	1.0
ˈo_n	ˈũ	1.0
ˈi_ŋ	ˈĩ	1.0
ˈi_r	ˈi	1.0
ˈe_ŋ	ˈẽ	1.0
ˈe_r_#>	ˈɛ_#>	1.0
ˈa_ŋ	ˈã	1.0
ˈa_r	ˈa	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ɲ	ɲ	1.0
ɡ_o_#>	k_#>	1.0
ŋ_#>	m_#>	1.0
ŋ	-	1.0
ð_e	ʧ	1.0
ð	ʒ	1.0
v_o	f	1.0
v_e	f	1.0
u	y	1.0
t	t	1.0
s	s	1.0
r_t	r_t	1.0
r_a	a	1.0
r_#>	#>	1.0
p	p	1.0
o_r	u_r	1.0
m	m	1.0
k	k	1.0
i_ŋ	ĩ	1.0
i_#>	#>	1.0
i	e	1.0
f_r	f_r	1.0
f	f	1.0
e_n	ẽ	1.0
b	b	1.0
a_ŋ	ã	1.0
<#_θ	<#_ʧ	1.0
<#_ˈɔ	<#_ˈoː	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#	<#_v	1.0
#>	a_#>	1.0
r	r	0.95
a	a	0.934
l	l	0.932
v	v	0.92
d	d	0.917
n	n	0.897
ɡ	ɡ	0.867
ˈu	ˈyː	0.778
ˈɛ	ˈɛ	0.731
j	j	0.714
ˈɔ	ˈɔ	0.667
ˈa	ˈɑː	0.606
ˈi	ˈiː	0.6
r_o	r	0.6
j_ˈe	ˈeː	0.6
w	w	0.571
ˈe	ˈeː	0.522
o	-	0.515
θ_a	s_a	0.5
θ_a	a	0.5
z	ʒ	0.5
z	z	0.5
e	e	0.462
w	-	0.429
ˈi	ˈi	0.4
r_o	e_r	0.4
j_ˈe	ˈe	0.4
ˈa	ˈa	0.394
e	-	0.385
ˈo	ˈu	0.345
ˈo	ˈuː	0.31
o	u	0.303
j	-	0.286
ˈo	ˈøː	0.276
ˈɛ	-	0.269
ˈe	ˈɛ	0.261
ˈu	ˈy	0.222
e	i	0.154
ɡ	k	0.133
ˈe	ˈe	0.13
ˈɔ	ˈœ	0.111
ˈɔ	ˈøː	0.111
ˈɔ	ˈu	0.111
n	-	0.103
ˈe	e	0.087
d	-	0.083
v	-	0.08
ˈo	ˈyː	0.069
l	-	0.068
a	-	0.066
o	y	0.061
o	r	0.061
o	o	0.061
