Xiang	Standard Mandarin	probability
⁴⁵	⁵¹	1.0
ʨʰ	ʨʰ	1.0
ʐ	ʐ	1.0
ɥ	ɥ	1.0
ə_w	u	1.0
ɕ	ɕ	1.0
ɒ	ɑ	1.0
ŋ_<#	<#	1.0
¹³	³⁵	1.0
³³	⁵⁵	1.0
²¹	⁵¹	1.0
y	y	1.0
x	x	1.0
w_²⁴	w_⁵¹	1.0
w	w	1.0
u	u	1.0
tʰ	tʰ	1.0
õ	a	1.0
nʲ	n	1.0
n_⁴¹	n_²¹⁴	1.0
m	m	1.0
l̃	n	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_¹³	j_³⁵	1.0
i	i	1.0
ẽ	ɛ_n	1.0
⁴¹	²¹⁴	0.926
j	j	0.852
a	a	0.771
ɸ	f	0.727
t	t	0.714
o	w_ɔ	0.714
s	ʂ	0.7
ʨ	ʨ	0.667
z̩	ʐ̩	0.667
p	p	0.625
n	ŋ	0.6
e	e	0.571
ʦʰ	ʦʰ	0.5
ʦʰ	ʈ͡ʂʰ	0.5
ɤ	ɤ_ɻ	0.5
ɤ	ɤ	0.5
e	ɛ	0.429
ə	o	0.4
n	n	0.4
p	pʰ	0.375
ʦ	ʦ	0.357
ʦ	ʈ͡ʂ	0.357
²⁴	⁵¹	0.35
ʨ	ʨʰ	0.333
z̩	z̩	0.333
²⁴	⁵⁵	0.3
s	s	0.3
ʦ	ʈ͡ʂʰ	0.286
t	tʰ	0.286
o	u	0.286
ə	ə	0.28
ɸ	x_w	0.273
ə	ʊ	0.24
a	ɑ	0.229
²⁴	³⁵	0.2
²⁴	²¹⁴	0.15
j	ɥ	0.148
ə	ɤ	0.08
⁴¹	n_²¹⁴	0.074
