Slovak	Bulgarian	probability
ˈɛ_t	ˈa_t	1.0
ˈɔ_x	ˈɔ_k	1.0
ˈu	ˈɤ	1.0
ˈi	ˈi	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʎ_#>	ɫ_#>	1.0
ʎ	l	1.0
ʋ_#>	f_#>	1.0
ʊ̯ˈɔ	ˈɔ	1.0
ʃ	ʃ	1.0
ɲ	n	1.0
ɫ	ɫ	1.0
ɪ̯ˈɛ_s	ˈa_s	1.0
ɪ̯ˈa	ˈɛ	1.0
ɦ	ɡ	1.0
ɟ	d	1.0
ɛ_#>	ˈɛ_#>	1.0
ɔ_#>	ˈɔ_#>	1.0
z	z	1.0
t	t	1.0
s	s	1.0
r	r	1.0
p	p	1.0
n	n	1.0
m	m	1.0
k_a	k_ˈa	1.0
j	-	1.0
iː	-	1.0
f	p	1.0
d_ɫ	ɫ	1.0
d	d	1.0
c	t	1.0
b	b	1.0
<#_ˈɔ	<#_ˈɔ	1.0
#>	ɐ_#>	1.0
k	k	0.913
ʋ	v	0.812
ˈa	ˈa	0.8
ɔ	o	0.8
x	x	0.778
v	v	0.667
l	lʲ	0.667
ˈɫ̩	ˈɤ_ɫ	0.6
ˈɔ	o	0.6
ɪ̯ˈɛ	ˈa	0.6
i	-	0.6
a	ˈa	0.556
ɛ	ɛ	0.545
ˈr̩	r_ˈɤ	0.5
ˈr̩	r	0.5
a	ɐ	0.444
ˈɫ̩	ˈɤ	0.4
ˈɔ	ˈɔ	0.4
ɪ̯ˈɛ	ɛ	0.4
i	ˈi	0.4
ˈɛ	ɛ	0.381
ˈɛ	ˈɛ	0.333
v	f	0.333
l	l	0.333
ɛ	ˈɛ	0.273
x	k	0.222
ˈa	ˈɛ	0.2
ɔ	ɐ	0.2
ˈɛ	ˈa	0.19
ʋ	vʲ	0.188
ɛ	ɐ	0.182
ˈɛ	ˈɔ	0.095
k	ʦ	0.087
