Belarusian	Čakavian	probability
<#	<#_j	1.0
<#_d	<#_d	1.0
<#_k	<#_k	1.0
<#_lʲ	<#_l	1.0
<#_m	<#_m	1.0
<#_mʲ	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_pʲ	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_sʲ	<#_s	1.0
<#_v	<#_ʋ	1.0
<#_v_ˈo	<#_ô	1.0
<#_vʲ	<#_ʋ	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_zʲ	<#_z	1.0
<#_ɣ	<#_ɡ	1.0
<#_ʐ	<#_ʒ	1.0
<#_ʣʲ	<#_d	1.0
<#_ʦʲ	<#_t	1.0
<#_ʧ	<#_ʧ	1.0
a_d	o_d	1.0
a_ɫ	l	1.0
b	b	1.0
d	d	1.0
i_#>	k_#>	1.0
k	k	1.0
kʲ	a	1.0
lʲ	l	1.0
lʲ_#>	l_#>	1.0
mʲ	m	1.0
n	n	1.0
nʲ_#>	n_#>	1.0
p_#>	p_#>	1.0
r_#>	r_#>	1.0
s	s	1.0
s_#>	s_#>	1.0
sʲ	s	1.0
t	t	1.0
t_#>	t_#>	1.0
u	uː	1.0
v	ʋ	1.0
vʲ	ʋ	1.0
vʲ_ˈe	ʋ_îː	1.0
x	x	1.0
æ	e	1.0
æ_z	z	1.0
ɣ	ɡ	1.0
ɨ_#>	#>	1.0
ɫ_a	l_aː	1.0
ʂ	ʃ	1.0
ʌ	-	1.0
ʣʲ	d	1.0
ʦ	ʦ	1.0
ʦʲ	t_i	1.0
ʦʲ_#>	t_#>	1.0
ʧ	c	1.0
ˈa	â	1.0
ˈe_s	î_s	1.0
ˈi	i	1.0
ˈo_#>	ô_#>	1.0
ˈo_w	ûː	1.0
ˈo_x	ôː_k	1.0
ˈu	ûː	1.0
ˈɵ	-	1.0
ˈo	-	0.211
a_#>	a_#>	0.312
ˈe	ê	0.2
ˈe	-	0.2
a	ô	0.143
a	a	0.143
a	-	0.143
a	âː	0.143
r	r	0.833
ɫ	l	0.833
ˈo	ô	0.263
ˈo	ôː	0.263
ˈɨ	îː	0.333
a	o	0.214
a	e	0.214
a_r	r	0.714
a_#>	o_#>	0.5
e	a	0.5
e	e	0.5
m	m	0.5
m	n	0.5
nʲ	n	0.5
nʲ	ɲ_#>	0.5
ˈa_#>	a_#>	0.25
ˈa_#>	â_#>	0.75
ˈo	ǎː	0.105
ˈæ	â	0.5
ˈæ	êː	0.5
a_r	o_r	0.286
ˈe	î	0.6
r	r̩̂	0.167
ɫ	-	0.167
ˈɨ	î	0.667
a_#>	e_#>	0.188
ˈo	â	0.158
