Emilian	Bellunese	probability
θ	θ	1.0
ˈʌu̯	ˈo	1.0
ˈʌ	ˈo	1.0
ˈɛː	ˈɛ	1.0
ˈɛ_t	ˈɛ_t	1.0
ˈɛ_s	ˈɛ_s	1.0
ˈɛ_#>	ˈa_#>	1.0
ˈɔ	ˈɔ	1.0
ˈæ	ˈe	1.0
ˈi	ˈi	1.0
ˈaː_s	ˈa_s	1.0
ˈa_j	ˈe	1.0
ʧ	ʧ	1.0
ʤ	j	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ð	ð	1.0
w	w	1.0
t	t	1.0
s	s	1.0
r_ˈa	r_ˈe	1.0
r_t	r_t	1.0
r_e	r	1.0
r_a	r_a	1.0
r_#>	#>	1.0
o	o	1.0
n	n	1.0
m_#>	ŋ_#>	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j_ˈa	j_ˈa	1.0
f	f	1.0
e_r	r_o	1.0
d_e	r_e	1.0
d_#>	t_#>	1.0
d	d	1.0
b	b	1.0
<#_ˈaː	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
#>	a_#>	1.0
a	a	0.963
v	v	0.929
r	r	0.915
ˈe	ˈi	0.846
p	p	0.842
ˈaː	ˈa	0.833
u	o	0.833
ŋ	ŋ	0.816
ˈɛ	ˈa	0.69
j	j	0.667
i	i	0.667
e	e	0.667
ˈɔː	ˈɔ	0.6
ˈuː	ˈu	0.556
ˈa	ˈa	0.556
z	s	0.556
ˈo	ˈu	0.5
ˈo	ˈo	0.5
ˈuː	ˈo	0.444
ˈa	ˈe	0.444
z	z	0.444
ˈiː	ˈi	0.417
ˈɔː	ˈo	0.4
i	e	0.333
ˈɛ	ˈɛ	0.31
ˈiː	ˈe	0.25
e	r	0.2
ˈiː	j_ˈe	0.167
ˈiː	e	0.167
ˈaː	ˈo	0.167
u	u	0.167
j	ˈe	0.167
j	-	0.167
p	p_j	0.158
ˈe	ˈe	0.154
e	o	0.133
ŋ	n	0.105
ŋ	-	0.079
v	f	0.071
r	r_o	0.051
