Shanghainese	Jin	probability
⁵⁵	²	1.0
⁵³	¹¹	1.0
⁵	²	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʥ	ʨʰ	1.0
ʔ	ʔ	1.0
ʑ	ʨʰ_ɥ	1.0
ɯ	w	1.0
ɪ	ə	1.0
ɦ_y	ỹ	1.0
ɦ	x	1.0
ɥ	ɥ	1.0
ɤ	ə_w	1.0
ɜ	ə_w	1.0
ɕ	ɕ	1.0
ɔ	a_w	1.0
ɑ̃	ɒ̃	1.0
ŋ	ŋ	1.0
z̩	z̩	1.0
y	y	1.0
v	f	1.0
tʰ	tʰ͡x	1.0
t	t	1.0
s	s	1.0
p	p	1.0
n	ŋ	1.0
l	l	1.0
kʰ	kʰ͡x	1.0
k	k	1.0
h	x	1.0
f	f	1.0
b	pʰ͡x	1.0
<#_ɦ	<#	1.0
<#_n	<#_n	1.0
<#	<#_ɣ	1.0
ø	æ̃	0.8
¹²	²	0.8
a	a	0.778
j	j	0.692
²³	¹¹	0.613
m	m	0.6
d	t	0.6
³⁴	⁵³	0.593
ã	ə̃_ŋ	0.5
ã	ɒ̃	0.5
z	ʦʰ	0.455
u	ɤ	0.455
e	a_j	0.455
nʲ	ʐ	0.444
ə	ə̃	0.429
ə	ə	0.429
³⁴	⁴⁵	0.407
m	v	0.4
d	tʰ͡x	0.4
z	s	0.364
u	u	0.364
e	æ̃	0.364
nʲ	n	0.333
j	-	0.308
i	i	0.304
o	ũ	0.292
i	ĩ	0.261
²³	⁴⁵	0.226
nʲ	ə	0.222
a	ə	0.222
o	ə	0.208
ø	e	0.2
¹²	⁵⁴	0.2
z	-	0.182
u	-	0.182
e	j	0.182
o	w_ə	0.167
o	w_a	0.167
²³	⁵³	0.161
ə	-	0.143
i	j_e	0.13
i	e	0.13
i	ɻ	0.087
i	-	0.087
o	ɤ	0.083
o	-	0.083
