Luxembourgish	English	probability
b	b	0.952
d	d	0.44
d	θ	0.421
d	ð	0.109
d̥	d	0.593
d̥	θ	0.37
e	ˈiː	0.747
e	ŋ	0.253
f	f	0.632
f	p	0.298
h	h	1.0
j	j	1.0
k	ʤ	0.459
k	k	0.311
k	-	0.126
k	ʧ	0.104
kʰ	kʰ	0.678
kʰ	-	0.162
kʰ	ʧ	0.16
l	l	0.595
l	ɫ	0.381
m	m	0.908
m	-	0.092
n	n	0.798
n	-	0.186
p	d	0.51
p	p	0.49
pʰ	pʰ	1.0
s	t	0.613
s	s	0.344
t	t	0.619
t	d	0.381
v	w	0.79
v	v	0.187
v̥	f	0.744
v̥	v	0.256
w	w	0.654
w	-	0.173
w	ˈuː	0.173
z	s	0.981
ŋ	ŋ	0.468
ŋ	n	0.403
ŋ	-	0.129
ɐ	ə	0.656
ɐ	-	0.149
ɐ	ˈɔː	0.076
ɕ	k	0.619
ɕ	ʧ	0.381
ə	-	0.912
ə	ə	0.056
ɡ	ɡ	0.72
ɡ	j	0.263
ɡ̊	ŋ	1.0
ʀ	ɹ	0.712
ʀ	-	0.237
ʃ	s	0.547
ʃ	ʃ	0.453
ʑ	-	1.0
ʦ	tʰ	0.556
ʦ	t	0.444
ˈaː	ˈɔː	0.268
ˈaː	ˈɑː	0.221
ˈaː	ˈiː	0.185
ˈaː	ˈeɪ̯	0.114
ˈaː	ˈɒ	0.069
ˈaː	ˈɐ	0.058
ˈe	ˈɪ	0.54
ˈe	ˈaɪ̯	0.195
ˈe	ˈiː	0.132
ˈe	ˈe	0.087
ˈeː	ˈəʊ̯	0.483
ˈeː	w	0.133
ˈeː	ˈeɪ̯	0.125
ˈeː	ˈe	0.083
ˈeː	ˈiː	0.074
ˈeː	-	0.064
ˈi	ˈɪ	0.585
ˈi	ˈiː	0.242
ˈi	ˈaɪ̯	0.138
ˈiə̯	ˈe	0.684
ˈiə̯	ˈɪ	0.21
ˈiə̯	ˈiː	0.106
ˈiː	ˈaɪ̯	0.302
ˈiː	ˈiː	0.165
ˈiː	-	0.144
ˈiː	ˈɛ	0.125
ˈiː	ˈe	0.09
ˈiː	ˈæ	0.071
ˈiː	j	0.052
ˈiː	ˈɪ	0.051
ˈo	ˈɐ	0.444
ˈo	ˈuː	0.115
ˈo	ˈɔː	0.104
ˈo	ˈaʊ̯	0.084
ˈo	ˈʊ	0.083
ˈo	ˈəʊ̯	0.05
ˈoː	ˈiː	0.515
ˈoː	ˈeɪ̯	0.296
ˈoː	ˈəʊ̯	0.1
ˈu	ˈɐ	0.31
ˈu	ˈuː	0.211
ˈu	ˈeɪ̯	0.156
ˈu	ˈæ	0.146
ˈu	ˈaʊ̯	0.079
ˈu	ˈʊ	0.051
ˈuə̯	ˈaɪ̯	0.476
ˈuə̯	ˈɛ	0.206
ˈuə̯	ˈəʊ̯	0.121
ˈuə̯	ˈɔː	0.116
ˈuə̯	ˈɐ	0.082
ˈuː	ˈɜː	0.56
ˈuː	ˈɔː	0.235
ˈuː	ˈɒ	0.205
ˈæ	ˈe	0.589
ˈæ	ˈæ	0.242
ˈæ	ˈuː	0.169
ˈæːɪ̯	ˈaɪ̯	0.56
ˈæːɪ̯	ˈiː	0.179
ˈæːɪ̯	ˈɪ	0.169
ˈæːɪ̯	ɜː	0.093
ˈæːʊ̯	ˈaʊ̯	0.862
ˈæːʊ̯	ˈaɪ̯	0.138
ˈɑ	ˈɪ	0.332
ˈɑ	ˈæ	0.315
ˈɑ	ˈaɪ̯	0.161
ˈɑ	ˈe	0.098
ˈɑ	ˈuː	0.056
ˈɑɪ̯	ˈaɪ̯	0.409
ˈɑɪ̯	ˈɪ	0.275
ˈɑɪ̯	ˈɐ	0.138
ˈɑɪ̯	j	0.072
ˈɑɪ̯	ˈiː	0.072
ˈɑʊ̯	ˈɐ	0.673
ˈɑʊ̯	ˈaʊ̯	0.177
ˈɑʊ̯	ˈuː	0.149
ˈɔ	ˈɐ	0.569
ˈɔ	ˈaʊ̯	0.431
ˈə	ˈɪ	0.561
ˈə	ˈe	0.249
ˈə	ˈaɪ̯	0.117
ˈəʊ̯	ˈe	0.337
ˈəʊ̯	ˈɐ	0.138
ˈəʊ̯	ˈuː	0.137
ˈəʊ̯	ˈaʊ̯	0.122
ˈəʊ̯	ˈɪ	0.1
ˈəʊ̯	ˈʊ	0.096
ˈəʊ̯	ˈeɪ̯	0.07
ˈɛ	ˈe	0.411
ˈɛ	ˈɛ	0.3
ˈɛ	ˈəʊ̯	0.172
ˈɛ	ˈɪ	0.117
ˈɛː	ˈɑː	0.474
ˈɛː	ˈɔː	0.272
ˈɛː	ˈɜː	0.254
ˈɜɪ̯	ˈiː	0.496
ˈɜɪ̯	ˈəʊ̯	0.155
ˈɜɪ̯	ˈaɪ̯	0.134
ˈɜɪ̯	ˈɪ	0.088
ˈɜɪ̯	ˈuː	0.055
ˈʊ	ˈɐ	0.948
ˈʊ	ˈʊ	0.052
χ	k	0.444
χ	-	0.394
χ	ʧ	0.109
χ	f	0.053
