Luxembourgish	English	probability
b	b	1.0
d	d	0.476
d	θ	0.376
d	ð	0.134
e	ŋ	1.0
f	f	0.799
f	p	0.154
f	pʰ	0.038
f_ə	p	0.489
h	h	1.0
j	j	1.0
k	ʤ	0.417
k	-	0.354
k	k	0.167
k_ə	k	0.489
kʰ	kʰ	0.511
kʰ	ʧ	0.33
kʰ	-	0.119
l	l	0.528
l	ɫ	0.421
l	-	0.05
m	m	1.0
n	n	0.528
n	-	0.452
n_t	θ	1.0
p	p	0.74
p	d	0.134
s	t	0.454
s	s	0.388
s	z	0.107
s	-	0.044
s_ə	t	1.0
t	d	0.576
t	t	0.335
t	θ	0.053
t	-	0.037
v	w	0.802
v	v	0.191
v_ə	v	1.0
w	w	0.681
w	ˈuː	0.175
w	-	0.118
z	s	0.919
z	z	0.081
ŋ	ŋ	0.526
ŋ	n	0.283
ŋ	ŋ_ɡ	0.155
ŋ_ə	ŋ	1.0
ɐ	ə	0.81
ɐ	-	0.118
ɐ	əʊ̯	0.043
ɐ	ˈɔː	0.041
ɐ_m	m	0.489
ɐ_t	d	0.383
ɐ_t	θ	0.253
ɕ	-	0.523
ɕ	ʧ	0.293
ɕ	k	0.169
ɕ_t	t	1.0
ə	-	0.844
ə	ə	0.097
ə	əʊ̯	0.056
ə_f	v	1.0
ə_k	k	0.489
ə_ɕ	ɪ	0.863
ə_ɕ	k	0.095
ɡ	ɡ	0.818
ɡ	-	0.096
ɡ	j	0.067
ʀ	ɹ	0.745
ʀ	n	0.114
ʀ	-	0.097
ʀ	z	0.041
ʃ	s	0.565
ʃ	ʃ	0.386
ʃ	-	0.047
ʑ	-	1.0
ʦ	tʰ	0.608
ʦ	t	0.388
ˈaː	ˈɔː	0.281
ˈaː	ˈiː	0.228
ˈaː	ˈɑː	0.228
ˈaː	ˈɒ	0.088
ˈaː	ˈeɪ̯	0.076
ˈaː_χ	ˈeɪ̯	1.0
ˈe	ˈɪ	0.627
ˈe	ˈe	0.143
ˈe	ˈaɪ̯	0.1
ˈe	ˈiː	0.1
ˈeː	ˈəʊ̯	0.508
ˈeː	ˈeɪ̯	0.162
ˈeː	-	0.107
ˈeː	ˈɒ	0.085
ˈeː	ˈiː	0.06
ˈi	ˈɪ	0.312
ˈi	ˈiː	0.218
ˈi	ˈəʊ̯	0.206
ˈi	ˈaɪ̯	0.125
ˈiə̯	ˈe	0.631
ˈiə̯	ˈiː	0.142
ˈiə̯	ˈɪ	0.142
ˈiː	ˈaɪ̯	0.461
ˈiː	ˈɜː	0.113
ˈiː	ˈɪ	0.113
ˈiː	ˈe	0.104
ˈiː	ˈæ	0.084
ˈo	ˈʊ	0.257
ˈo	ˈɒ	0.19
ˈo	ˈɐ	0.166
ˈo	ˈəʊ̯	0.166
ˈo	ˈe	0.109
ˈoː	ˈiː	0.571
ˈoː	ˈeɪ̯	0.174
ˈoː	ˈɛ	0.174
ˈoː	ˈɪ	0.057
ˈoː_ə	ˈeɪ̯	1.0
ˈu	ˈuː	0.258
ˈu	ˈaʊ̯	0.224
ˈu	ˈeɪ̯	0.148
ˈu	ˈɐ	0.148
ˈu	ˈæ	0.104
ˈuə̯	ˈaɪ̯	0.381
ˈuə̯	ˈɐ	0.219
ˈuə̯	ˈəʊ̯	0.219
ˈuə̯	ˈɛ	0.141
ˈuː	ˈɜː	0.45
ˈuː	ˈɒ	0.208
ˈuː	ˈɔː	0.192
ˈæ	ˈe	0.361
ˈæ	ˈæ	0.361
ˈæ	ˈuː	0.203
ˈæɪ̯	ˈɪ	0.66
ˈæɪ̯	ˈaɪ̯	0.158
ˈæːɪ̯	ˈaɪ̯	0.602
ˈæːɪ̯	ˈiː	0.24
ˈæːɪ̯	ˈɪ	0.114
ˈæːʊ̯	ˈaʊ̯	0.867
ˈæːʊ̯	ˈaɪ̯	0.114
ˈɑ	ˈæ	0.295
ˈɑ	ˈɪ	0.258
ˈɑ	ˈe	0.115
ˈɑ	ˈaɪ̯	0.098
ˈɑ	ˈɒ	0.065
ˈɑɪ̯	ˈaɪ̯	0.356
ˈɑɪ̯	ə	0.104
ˈɑɪ̯	ˈɐ	0.101
ˈɑɪ̯	ˈɪ	0.101
ˈɑɪ̯	ˈiː	0.098
ˈɔ	ˈaʊ̯	0.323
ˈɔ	ˈɐ	0.323
ˈə	ˈɪ	0.564
ˈə	ˈe	0.171
ˈə	ˈaɪ̯	0.149
ˈə	ˈiː	0.098
ˈəɪ̯	ˈiː	0.517
ˈəɪ̯	ˈaɪ̯	0.165
ˈəɪ̯	ˈəʊ̯	0.129
ˈəɪ̯	ˈɪ	0.098
ˈəɪ̯	-	0.047
ˈəʊ̯	ˈe	0.306
ˈəʊ̯	ˈɪ	0.172
ˈəʊ̯	ˈuː	0.12
ˈəʊ̯	ˈeɪ̯	0.116
ˈəʊ̯	ˈaʊ̯	0.111
ˈɛ	ˈe	0.53
ˈɛ	ˈəʊ̯	0.213
ˈɛ	ˈɪ	0.11
ˈɛː	ˈɔː	0.323
ˈɛː	ˈɜː	0.323
ˈɛː_ɐ	ˈɑː	1.0
ˈʊ	ˈɐ	0.822
ˈʊ	ˈʊ	0.11
ˈʊɪ̯	ˈɔː	1.0
χ	k	0.425
χ	f	0.28
χ	ʧ	0.28
