Kashubian	Kashubian	probability
ˈ_w	ˈ	1.0
ˈ_#>	#>	1.0
ʤ	ɡ	1.0
ʣ	d	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʃ	-	1.0
ɾ	r_ɛ	1.0
ɲ	n	1.0
ɡ̊	ɡ_ʊ	1.0
ɡ	ɡ	1.0
ɛ_ˈ	ˈ	1.0
ɔ_#>	ɔ_#>	1.0
z̥	z	1.0
z	z	1.0
x	x	1.0
w_ʉ	u	1.0
w_ɔ	l_ɑ	1.0
w_#>	l_ʊ_#>	1.0
v	v	1.0
u̯ɛ	ɔ	1.0
s_#>	s_ʊ_#>	1.0
õ	ɔ̃	1.0
n	n	1.0
m_j	m	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j_ɞ	æ	1.0
j_ɛ	æ	1.0
j_ã	ɛ̃	1.0
j_a	æ	1.0
j	-	1.0
f	v	1.0
e_ˈ	æ	1.0
d̥	d_ʊ	1.0
d_a	d_ɑ	1.0
b	b	1.0
<#_ʦ	<#_ʦ	1.0
<#_x	<#_x	1.0
<#_v	<#_v	1.0
<#_u̯ɛ	<#_ɔ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
r̝	r	0.9
s	s	0.889
w	l	0.875
t	t	0.812
ɛ	ɛ	0.778
ˈ	ˈ	0.769
i	ʊ	0.731
p	p	0.727
d	d	0.714
a	ɑ	0.714
ɔ	ɔ	0.692
ʧ	ʧ	0.667
ɞ	ɑ	0.6
ã	ɛ̃	0.571
u	ɔ	0.538
e	æ	0.5
b̥	b_ʊ	0.5
b̥	b	0.5
r	r	0.438
#>	ˈ_#>	0.432
ã	ɔ̃	0.429
ɞ	l_ɪ	0.4
ʦ	t_ɪ	0.391
r	-	0.375
ə	ɯ	0.353
ə	i	0.353
ʧ	k	0.333
#>	ʊ_#>	0.324
ɔ	ɛ	0.308
u	ɛ	0.308
ʦ	t_i	0.304
d	-	0.286
p	-	0.273
e	ɛ	0.25
e	-	0.25
#>	ɪ_#>	0.243
ˈ	-	0.205
i	-	0.192
t	t_ʊ	0.188
r	r_ʊ	0.188
ə	ɪ	0.176
ʦ	t	0.174
a	æ	0.171
u	ʊ	0.154
ʦ	ʦ	0.13
w	-	0.125
ə	u	0.118
ɛ	æ	0.111
ɛ	r_ɪ	0.111
s	s_ʊ	0.111
r̝	rʲ	0.1
a	-	0.086
i	ɯ	0.077
