Icelandic	Swedish	probability
a	a	0.904
a	-	0.096
b̥	b	0.936
b̥	-	0.064
c	ɧ	0.486
c	k	0.474
cʰ	ɕ	0.822
cʰ	kʰ	0.103
d̥	d	0.828
d̥	-	0.161
d̥_ʏ	d	1.0
f	f	0.895
f	v	0.101
h	h	1.0
i	ɪ	1.0
j	-	0.524
j	j	0.305
j_ʏ	ʊ	0.473
k	k	1.0
kʰ	kʰ	0.519
kʰ	-	0.377
kʰ	j	0.088
l	l	0.936
l_ʏ	l	1.0
l̥	l	1.0
l̥_ʏ	lː	1.0
m	m	0.718
m	mː	0.252
m_ʏ	m	1.0
n	n	0.862
n	-	0.068
nː	nː	0.613
nː	n	0.364
nː_ʏ	nː	1.0
n̥	n	0.901
n̥	nː	0.074
p	ŋ	0.263
p	p	0.216
p	m	0.164
p	pː	0.143
p_ʏ	p	1.0
r	r	0.826
r	-	0.173
r_j	r	1.0
r_ð	ɖ	1.0
r_ɡ̊	r	1.0
rː̥	rː	1.0
r̥	-	0.744
r̥	r	0.243
r̥_t	ʈː	1.0
s	s	0.845
s	ɧ	0.089
s	-	0.06
sː	sː	1.0
t	t	0.469
t	-	0.364
t	tː	0.128
t_l̥	lː	1.0
t_n̥	ɳ	1.0
t_ʏ	t	1.0
tʰ	tʰ	0.902
tʰ	ɕ	0.088
u	-	0.213
u	ʊ	0.213
u	ˈoː	0.116
v	v	0.831
v	-	0.134
x	j	0.359
x	ɡ	0.17
ç	j	0.517
ç	h	0.45
ð	d	0.723
ð	-	0.195
ŋ	ŋ	0.626
ŋ	ŋː	0.372
ŋ_ɡ̊	ŋː	1.0
ɑu̯	ɵ	0.473
ɛ	ɪ	0.359
ɛ	-	0.17
ɛː	ɪ	0.473
ɟ̊	j	0.66
ɟ̊	-	0.133
ɟ̊	ɡ	0.133
ɟ̊ː	ɡː	0.106
ɡ̊	ɡ	0.496
ɡ̊	-	0.264
ɡ̊	ɡ_ɛ	0.157
ɡ̊	ŋ	0.078
ɡ̊_ʏ	ɛ	1.0
ɡ̊ː	ɡː	0.473
ɣ	ɡ	1.0
ɪ	ɛ	0.806
ɪ	a	0.11
ɪ	r	0.077
ɪ_r̥	r	0.473
ɲ	ŋː	0.473
ʏ	-	0.773
ʏ	ɛ	0.115
ʰk	kː	0.776
ʰk	k	0.165
ʰp	p	1.0
ʰt	tː	0.742
ʰt	-	0.171
ʰt_ʏ	tː	1.0
ˈa	ˈa	0.782
ˈa	ˈɑː	0.064
ˈa	ˈɛ	0.053
ˈa	-	0.052
ˈa	ˈæ	0.052
ˈai̯	ˈɛ	0.265
ˈai̯	ˈœ	0.231
ˈai̯	ˈøː	0.126
ˈaː	ˈɑː	0.733
ˈaː	ˈɛː	0.109
ˈaː	-	0.06
ˈaː	ˈa	0.059
ˈaːi̯	ˈøː	0.381
ˈaːi̯	ˈœ	0.251
ˈaːi̯	ˈeː	0.137
ˈaːi̯	ˈoː	0.137
ˈaːu̯	ˈoː	0.473
ˈeːi̯	ˈeː	0.312
ˈeːi̯	ˈœ	0.312
ˈi	ˈɪ	0.525
ˈi	ˈøː	0.134
ˈi	ˈɵ	0.121
ˈi	ˈʏ	0.121
ˈiː	ˈiː	0.837
ˈiː	ˈyː	0.097
ˈiː	ˈeː	0.058
ˈiː_r̥	ˈuː	1.0
ˈou̯	ˈɔ	0.723
ˈou̯	ˈɵ	0.196
ˈoːu̯	ˈuː	0.511
ˈoːu̯	ˈʉː	0.264
ˈoːu̯	-	0.078
ˈoːu̯	ˈyː	0.07
ˈoːu̯	ˈʊ	0.062
ˈoːu̯_r̥	ˈøː	1.0
ˈu	ˈʊ	0.372
ˈu	ˈɵ	0.282
ˈu	ˈʏ	0.186
ˈu	ˈʉː	0.121
ˈuː	ˈʉː	0.97
ˈœ	ˈa	0.359
ˈœ	ˈøː	0.179
ˈœ	ˈɑː	0.179
ˈœ	ˈuː	0.117
ˈœ	ˈœ	0.117
ˈœy̯	ˈøː	0.473
ˈœː	ˈʉː	0.461
ˈœː	ˈoː	0.304
ˈœː	ˈɛː	0.165
ˈœːy̯	ˈøː	0.894
ˈœːy̯	ˈœ	0.077
ˈɑu̯	ˈɔ	0.392
ˈɑu̯	ˈa	0.213
ˈɑu̯	ˈoː	0.213
ˈɑːu̯	ˈoː	0.784
ˈɑːu̯	ˈeː	0.106
ˈɑːu̯	ˈøː	0.072
ˈɔ	ˈɔ	0.302
ˈɔ	ˈɵ	0.224
ˈɔ	ˈɑː	0.128
ˈɔ	ˈʊ	0.128
ˈɔ	ˈuː	0.09
ˈɔ	ˈɪ	0.09
ˈɔ_r	ˈuː	1.0
ˈɔu̯	ˈuː	0.218
ˈɔu̯	ˈœ	0.218
ˈɔu̯	ˈa	0.129
ˈɔu̯	ˈɔ	0.064
ˈɔː	ˈoː	1.0
ˈɛ	ˈɛ	0.72
ˈɛ	-	0.106
