Westphalian	Ripuarian	probability
aɪ̯	e	1.0
b	b	0.917
b	-	0.07
d	d	0.649
d	t	0.264
d	k	0.076
f	f	1.0
h	h	1.0
j	j	1.0
k	k	0.648
k	ɕ	0.175
k	-	0.088
k	x	0.083
l	l	0.994
m	m	0.918
n	n	0.479
n	ə	0.306
n	ŋ	0.181
p	f	0.611
p	p	0.389
r	ʀ	1.0
s	z	0.576
s	s	0.372
s	n_s	0.053
t	s	0.362
t	ʦ	0.305
t	t	0.235
t	-	0.054
v	f	0.523
v	v	0.341
v	ʋ	0.137
w	ʋ	0.974
x	j	0.755
x	x	0.173
x	-	0.058
z	ʀ	0.741
z	s	0.204
z	z	0.055
ç	ɕ	0.892
ç	k	0.108
ŋ	ŋ	0.834
ŋ	j	0.114
ŋ	-	0.052
ɐ	ɐ	0.893
ɐ	-	0.077
ə	-	0.946
ə	ə	0.054
ɡ	ɣ	0.512
ɡ	ɕ	0.299
ɡ	k	0.167
ɣ	ŋ	0.715
ɣ	x	0.285
ɪ	ə	0.602
ɪ	ɪ	0.398
ʃ	ʃ	1.0
ˈa	ˈa	0.769
ˈa	ˈaː	0.104
ˈa	ˈɛː	0.052
ˈaɪ̯	ˈeː	0.673
ˈaɪ̯	ˈiː	0.119
ˈaɪ̯	ˈeɪ̯	0.098
ˈaɪ̯	ˈøː	0.06
ˈaɪ̯	ˈe	0.051
ˈaʊ̯	ˈoː	0.39
ˈaʊ̯	ˈuː	0.358
ˈaʊ̯	ˈaʊ̯	0.12
ˈaʊ̯	ˈoʊ̯	0.088
ˈaː	ˈaː	0.398
ˈaː	ˈa	0.228
ˈaː	ˈɛː	0.228
ˈaː	ˈɛ	0.146
ˈeː	ˈeː	0.71
ˈeː	ˈiː	0.29
ˈiə̯	ˈe	1.0
ˈiɛ̯	ˈøː	0.295
ˈiɛ̯	ˈɛː	0.295
ˈiɛ̯	ˈyː	0.239
ˈiɛ̯	ˈɛ	0.17
ˈiː	ˈiː	0.416
ˈiː	ˈɪ	0.256
ˈiː	ˈeɪ̯	0.093
ˈiː	ˈœ	0.08
ˈiː	ˈɔʏ̯	0.058
ˈiː	ˈɛ	0.055
ˈoː	ˈoː	1.0
ˈuə̯	ˈoʊ̯	0.344
ˈuə̯	ˈoː	0.344
ˈuə̯	ˈu	0.311
ˈuː	ˈuː	0.604
ˈuː	ˈʊ	0.115
ˈuː	ˈyː	0.115
ˈuː	ˈaʊ̯	0.062
ˈuː	ˈɔ	0.062
ˈuːə̯	ˈoː	0.403
ˈuːə̯	ˈɔ	0.316
ˈuːə̯	ˈʊ	0.237
ˈyə̯	ˈœ	1.0
ˈyː	ˈøː	0.448
ˈyː	ˈʏ	0.328
ˈyː	ˈyː	0.224
ˈyːœ̯	ˈʏ	1.0
ˈø	ˈœ	0.913
ˈø	ˈɛ	0.087
ˈøː	ˈøː	0.714
ˈøː	ˈyː	0.195
ˈøː	ˈoː	0.091
ˈœː	ˈoː	0.522
ˈœː	ˈyː	0.478
ˈɒː	ˈaː	1.0
ˈɔ	ˈa	0.543
ˈɔ	ˈɔ	0.268
ˈɔ	ˈaʊ̯	0.104
ˈɔ	ˈu	0.085
ˈɔː	ˈoː	0.548
ˈɔː	ˈɔ	0.137
ˈɔː	ˈo	0.094
ˈɔː	ˈaː	0.085
ˈɔː	ˈuː	0.068
ˈɔː	ˈøː	0.068
ˈɛ	ˈɛ	0.392
ˈɛ	ˈɪ	0.201
ˈɛ	ˈɛː	0.129
ˈɛ	ˈe	0.091
ˈɛ	ˈa	0.074
ˈɛ	ˈaː	0.074
ˈɛː	ˈɛː	0.963
ˈɪ	ˈe	0.478
ˈɪ	ˈɪ	0.282
ˈɪ	ˈa	0.114
ˈɪ	ˈɛ	0.052
ˈɪə̯	ˈaː	0.4
ˈɪə̯	ˈʏ	0.242
ˈɪə̯	ˈɪ	0.223
ˈɪə̯	ˈɛ	0.135
ˈɪɛ̯	ˈɛː	0.391
ˈɪɛ̯	ˈɛ	0.359
ˈɪɛ̯	ˈiː	0.13
ˈɪɛ̯	ˈeː	0.119
ˈʊ	ˈo	0.622
ˈʊ	ˈɔ	0.179
ˈʊ	ˈuː	0.131
ˈʊ	ˈʊ	0.068
ˈʏ	ˈœ	0.611
ˈʏ	ˈʏ	0.209
ˈʏ	ˈo	0.18
