Danish	Saterland Frisian	probability
b̥	b	0.819
b̥	p	0.181
d̥	d	0.826
d̥	j	0.174
e	ə	0.663
e	ˈu	0.337
f	f	0.982
h	h	0.974
i	ɪ	0.663
i	-	0.337
j	-	0.356
j	k	0.265
j	h	0.244
j	ˈɔː	0.124
jˀ	-	0.559
jˀ	ˈaːi̯	0.441
k	k	0.83
k	ŋ_k	0.17
kʰ	k	0.732
kʰ	s	0.268
l	l	0.964
lˀ	l	0.744
lˀ	r	0.211
m	m	0.891
m	r_m	0.088
mˀ	w	0.664
mˀ	m	0.336
n	n	0.905
n	-	0.078
nˀ	n	0.841
nˀ	r	0.159
p	p	1.0
pʰ	p	1.0
s	s	0.925
t	t	0.601
t	x_t	0.368
w	ə	0.497
w	f	0.252
w	w	0.117
w	x	0.108
wˀ	ə	0.715
wˀ	ɣ	0.285
ð̞ˠ	d	0.521
ð̞ˠ	t	0.467
ŋ	ŋ	0.478
ŋ	n	0.262
ŋ	x	0.26
ŋˀ	ŋ	1.0
ɐ	r	0.616
ɐ	ə_r	0.289
ɐ	ə	0.055
ɐˀ	d_ə	0.472
ɐˀ	ˈɛɪ̯	0.192
ɐˀ	r	0.143
ɐˀ	-	0.137
ɐˀ	ɪ	0.057
ə	ə	0.835
ə	-	0.165
ɡ̊	ɣ	0.563
ɡ̊	x	0.256
ɡ̊	j	0.142
ʁ	r	0.872
ʁ	-	0.068
ʁ	b	0.06
ʋ	v	0.865
ʋ	w	0.052
ʦʰ	t	0.583
ʦʰ	d	0.33
ʦʰ	-	0.087
ʨ	t	1.0
ˈa	ˈoːu̯	0.247
ˈa	ˈɔː	0.187
ˈa	ˈɛː	0.165
ˈa	ˈuː	0.117
ˈa	ˈoː	0.111
ˈa	ˈɛ	0.111
ˈa	ˈʊ	0.05
ˈaː	ˈɔː	1.0
ˈe	ˈɪ	0.441
ˈe	ˈiː	0.347
ˈe	ˈɔː	0.173
ˈeˀ	ˈeː	0.502
ˈeˀ	ˈaː	0.186
ˈeˀ	ˈoː	0.108
ˈeˀ	ˈi	0.073
ˈeˀ	ˈɪ	0.073
ˈeː	ˈa	0.5
ˈeː	ˈoː	0.5
ˈi	j	0.498
ˈi	ˈi	0.347
ˈi	ˈɛː	0.155
ˈiˀ	ˈi	0.511
ˈiˀ	j	0.245
ˈiˀ	ˈɪ	0.133
ˈiˀ	ˈeːu̯	0.066
ˈiː	ˈiː	0.541
ˈiː	ˈɔː	0.226
ˈiː	ˈi	0.144
ˈiː	ˈaːu̯	0.089
ˈo	ˈoːu̯	0.577
ˈo	ˈuː	0.246
ˈo	ˈɔ	0.143
ˈoˀ	ˈoːu̯	0.587
ˈoˀ	ˈɛɪ̯	0.15
ˈoˀ	ˈu	0.133
ˈoˀ	ˈɔː	0.102
ˈoː	ˈɔː	0.458
ˈoː	ˈuː	0.358
ˈoː	ˈaːu̯	0.133
ˈoː	ˈɔ	0.051
ˈu	ˈʊ	0.285
ˈu	ˈɔ	0.254
ˈu	v_ˈʊ	0.227
ˈu	ˈuː	0.186
ˈuˀ	ˈuː	0.643
ˈuˀ	ˈɛɪ̯	0.205
ˈuˀ	ˈeː	0.088
ˈuˀ	ˈoː	0.064
ˈuː	ˈuː	0.349
ˈuː	ˈiː	0.333
ˈuː	ˈøː	0.22
ˈuː	ˈoː	0.098
ˈy	ˈɛː	0.439
ˈy	j	0.338
ˈy	ˈyː	0.223
ˈyˀ	ˈuː	0.223
ˈyˀ	ˈɛɪ̯	0.216
ˈyˀ	ˈoː	0.182
ˈyˀ	ˈʊ	0.175
ˈyˀ	ˈiː	0.116
ˈyˀ	ˈyː	0.088
ˈyː	j	0.814
ˈyː	a	0.186
ˈæ	ˈiː	0.579
ˈæ	ˈɛ	0.421
ˈæˀ	ˈaːi̯	1.0
ˈæː	ˈɔː	1.0
ˈø	ˈɛː	0.663
ˈø	ˈʊ	0.337
ˈøː	ˈoː	0.501
ˈøː	ˈɛɪ̯	0.413
ˈøː	ˈeː	0.086
ˈœ	ˈɪ	0.236
ˈœ	ˈɛː	0.192
ˈœ	ˈoːu̯	0.167
ˈœ	ˈʊ	0.146
ˈœ	ˈuː	0.096
ˈœ	ˈeː	0.096
ˈœˀ	ˈoː	0.722
ˈœˀ	ˈɛɪ̯	0.278
ˈœː	ˈa	1.0
ˈɑ	ˈi	0.407
ˈɑ	ˈɔː	0.246
ˈɑ	ˈoːu̯	0.124
ˈɑ	-	0.089
ˈɑ	ˈyː	0.072
ˈɑˀ	ˈɛɪ̯	0.424
ˈɑˀ	ˈoː	0.243
ˈɑˀ	ˈiː	0.22
ˈɑˀ	ˈaːi̯	0.113
ˈɑː	ˈɔː	1.0
ˈɒ	ˈoːu̯	1.0
ˈɒˀ	ˈiː	0.795
ˈɒˀ	ˈɛɪ̯	0.205
ˈɒː	ˈɛɪ̯	1.0
ˈɔ	ˈʊ	0.867
ˈɔ	ˈu	0.089
ˈɔˀ	ˈoː	0.416
ˈɔˀ	ˈɛɪ̯	0.21
ˈɔˀ	ˈɔː	0.143
ˈɔˀ	ˈɛ	0.096
ˈɔˀ	ˈoːu̯	0.061
ˈɔː	ˈoːu̯	1.0
ˈɛ	ˈiː	0.209
ˈɛ	ˈɛ	0.204
ˈɛ	ˈaː	0.127
ˈɛ	ˈɛː	0.112
ˈɛ	ˈɔː	0.106
ˈɛ	ˈɔ	0.106
ˈɛ	ˈɪ	0.053
ˈɛˀ	ˈeː	0.708
ˈɛˀ	ˈɛɪ̯	0.165
ˈɛˀ	ˈi	0.127
ˈɛː	ˈi	0.462
ˈɛː	ˈɛ	0.35
ˈɛː	ˈoː	0.188
ˈʌ	ˈuː	0.344
ˈʌ	ˈoːu̯	0.218
ˈʌ	ˈoː	0.18
ˈʌ	ˈœː	0.1
ˈʌ	ˈiː	0.072
ˈʌ	-	0.071
ˈʌˀ	ˈoː	1.0
