West Frisian	Afrikaans	probability
χ	χ	1.0
ˈɪə̯_r	ˈɪə̯_r	1.0
ˈɪ_z	ˈɛː	1.0
ˈɪ_t	ˈɪə̯_t	1.0
ˈɛi̯	-	1.0
ˈɔu̯	ˈœu̯	1.0
ˈøə̯	ˈi	1.0
ˈø	ˈɑː	1.0
ˈyː	-	1.0
ˈy	-	1.0
ˈu̯o	ˈu	1.0
ˈu	ˈɔ	1.0
ˈoː	-	1.0
ˈiə̯_n	ˈɪə̯_n	1.0
ʋ	v	1.0
ɪ	ə	1.0
ɣ̥	χ	1.0
ɣ	χ	1.0
ɕ	s	1.0
ŋ	ŋ	1.0
z	s	1.0
v_ə	v̥	1.0
v	v	1.0
s_l	s_ɫ	1.0
s_k	s	1.0
s	s	1.0
r	r	1.0
p	p	1.0
m	m	1.0
l_k	ɫ_k	1.0
l	ɫ	1.0
k	k	1.0
j_ˈɪ	ˈi	1.0
j_ˈɔ	ˈə	1.0
j_ˈuə̯	ˈyː	1.0
j_ɪ	i	1.0
h	ɦ	1.0
d̥	d̥	1.0
d_ə	d̥	1.0
b	b	1.0
f	v̥	0.94
t	t	0.924
d	d	0.902
ˈa	ˈa	0.854
n	n	0.817
ˈuə̯	ˈu	0.762
ˈɔ	ˈɔ	0.739
ˈɔː	ˈa	0.723
s_t	s	0.68
ˈɪə̯	ˈʊə̯	0.652
ˈɛː	-	0.6
n_ə	n_d̥	0.582
ə	-	0.56
ˈi	ˈə	0.542
ˈeː	ˈɪə̯	0.515
ˈuː	ˈœɪ̯	0.491
ˈeː	ˈʊə̯	0.485
ˈi	ˈəɪ̯	0.458
ˈiə̯	ˈɑː	0.447
ə	ə	0.44
ʦ	t	0.437
n_ə	n	0.418
ˈɛː	ˈœ	0.4
ˈaː	ˈɪə̯	0.393
ˈɛ	ˈæ	0.389
ˈiː	ˈəɪ̯	0.373
ˈoə̯	ˈʊə̯_r	0.358
ˈɪ	ˈə	0.357
j	-	0.351
ˈiə̯	ˈi	0.349
ˈɛ	-	0.338
ʦ	d	0.338
ˈaː	ˈɑː	0.334
s_t	r_s	0.32
j	χ	0.297
ˈoə̯	ˈɔ	0.285
ˈɔː	ˈœu̯	0.277
ˈɛ	ˈæː	0.273
ˈaː	ˈa	0.273
ˈiː	ˈə	0.269
ˈɔ	-	0.261
ˈuː	ˈʊə̯	0.261
ˈuː	ˈɔ	0.247
ˈuə̯	-	0.238
ʦ	k	0.225
ˈiː	-	0.209
ˈiə̯	ˈu	0.204
ˈɪə̯	ˈa	0.2
ˈoə̯	ˈɑː	0.199
j	ˈʊə̯	0.191
ˈɪ	ˈœ	0.186
ˈɪ	-	0.171
ˈɪ	ˈɛ	0.161
j	ˈi	0.161
ˈoə̯	ˈɪø̯	0.157
n	n_d̥	0.151
ˈiː	ˈi	0.149
ˈɪə̯	ˈɑː	0.147
ˈa	ˈɑː	0.146
ˈɪ	ˈa	0.098
d	-	0.098
t	-	0.076
f	v	0.06
