Swedish	German	probability
a	ə_n	0.426
a	ə	0.308
a	n	0.154
a	-	0.098
a	ˈaʊ̯	0.03
b	b	1.0
b_j	b	1.0
d	t	0.571
d	tʰ	0.239
d	d	0.067
d	-	0.051
d	s	0.034
d	ʦ	0.034
e	ɐ	0.495
f	f	1.0
h	h	0.961
h	-	0.047
j	ɡ	0.212
j	tʰ	0.191
j	k	0.166
j	ˈɪ	0.133
j	ˈɛ	0.099
j	-	0.096
j	ç	0.056
jː	ɡ	0.245
k	ç	0.442
k	k	0.368
k	x	0.17
kʰ	kʰ	0.97
kʰ	-	0.041
kː	ŋ_k	1.0
l	l	1.0
lː	l	1.0
m	m	0.937
m	n	0.063
mː	m	1.0
n	n	0.849
n	-	0.149
nː	n	0.587
nː	n_d	0.288
nː	l	0.079
nː	-	0.039
p	f	0.833
p	p͡f	0.138
pʰ	p͡f	0.495
pː	f	1.0
r	ʁ	0.434
r	ɐ	0.292
r	-	0.217
r	t_ɐ	0.036
r_a	ɐ	0.495
rː	ɐ	0.388
rː	k	0.256
s	ʃ	0.36
s	z	0.318
s	s	0.302
s	ʁ	0.032
s_k	ʃ	1.0
sː	z	0.45
sː	s	0.338
t	s	0.473
t	t	0.423
t	d	0.064
t	ʦ	0.046
tʰ	ʦ	0.46
tʰ	d	0.382
tʰ	tʰ	0.095
tʰ	b	0.051
tː	x_t	0.303
tː	s	0.296
tː	ç_t	0.238
tː	ʦ	0.136
v	v	0.582
v	f	0.165
v	p	0.113
v	b	0.093
v	p͡f	0.037
ŋ	ç	0.19
ŋ	f	0.175
ŋ	ŋ	0.117
ŋ	ɡ	0.114
ŋ	ɪ	0.108
ŋː	ŋ	1.0
ɕ	d	0.699
ɕ	kʰ	0.13
ɕ	ʦ	0.045
ɖ	ɐ_t	0.406
ɖ	d	0.228
ɛ	ɐ	0.506
ɛ	-	0.29
ɛ	ə	0.192
ɡ	ɡ	0.62
ɡ	ç	0.158
ɡ	k	0.102
ɡ	-	0.055
ɡ	x	0.055
ɡː	k	0.699
ɡː	-	0.297
ɧ	ʃ	0.596
ɧ	z	0.275
ɧ	m	0.089
ɪ	ɪ	0.74
ɪ	-	0.137
ɳ	ɐ_n	0.548
ɳ	ɐ	0.415
ɳː	-	0.495
ɵ	-	0.644
ɵ	ɪ	0.241
ʈː	ʦ	1.0
ʊ	ˈeː	0.284
ʊ	ˈɔʏ̯	0.284
ʊ	-	0.06
ˈa	ˈa	0.9
ˈa	ˈaː	0.095
ˈeː	ˈaɪ̯	0.625
ˈeː	ˈɪ	0.234
ˈeː	ˈeː	0.116
ˈiː	ˈaɪ̯	0.688
ˈiː	-	0.132
ˈiː	ˈiː	0.13
ˈoː	ˈaː	0.451
ˈoː	ˈoː	0.312
ˈoː	ˈa	0.077
ˈoː	ˈɛː	0.066
ˈoː	ˈaɪ̯	0.054
ˈoː	-	0.046
ˈuː	ˈuː	0.498
ˈuː	ˈɔ	0.256
ˈuː	ɐ	0.079
ˈuː	ˈaʊ̯	0.077
ˈuː	ˈʊ	0.077
ˈyː	ˈɔʏ̯	0.596
ˈyː	ˈiː	0.256
ˈæ	ˈɛ	0.758
ˈæ	ɐ	0.092
ˈæː	ˈɛ	0.608
ˈæː	ˈeː	0.113
ˈæː	ˈiː	0.113
ˈøː	ˈoː	0.25
ˈøː	ˈaʊ̯	0.213
ˈøː	ˈyː	0.185
ˈøː	ˈeː	0.171
ˈøː	ˈøː	0.079
ˈøː	ˈɛː	0.065
ˈøː	ˈɛ	0.036
ˈœ	ˈɔʏ̯	0.197
ˈœ	ˈɔ	0.16
ˈœ	ˈyː	0.13
ˈœ	ˈʊ	0.13
ˈœ	ˈʏ	0.13
ˈœ	ˈaʊ̯	0.097
ˈœ	-	0.095
ˈœː	ˈøː	0.66
ˈœː	ˈoː	0.161
ˈɑː	ˈaː	0.49
ˈɑː	ˈa	0.432
ˈɑː	-	0.074
ˈɔ	ˈɔ	0.359
ˈɔ	ˈʊ	0.19
ˈɔ	ˈa	0.125
ˈɔ	ˈœ	0.125
ˈɔ	ˈʏ	0.085
ˈɔ	ˈɪ	0.066
ˈɛ	ˈɛ	0.419
ˈɛ	ˈaɪ̯	0.164
ˈɛ	ˈa	0.106
ˈɛ	ˈɪ	0.106
ˈɛ	ˈʏ	0.07
ˈɛ	ˈeː	0.05
ˈɛ	ˈaː	0.048
ˈɛ	ˈɔʏ̯	0.048
ˈɛː	ˈeː	0.251
ˈɛː	ˈaː	0.218
ˈɛː	ˈɛ	0.19
ˈɛː	ˈaɪ̯	0.125
ˈɛː	ˈiː	0.125
ˈɛː	ˈaʊ̯	0.069
ˈɪ	ˈɪ	0.979
ˈɪ	-	0.038
ˈɵ	ˈɔ	0.207
ˈɵ	ˈʊ	0.154
ˈɵ	v_ˈɔ	0.109
ˈɵ	j	0.088
ˈɵ	ˈoː	0.069
ˈɵ	ˈœ	0.069
ˈɵ	ˈɔʏ̯	0.069
ˈɵ	ˈaʊ̯	0.056
ˈɵ	ˈɪ	0.056
ˈɵ	ˈʏ	0.056
ˈɵ	ˈøː	0.054
ˈʉː	ˈaʊ̯	0.431
ˈʉː	ˈiː	0.367
ˈʉː	ˈɔ	0.117
ˈʉː	ˈɛ	0.063
ˈʉː	ˈa	0.035
ˈʊ	ˈʊ	0.733
ˈʊ	ˈuː	0.265
ˈʏ	ˈʏ	0.354
ˈʏ	ˈɛ	0.268
ˈʏ	ˈɔʏ̯	0.175
ˈʏ	ˈɪ	0.102
