Limburgish	Luxembourgish	probability
#>	#>	0.794
#>	n_#>	0.149
#>	t_#>	0.057
<#	<#	1.0
b	b	0.944
b	-	0.058
d	d	0.892
d	-	0.096
f	f	1.0
j	-	0.374
j	l	0.283
j	j	0.193
j	t	0.118
j_#>	#>	1.0
k	kʰ	0.385
k	k	0.315
k	ɕ	0.149
k	χ	0.085
l	l	0.994
m	m	0.989
n	n	0.948
n	ŋ	0.051
p	f	0.771
p	p	0.215
s	ʃ	0.585
s	s	0.413
t	t	0.509
t	s	0.252
t	ʦ	0.198
v	f	0.756
v	v	0.158
v	-	0.085
w	l	0.489
x	ɕ	0.685
x	χ	0.217
x	k	0.064
x_#>	#>	1.0
z	z	0.779
z	ʃ	0.217
ŋ	ŋ	0.834
ŋ	ɕ	0.093
ŋ	k	0.071
ə	ə	0.749
ə	-	0.21
ə_#>	#>	1.0
ə_ʀ	ɐ	1.0
ɡ	-	0.489
ɣ	ɡ	0.669
ɣ	-	0.212
ɣ	ŋ	0.064
ɣ	ʑ	0.053
ɦ	h	1.0
ɪ	ə	0.574
ɪ	e	0.281
ɪː	ˈɑ	0.489
ʀ	ʀ	0.575
ʀ	ɐ	0.273
ʀ	-	0.07
ʀ	d_ɐ	0.06
ʀ_#>	#>	0.057
ʀ_ə	ɐ	1.0
ʃ	ʃ	1.0
ʦ	ʃ	0.489
ˈaː	ˈaː	0.436
ˈaː	ˈɑ	0.324
ˈaː	ˈoː	0.079
ˈaː	ˈæ	0.079
ˈaː	ˈɛː	0.063
ˈeː	ˈəɪ̯	0.218
ˈeː	ˈiə̯	0.153
ˈeː	ˈiː	0.119
ˈeː	-	0.072
ˈeː	ˈeː	0.072
ˈeː	ˈi	0.072
ˈeː	ˈɛ	0.072
ˈeː	ˈɛː	0.072
ˈi	ˈəɪ̯	0.517
ˈi	ˈə	0.163
ˈi	ˈiː	0.092
ˈi	ˈe	0.086
ˈi	ˈeː	0.066
ˈiː	ˈæːɪ̯	0.405
ˈiː	ˈæɪ̯	0.187
ˈiː	ˈi	0.123
ˈiː	ˈɑɪ̯	0.091
ˈiː	ˈə	0.089
ˈiː	ˈəɪ̯	0.067
ˈoː	ˈu	0.583
ˈoː	ˈuə̯	0.229
ˈoː	ˈəʊ̯	0.147
ˈu	ˈəʊ̯	0.636
ˈu	ˈəɪ̯	0.348
ˈuː	ˈæːʊ̯	0.773
ˈuː	ˈu	0.098
ˈuː	ˈəʊ̯	0.077
ˈv	f	0.489
ˈyː	ˈəɪ̯	0.362
ˈyː	ˈɑɪ̯	0.208
ˈyː	-	0.077
ˈæ	ˈaː	0.322
ˈæ	ˈæ	0.322
ˈæ	ˈiə̯	0.11
ˈæ	ˈiː	0.11
ˈæː	ˈiː	0.489
ˈæː_ʀ	ˈaː	1.0
ˈøː	ˈi	0.351
ˈøː	ˈəɪ̯	0.226
ˈøː	ˈe	0.149
ˈøː	ˈʊ	0.149
ˈøː	ˈɑɪ̯	0.101
ˈœ	ˈe	0.644
ˈœ	ˈu	0.239
ˈœi̯	ˈɑɪ̯	0.633
ˈœi̯	ˈeː	0.147
ˈœi̯	ˈæːɪ̯	0.147
ˈœː	ˈuː	1.0
ˈɑ	ˈaː	0.688
ˈɑ	ˈuə̯	0.15
ˈɑ	ˈæ	0.099
ˈɑ	ˈɛː	0.057
ˈɑː	ˈɑ	0.813
ˈɑː	ˈaː	0.144
ˈɒː	ˈoː	0.471
ˈɒː	ˈuə̯	0.138
ˈɒː	ˈu	0.087
ˈɒː	ˈɑ	0.083
ˈɒː	ˈəɪ̯	0.083
ˈɒː	ˈəʊ̯	0.083
ˈɔ	ˈo	0.544
ˈɔ	ˈu	0.132
ˈɔ	ˈuː	0.132
ˈɔ	ˈɑ	0.07
ˈɔ	ˈiː	0.054
ˈɔ	ˈʊɪ̯	0.051
ˈɔu̯	ˈaː	1.0
ˈɔː	ˈaː	0.489
ˈɔː	ˈo	0.473
ˈɛ	ˈɛ	0.214
ˈɛ	ˈæːɪ̯	0.144
ˈɛ	ˈə	0.144
ˈɛ	ˈeː	0.13
ˈɛ	ˈoː	0.13
ˈɛ	ˈɑɪ̯	0.088
ˈɛi̯	ˈæːɪ̯	0.239
ˈɛː	ˈeː	0.713
ˈɛː	ˈə	0.141
ˈɛː	ˈiː	0.063
ˈɛːi̯	ˈæːɪ̯	0.274
ˈɛːi̯	ˈeː	0.177
ˈɪ	ˈə	0.603
ˈɪ	ˈe	0.156
ˈɪ	ˈæːɪ̯	0.156
ˈɪː	ˈɑ	0.702
ˈɪː	ˈe	0.17
ˈɪː	ˈə	0.107
ˈʊ	ˈɔ	0.489
ˈʊː	ˈo	0.276
ˈʊː	ˈʊ	0.209
ˈʊː	ˈaː	0.193
ˈʊː	ˈoː	0.082
ˈʊː	ˈuː	0.082
ˈʊː	ˈəʊ̯	0.066
ˈʊː	ˈu	0.052
ˈʏ	ˈɑ	0.37
ˈʏ	ˈə	0.181
ˈʏː	ˈə	0.608
ˈʏː	ˈɑɪ̯	0.259
β	v	0.667
β	w	0.291
