Alsatian	Bokmål Norwegian	probability
ˈɛ	-	1.0
ˈɒː_ʁ	ˈɑ_ɾ	1.0
ˈɒ_t	ˈɑː	1.0
ˈøː	ˈuː	1.0
ˈæː	-	1.0
ˈyː	ˈʉː	1.0
ˈoː_t	ˈøː	1.0
ˈei̯	ˈeː	1.0
ˈaː	-	1.0
ʃ_t	s_t	1.0
ʁ_n	ɳ	1.0
ŋ	ŋː	1.0
x	-	1.0
w	ʋ	1.0
t_ə	ɾ	1.0
t_#>	#>	1.0
s_ˈɒ	s_ˈɑ	1.0
s_#>	#>	1.0
n_d̥	nː	1.0
n_#>	#>	1.0
j	-	1.0
i_ʃ	k	1.0
i	-	1.0
f_#>	#>	1.0
d̥_ʁ	tʰ_ɾ	1.0
d̥_#>	#>	1.0
<#_ˈɒ	<#_ˈɑ	1.0
<#_ˈu	<#_ˈɔ	1.0
<#_ʋ	<#	1.0
<#_ʁ	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
h	h	0.882
ə	ə	0.857
ʁ	ɾ	0.825
b̥	b	0.818
ʋ	ʋ	0.812
l	l	0.789
ˈoː	ˈoː	0.778
kʰ	kʰ	0.778
z̥_#>	s_#>	0.714
ˈɒ	ˈɑ	0.706
ɡ̊	ɡ	0.7
t	d	0.7
m	m	0.696
f	f	0.696
ˈe	-	0.667
k	ɡː	0.667
ˈæ	-	0.6
ə_ʁ	ɾ	0.6
#>	k_#>	0.6
ˈʊː	ˈuː	0.583
ʦ	tʰ	0.545
d̥	d	0.533
ˈo	ˈʉ	0.5
ˈo	ˈuː	0.5
n	n	0.462
s	t	0.455
s	s	0.455
ˈəi̯	ˈæɪ̯	0.444
ˈeː	-	0.444
ˈi	ˈɪ	0.44
ʃ	s	0.421
ˈæ	ˈeː	0.4
ə_ʁ	ɾ_ə	0.4
#>	ˈeː_#>	0.4
ˈu	ˈʉ	0.389
n	nː	0.385
ˈɒː	ˈɑː	0.375
ˈɒː	-	0.375
ˈiː	ˈyː	0.35
ˈiː	ˈiː	0.35
ˈəi̯	ˈɛ	0.333
ˈeː	ˈøː	0.333
ˈe	ˈɛ	0.333
k	kː	0.333
ɡ̊	-	0.3
t	-	0.3
z̥_#>	#>	0.286
ˈu	ˈʏ	0.278
ʦ	tː	0.273
d̥	tʰ	0.267
ˈʊː	-	0.25
ˈɒː	ˈɑ	0.25
ˈəi̯	-	0.222
ˈu	-	0.222
ˈoː	ˈøː	0.222
ˈeː	ˈɛ	0.222
kʰ	ç	0.222
m	mː	0.217
f	p	0.217
ʃ	ʂ	0.211
ʃ	k	0.211
l	lː	0.211
ˈi	ˈɛ	0.2
ˈi	ˈiː	0.2
d̥	-	0.2
ʋ	-	0.188
ʦ	-	0.182
ˈɒ	-	0.176
ˈʊː	ˈøː	0.167
ʃ	s_k	0.158
n	-	0.154
ə	-	0.143
ʁ	-	0.125
ˈɒ	ˈɑː	0.118
h	j	0.118
ˈu	ˈɔ	0.111
ˈiː	ˈɪ	0.1
ˈiː	ˈœ	0.1
ˈiː	-	0.1
s	ʂ	0.091
b̥	ʋ	0.091
b̥	-	0.091
m	-	0.087
f	ʋ	0.087
ˈi	ˈœ	0.08
ˈi	-	0.08
